f_sample_id	f_gse_id	f_genome	f_geo_id	f_label	f_pmid	f_species	f_tissue_type	f_sequencing_type	f_health_type	f_health_type_description	f_description	f_source	f_source_url	f_counts_layer	f_sample_exist	f_cell_count	f_cell_type_count	f_index	f_sample_name
sample_id_47	GSE157483	hg38	GSM4766875	GSM4766875	34675424	Human	PBMC	scATAC-seq	Phage	CD16, CD4, CD8 (Phage)	Single cell multi-omic readouts of both the cellular transcriptome and proteome have significantly enhanced our ability to comprehensively characterize cellular states. Most approaches in this area rely on oligonucleotide barcode-conjugated antibodies that target cell surface epitopes of interest, enabling their concomitant detection with the transcriptome. However, a similar high-throughput measurement of other cellular modalities such as the epigenome in concert with protein levels have not been described. Moreover, detection of epitopes is limited to antigens for which a specific antibody is available. Here, we introduce PHAGE-ATAC, an approach that enables the scalable and simultaneous detection of protein levels and chromatin accessibility data in single cells using the assay of transposase-accessible chromatin with sequencing (ATAC-seq). Quantitative detection of proteins by PHAGE-ATAC is accomplished through the use of engineerable nanobody-displaying phages that are genetically barcoded within the nanobody-encoding phagemids. We demonstrate the utility of PHAGE-ATAC for multimodal single cell genomic analysis in both cell lines and primary human cells. Analogous to phage display approaches, we further establish a synthetic high-complexity library of nanobody-displaying phages and demonstrate its utility to select novel antigen-specific nanobodies for PHAGE-ATAC.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_049	counts	0	770	4	46	CD16, CD4, CD8 (Phage)_PBMC_3
sample_id_48	GSE157595	hg38	GSM4771370,GSM4771371	GSE157595	33173081,34880850	Human	PBMC	scATAC-seq	Disease	Ankylosing spondylitis (AS),Healthy controls	A detailed understanding of the gene-regulatory network in ankylosing spondylitis (AS) is vital for elucidating the mechanisms of AS pathogenesis. Assaying transposase-accessible chromatin in single cell sequencing (scATAC-seq) is a suitable method for revealing such networks. Thus, scATAC-seq was applied to define the landscape of active regulatory DNA in AS. As a result, there was a significant change in the percent of CD8+ T cells in PBMCs, and 37 differentially accessible transcription factor (TF) motifs were identified. T cells, monocytes-1 and dendritic cells were found to be crucial for the IL-17 signaling pathway and TNF signaling pathway, since they had 73 potential target genes regulated by 8 TF motifs with decreased accessibility in AS. Moreover, natural killer cells were involved in AS by increasing the accessibility to TF motifs TEAD1 and JUN to induce cytokine-cytokine receptor interactions. In addition, CD4+ T cells and CD8+ T cells may be vital for altering host immune functions through increasing the accessibility of TF motifs NR1H4 and OLIG (OLIGI and OLIG2), respectively. These results explain clear gene regulatory variation in PBMCs from AS patients, providing a foundational framework for the study of personal regulomes and delivering insights into epigenetic therapy.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_324	counts	1	2239	6	47	Ankylosing spondylitis (AS), Healthy controls_PBMC
sample_id_49	GSE157595	hg38	GSM4771370	GSM4771370	33173081,34880850	Human	PBMC	scATAC-seq	Disease	Ankylosing spondylitis (AS)	A detailed understanding of the gene-regulatory network in ankylosing spondylitis (AS) is vital for elucidating the mechanisms of AS pathogenesis. Assaying transposase-accessible chromatin in single cell sequencing (scATAC-seq) is a suitable method for revealing such networks. Thus, scATAC-seq was applied to define the landscape of active regulatory DNA in AS. As a result, there was a significant change in the percent of CD8+ T cells in PBMCs, and 37 differentially accessible transcription factor (TF) motifs were identified. T cells, monocytes-1 and dendritic cells were found to be crucial for the IL-17 signaling pathway and TNF signaling pathway, since they had 73 potential target genes regulated by 8 TF motifs with decreased accessibility in AS. Moreover, natural killer cells were involved in AS by increasing the accessibility to TF motifs TEAD1 and JUN to induce cytokine-cytokine receptor interactions. In addition, CD4+ T cells and CD8+ T cells may be vital for altering host immune functions through increasing the accessibility of TF motifs NR1H4 and OLIG (OLIGI and OLIG2), respectively. These results explain clear gene regulatory variation in PBMCs from AS patients, providing a foundational framework for the study of personal regulomes and delivering insights into epigenetic therapy.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_010	counts	0	1113	5	48	Ankylosing spondylitis (AS)_PBMC
sample_id_50	GSE157595	hg38	GSM4771371	GSM4771371	33173081,34880850	Human	PBMC	scATAC-seq	Normal	Healthy controls (peripheral blood)	A detailed understanding of the gene-regulatory network in ankylosing spondylitis (AS) is vital for elucidating the mechanisms of AS pathogenesis. Assaying transposase-accessible chromatin in single cell sequencing (scATAC-seq) is a suitable method for revealing such networks. Thus, scATAC-seq was applied to define the landscape of active regulatory DNA in AS. As a result, there was a significant change in the percent of CD8+ T cells in PBMCs, and 37 differentially accessible transcription factor (TF) motifs were identified. T cells, monocytes-1 and dendritic cells were found to be crucial for the IL-17 signaling pathway and TNF signaling pathway, since they had 73 potential target genes regulated by 8 TF motifs with decreased accessibility in AS. Moreover, natural killer cells were involved in AS by increasing the accessibility to TF motifs TEAD1 and JUN to induce cytokine-cytokine receptor interactions. In addition, CD4+ T cells and CD8+ T cells may be vital for altering host immune functions through increasing the accessibility of TF motifs NR1H4 and OLIG (OLIGI and OLIG2), respectively. These results explain clear gene regulatory variation in PBMCs from AS patients, providing a foundational framework for the study of personal regulomes and delivering insights into epigenetic therapy.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_009	counts	0	1104	4	49	Healthy controls (peripheral blood)_PBMC
sample_id_51	GSE158280	hg38	GSM4796326,GSM4796327	GSE158280	35720370	Human	PBMC	scATAC-seq	Disease	Uremia,Healthy controls	A single-cell assay for transposase-accessible chromatin with high-throughput sequencing (scATAC-seq) was applied to compare the single-cell chromatin accessibility profiles of peripheral blood mononuclear cells (PBMCs) that were obtained from healthy volunteers and uremia patients. Besides, we further revealed the biological functions and regulatory modes of the uremia-related transcription factors (TFs). We principally identified 8 leukocytic clusters using promoter sums of cell type-specific marker genes. Representative TF motifs related to immune cell phenotype identification were found. The comparison of cells from uremia patients and healthy individuals revealed differential candidate TF motifs driving the uremia-associated transcriptomic signature changes, thereby resulting in variation of multiple immune-inflammatory pathways, virus infection-related pathways, and tumor-associated pathways.Our findings reveal transcriptional regulatory variation in uremia-derived PBMCs from an epigenetic perspective, providing a foundational framework for studies examining proinflammatory mechanisms in uremia and establishing a foundation for future research investigating epigenetic therapy.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_338	counts	1	2210	5	50	Uremia, Healthy controls_PBMC
sample_id_52	GSE158280	hg38	GSM4796327	GSM4796327	35720370	Human	PBMC	scATAC-seq	Normal	Healthy controls (Uremia)	A single-cell assay for transposase-accessible chromatin with high-throughput sequencing (scATAC-seq) was applied to compare the single-cell chromatin accessibility profiles of peripheral blood mononuclear cells (PBMCs) that were obtained from healthy volunteers and uremia patients. Besides, we further revealed the biological functions and regulatory modes of the uremia-related transcription factors (TFs). We principally identified 8 leukocytic clusters using promoter sums of cell type-specific marker genes. Representative TF motifs related to immune cell phenotype identification were found. The comparison of cells from uremia patients and healthy individuals revealed differential candidate TF motifs driving the uremia-associated transcriptomic signature changes, thereby resulting in variation of multiple immune-inflammatory pathways, virus infection-related pathways, and tumor-associated pathways.Our findings reveal transcriptional regulatory variation in uremia-derived PBMCs from an epigenetic perspective, providing a foundational framework for studies examining proinflammatory mechanisms in uremia and establishing a foundation for future research investigating epigenetic therapy.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_174	counts	0	1707	4	51	Healthy controls (Uremia)_PBMC
sample_id_53	GSE163579	hg38	GSM4982164,GSM4982165,GSM4982166,GSM4982167,GSM4982168,GSM4982169,GSM4982170,GSM4982171,GSM4982172,GSM4982173,GSM4982174,GSM4982175,GSM4982176,GSM4982177,GSM4982178,GSM4982179,GSM4982180,GSM4982181,GSM4982182,GSM4982183,GSM4982184,GSM4982185,GSM4982186,GSM4982187,GSM4982188,GSM4982189,GSM4982190,GSM4982191,GSM4982192,GSM4982193,GSM4982194,GSM4982195,GSM4982196,GSM4982197	GSE163579	34112698	Human	PBMC	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL)	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_326	counts	1	32041	4	52	Chronic lymphocytic leukemia (CLL)_PBMC_1
sample_id_54	GSE163579	hg38	GSM4982164	GSM4982164	34112698	Human	PBMC	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) active disease	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_046	counts	0	5642	4	53	Chronic lymphocytic leukemia (CLL) active disease_PBMC_1
sample_id_55	GSE163579	hg38	GSM4982172	GSM4982172	34112698	Human	PBMC	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) active disease	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_038	counts	0	3959	5	54	Chronic lymphocytic leukemia (CLL) active disease_PBMC_2
sample_id_56	GSE163579	hg38	GSM4982174	GSM4982174	34112698	Human	PBMC	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) active disease	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_036	counts	0	2487	5	55	Chronic lymphocytic leukemia (CLL) active disease_PBMC_3
sample_id_57	GSE163579	hg38	GSM4982176	GSM4982176	34112698	Human	PBMC	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) active disease	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_034	counts	0	3915	5	56	Chronic lymphocytic leukemia (CLL) active disease_PBMC_4
sample_id_58	GSE163579	hg38	GSM4982178	GSM4982178	34112698	Human	PBMC	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) active disease	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_032	counts	0	6115	5	57	Chronic lymphocytic leukemia (CLL) active disease_PBMC_5
sample_id_59	GSE163579	hg38	GSM4982179	GSM4982179	34112698	Human	PBMC	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) active disease	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_031	counts	0	8143	4	58	Chronic lymphocytic leukemia (CLL) active disease_PBMC_6
sample_id_60	GSE163579	hg38	GSM4982180	GSM4982180	34112698	Human	PBMC	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) active disease	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_030	counts	0	8778	5	59	Chronic lymphocytic leukemia (CLL) active disease_PBMC_7
sample_id_61	GSE163579	hg38	GSM4982181	GSM4982181	34112698	Human	PBMC	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) active disease	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_029	counts	0	3808	5	60	Chronic lymphocytic leukemia (CLL) active disease_PBMC_8
sample_id_62	GSE163579	hg38	GSM4982183	GSM4982183	34112698	Human	PBMC	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) active disease	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_027	counts	0	4642	4	61	Chronic lymphocytic leukemia (CLL) active disease_PBMC_9
sample_id_63	GSE163579	hg38	GSM4982185	GSM4982185	34112698	Human	PBMC	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) active disease	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_025	counts	0	2296	6	62	Chronic lymphocytic leukemia (CLL) active disease_PBMC_10
sample_id_64	GSE163579	hg38	GSM4982191	GSM4982191	34112698	Human	Bone marrow	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) Richter's transformation	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_019	counts	0	5909	4	63	Chronic lymphocytic leukemia (CLL) Richter's transformation_Bone marrow
sample_id_65	GSE163579	hg38	GSM4982193	GSM4982193	34112698	Human	Lymph node	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) Richter's transformation	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_017	counts	0	4325	4	64	Chronic lymphocytic leukemia (CLL) Richter's transformation_Lymph node_1
sample_id_66	GSE163579	hg38	GSM4982194	GSM4982194	34112698	Human	Lymph node	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) Richter's transformation	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_016	counts	0	4382	4	65	Chronic lymphocytic leukemia (CLL) Richter's transformation_Lymph node_2
sample_id_67	GSE163579	hg38	GSM4982195	GSM4982195	34112698	Human	Lymph node	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) Richter's transformation	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_015	counts	0	4702	4	66	Chronic lymphocytic leukemia (CLL) Richter's transformation_Lymph node_3
sample_id_68	GSE163579	hg38	GSM4982196	GSM4982196	34112698	Human	Lymph node	mtscATAC-seq	Disease	Chronic lymphocytic leukemia (CLL) Richter's transformation	Mitochondrial mutations have the potential to act as natural barcodes that allow the tracking of heterogenous cell populations at the single cell level, but thus far, the dynamics of mitochondrial mutations across time and tissue compartments have not been extensively studied. This dataset was generated using mtscATAC-seq to track mitochondrial mutations in peripheral blood, bone marrow and lymph node from 9 patients with chronic lymphocytic leukemia (CLL) across different clinical scenarios. Our in-depth analysis reveals different patterns of dynamisms in mitochondrial mutations in patients undergoing watchful waiting, chemotherapy with fludarabine, cyclophosphamide and rituximab (FCR), allogeneic stem cell transplantation, ibrutinib treatment or transformation to Richter’s syndrome. We provide evidence that mitochondrial mutations can link CLL subclones with distinct chromatin cell states. Mitochondrial mutations appear to recapitulate disease history in CLL, providing patient-level support of the concept of in vivo natural barcodes as a means for understanding clonal dynamics in cancer.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_014	counts	0	4500	4	67	Chronic lymphocytic leukemia (CLL) Richter's transformation_Lymph node_4
sample_id_69	GSE165904	hg38	GSM5057721	GSM5057721	34174187	Human	Blood	scATAC-seq	Normal	Monocytes and dendritic cells	Human subjects were vaccinated with adjuvanted (AS03) or unadjuvanted pre-pandemic influenza vaccines H5N1 at day 0 and d21. We then used scATAC-seq to construct the single-cell landscape of the innate immune response to those vaccines at the epigenomic level. PBMCs from vaccinated individuals were isolated at day 0, 21, and 42, then enriched for DC subsets using flow cytometry and analyzed using droplet-based single-cell chromatin accessibility profiling.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_118	counts	0	3808	5	68	Monocytes and dendritic cells_Blood_1
sample_id_70	GSE165904	hg38	GSM5057724	GSM5057724	34174187	Human	Blood	scATAC-seq	Normal	Monocytes and dendritic cells	Human subjects were vaccinated with adjuvanted (AS03) or unadjuvanted pre-pandemic influenza vaccines H5N1 at day 0 and d21. We then used scATAC-seq to construct the single-cell landscape of the innate immune response to those vaccines at the epigenomic level. PBMCs from vaccinated individuals were isolated at day 0, 21, and 42, then enriched for DC subsets using flow cytometry and analyzed using droplet-based single-cell chromatin accessibility profiling.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_121	counts	0	4460	6	69	Monocytes and dendritic cells_Blood_2
sample_id_71	GSE165906	hg38	GSM5057807,GSM5057808,GSM5057809,GSM5057810,GSM5057811,GSM5057812,GSM5057814,GSM5057815,GSM5057816,GSM5057817,GSM5057818,GSM5057819,GSM5057820,GSM5057821,GSM5057823,GSM5057824	GSE165906	34174187	Human	Blood	scATAC-seq	Normal	Monocytes and dendritic cells	Human subjects were vaccinated with seasonal influenza vaccine (TIV, 2014-2015). We then used scATAC-seq to construct the single-cell landscape of the innate immune response to TIV at the epigenomic level. PBMCs from vaccinated individuals were isolated at day 0, 1, and 30, then enriched for DC subsets using flow cytometry and analyzed using droplet-based single-cell chromatin accessibility profiling.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_330	counts	1	14053	4	70	Monocytes and dendritic cells_Blood_3
sample_id_72	GSE165906	hg38	GSM5057811	GSM5057811	34174187	Human	Blood	scATAC-seq	Normal	Monocytes and dendritic cells	Human subjects were vaccinated with seasonal influenza vaccine (TIV, 2014-2015). We then used scATAC-seq to construct the single-cell landscape of the innate immune response to TIV at the epigenomic level. PBMCs from vaccinated individuals were isolated at day 0, 1, and 30, then enriched for DC subsets using flow cytometry and analyzed using droplet-based single-cell chromatin accessibility profiling.	scBlood	https://bio.liclab.net/scBlood/detail1?sampleId=scBlood_h_064	counts	0	4857	4	71	Monocytes and dendritic cells_Blood_4
