motif_name	tf
PAX3:FKHR-fusion(Paired,Homeobox)/Rh4-PAX3:FKHR-ChIP-Seq(GSE19063)/Homer	PAX3-FKHR
PAX5(Paired,Homeobox),condensed/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer	PAX5-SHORT
PAX5(Paired,Homeobox)/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer	PAX5
PAX6(Paired,Homeobox)/Forebrain-Pax6-ChIP-Seq(GSE66961)/Homer	PAX6
Pax7(Paired,Homeobox),long/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer	PAX7-LONG
Pax7(Paired,Homeobox),longest/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer	PAX7-LONGEST
Pax7(Paired,Homeobox)/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer	PAX7
Pax8(Paired,Homeobox)/Thyroid-Pax8-ChIP-Seq(GSE26938)/Homer	PAX8
PBX1(Homeobox)/MCF7-PBX1-ChIP-Seq(GSE28007)/Homer	PBX1
PBX2(Homeobox)/K562-PBX2-ChIP-Seq(Encode)/Homer	PBX2
Pbx3(Homeobox)/GM12878-PBX3-ChIP-Seq(GSE32465)/Homer	PBX3
Pdx1(Homeobox)/Islet-Pdx1-ChIP-Seq(SRA008281)/Homer	PDX1
PGR(NR)/EndoStromal-PGR-ChIP-Seq(GSE69539)/Homer	PGR
Phox2a(Homeobox)/Neuron-Phox2a-ChIP-Seq(GSE31456)/Homer	PHOX2A
Phox2b(Homeobox)/CLBGA-PHOX2B-ChIP-Seq(GSE90683)/Homer	PHOX2B
Pit1+1bp(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)/Homer	PIT1-LONG
Pit1(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)/Homer	PIT1
Pitx1:Ebox(Homeobox,bHLH)/Hindlimb-Pitx1-ChIP-Seq(GSE41591)/Homer	PITX1-EBOX
Pitx1(Homeobox)/Chicken-Pitx1-ChIP-Seq(GSE38910)/Homer	PITX1
Pknox1(Homeobox)/ES-Prep1-ChIP-Seq(GSE63282)/Homer	PKNOX1
POU4F3(POU,Homeobox)/MEF-Pou4f3-ChIP-Seq(GSE150279)/Homer	POU4F3
PPARa(NR),DR1/Liver-Ppara-ChIP-Seq(GSE47954)/Homer	PPARA
PPARE(NR),DR1/3T3L1-Pparg-ChIP-Seq(GSE13511)/Homer	PPARG
PR(NR)/T47D-PR-ChIP-Seq(GSE31130)/Homer	PR
PRDM1(Zf)/Hela-PRDM1-ChIP-Seq(GSE31477)/Homer	PRDM1
PRDM10(Zf)/HEK293-PRDM10.eGFP-ChIP-Seq(Encode)/Homer	PRDM10
PRDM14(Zf)/H1-PRDM14-ChIP-Seq(GSE22767)/Homer	PRDM14
PRDM15(Zf)/ESC-Prdm15-ChIP-Seq(GSE73694)/Homer	PRDM15
PRDM9(Zf)/Testis-DMC1-ChIP-Seq(GSE35498)/Homer	PRDM9
Prop1(Homeobox)/GHFT1-PROP1.biotin-ChIP-Seq(GSE77302)/Homer	PROP1
PSE(SNAPc)/K562-mStart-Seq/Homer	PSE
Ptf1a(bHLH)/Panc1-Ptf1a-ChIP-Seq(GSE47459)/Homer	PTF1A
PU.1-IRF(ETS:IRF)/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	PU1-IRF
PU.1:IRF8(ETS:IRF)/pDC-Irf8-ChIP-Seq(GSE66899)/Homer	PU1-IRF8
PU.1(ETS)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer	PU1
RARa(NR)/K562-RARa-ChIP-Seq(Encode)/Homer	RARA
RARg(NR)/ES-RARg-ChIP-Seq(GSE30538)/Homer	RARG
RBPJ:Ebox(?,bHLH)/Panc1-Rbpj1-ChIP-Seq(GSE47459)/Homer	RBPJ1-EBOX
Rbpj1(?)/Panc1-Rbpj1-ChIP-Seq(GSE47459)/Homer	RBPJ1
REST-NRSF(Zf)/Jurkat-NRSF-ChIP-Seq/Homer	REST
Reverb(NR),DR2/RAW-Reverba.biotin-ChIP-Seq(GSE45914)/Homer	REVERB
Rfx1(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	RFX1
Rfx2(HTH)/LoVo-RFX2-ChIP-Seq(GSE49402)/Homer	RFX2
RFX(HTH)/K562-RFX3-ChIP-Seq(SRA012198)/Homer	RFX3
Rfx5(HTH)/GM12878-Rfx5-ChIP-Seq(GSE31477)/Homer	RFX5
Rfx6(HTH)/Min6b1-Rfx6.HA-ChIP-Seq(GSE62844)/Homer	RFX6
Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522)/Homer	RONIN
RORa(NR)/Liver-Rora-ChIP-Seq(GSE101115)/Homer	RORA
RORg(NR)/Liver-Rorc-ChIP-Seq(GSE101115)/Homer	RORG
RORgt(NR)/EL4-RORgt.Flag-ChIP-Seq(GSE56019)/Homer	RORGT
RUNX-AML(Runt)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer	RUNX
RUNX1(Runt)/Jurkat-RUNX1-ChIP-Seq(GSE29180)/Homer	RUNX1
RUNX(Runt)/HPC7-Runx1-ChIP-Seq(GSE22178)/Homer	RUNX1M
RUNX2(Runt)/PCa-RUNX2-ChIP-Seq(GSE33889)/Homer	RUNX2
RXR(NR),DR1/3T3L1-RXR-ChIP-Seq(GSE13511)/Homer	RXR
SCL(bHLH)/HPC7-Scl-ChIP-Seq(GSE13511)/Homer	SCL
SCRT1(Zf)/HEK293-SCRT1.eGFP-ChIP-Seq(Encode)/Homer	SCRT1
SF1(NR)/H295R-Nr5a1-ChIP-Seq(GSE44220)/Homer	SF1
Six1(Homeobox)/Myoblast-Six1-ChIP-Chip(GSE20150)/Homer	SIX1
Six2(Homeobox)/NephronProgenitor-Six2-ChIP-Seq(GSE39837)/Homer	SIX2
Six4(Homeobox)/MCF7-SIX4-ChIP-Seq(Encode)/Homer	SIX4
Smad2(MAD)/ES-SMAD2-ChIP-Seq(GSE29422)/Homer	SMAD2
Smad3(MAD)/NPC-Smad3-ChIP-Seq(GSE36673)/Homer	SMAD3
Smad4(MAD)/ESC-SMAD4-ChIP-Seq(GSE29422)/Homer	SMAD4
Snail1(Zf)/LS174T-SNAIL1.HA-ChIP-Seq(GSE127183)/Homer	SNAI1
Slug(Zf)/Mesoderm-Snai2-ChIP-Seq(GSE61475)/Homer	SNAI2
SOX1(HMG)/NPC-SOX1-ChIP-Seq(GSE138215)/Homer	SOX1
Sox10(HMG)/SciaticNerve-Sox3-ChIP-Seq(GSE35132)/Homer	SOX10
Sox15(HMG)/CPA-Sox15-ChIP-Seq(GSE62909)/Homer	SOX15
Sox17(HMG)/Endoderm-Sox17-ChIP-Seq(GSE61475)/Homer	SOX17
Sox2(HMG)/mES-Sox2-ChIP-Seq(GSE11431)/Homer	SOX2
Sox21(HMG)/ESC-SOX21-ChIP-Seq(GSE110505)/Homer	SOX21
Sox3(HMG)/NPC-Sox3-ChIP-Seq(GSE33059)/Homer	SOX3
Sox4(HMG)/proB-Sox4-ChIP-Seq(GSE50066)/Homer	SOX4
Sox6(HMG)/Myotubes-Sox6-ChIP-Seq(GSE32627)/Homer	SOX6
Sox7(HMG)/ESC-Sox7-ChIP-Seq(GSE133899)/Homer	SOX7
Sox9(HMG)/Limb-SOX9-ChIP-Seq(GSE73225)/Homer	SOX9
Sp1(Zf)/Promoter/Homer	SP1
Sp2(Zf)/HEK293-Sp2.eGFP-ChIP-Seq(Encode)/Homer	SP2
Sp5(Zf)/mES-Sp5.Flag-ChIP-Seq(GSE72989)/Homer	SP5
SPDEF(ETS)/VCaP-SPDEF-ChIP-Seq(SRA014231)/Homer	SPDEF
SpiB(ETS)/OCILY3-SPIB-ChIP-Seq(GSE56857)/Homer	SPIB
Srebp1a(bHLH)/HepG2-Srebp1a-ChIP-Seq(GSE31477)/Homer	SREBP1A
Srebp2(bHLH)/HepG2-Srebp2-ChIP-Seq(GSE31477)/Homer	SREBP2
CArG(MADS)/PUER-Srf-ChIP-Seq(Sullivan_et_al.)/Homer	SRF
ZNF143|STAF(Zf)/CUTLL-ZNF143-ChIP-Seq(GSE29600)/Homer	STAF
STAT1(Stat)/HelaS3-STAT1-ChIP-Seq(GSE12782)/Homer	STAT1
Stat3+il21(Stat)/CD4-Stat3-ChIP-Seq(GSE19198)/Homer	STAT3-IL23
Stat3(Stat)/mES-Stat3-ChIP-Seq(GSE11431)/Homer	STAT3
STAT4(Stat)/CD4-Stat4-ChIP-Seq(GSE22104)/Homer	STAT4
STAT5(Stat)/mCD4+-Stat5-ChIP-Seq(GSE12346)/Homer	STAT5
STAT6(Stat)/Macrophage-Stat6-ChIP-Seq(GSE38377)/Homer	STAT6-2
STAT6(Stat)/CD4-Stat6-ChIP-Seq(GSE22104)/Homer	STAT6
T1ISRE(IRF)/ThioMac-Ifnb-Expression/Homer	T1ISRE
TATA-Box(TBP)/Promoter/Homer	TATA
TATA-box/Drosophila-Promoters/Homer	TATA
TATA-box/SacCer-Promoters/Homer	TATA
Tbet(T-box)/CD8-Tbet-ChIP-Seq(GSE33802)/Homer	TBET
Tbox:Smad(T-box,MAD)/ESCd5-Smad2_3-ChIP-Seq(GSE29422)/Homer	TBOX-SMAD
Tbr1(T-box)/Cortex-Tbr1-ChIP-Seq(GSE71384)/Homer	TBR1
Tbx20(T-box)/Heart-Tbx20-ChIP-Seq(GSE29636)/Homer	TBX20
Tbx21(T-box)/GM12878-TBX21-ChIP-Seq(Encode)/Homer	TBX21
Tbx5(T-box)/HL1-Tbx5.biotin-ChIP-Seq(GSE21529)/Homer	TBX5
Tbx6(T-box)/ESC-Tbx6-ChIP-Seq(GSE93524)/Homer	TBX6
Tcf12(bHLH)/GM12878-Tcf12-ChIP-Seq(GSE32465)/Homer	TCF12
Tcf21(bHLH)/ArterySmoothMuscle-Tcf21-ChIP-Seq(GSE61369)/Homer	TCF21
Tcf3(HMG)/mES-Tcf3-ChIP-Seq(GSE11724)/Homer	TCF3
TCF4(bHLH)/SHSY5Y-TCF4-ChIP-Seq(GSE96915)/Homer	TCF4
Tcf4(HMG)/Hct116-Tcf4-ChIP-Seq(SRA012054)/Homer	TCF4
Tcf7(HMG)/GM12878-TCF7-ChIP-Seq(Encode)/Homer	TCF7
TCFL2(HMG)/K562-TCF7L2-ChIP-Seq(GSE29196)/Homer	TCF7L2
Tcfcp2l1(CP2)/mES-Tcfcp2l1-ChIP-Seq(GSE11431)/Homer	TCFCP2L1
TEAD(TEA)/Fibroblast-PU.1-ChIP-Seq(Unpublished)/Homer	TEAD
TEAD1(TEAD)/HepG2-TEAD1-ChIP-Seq(Encode)/Homer	TEAD1
TEAD2(TEA)/Py2T-Tead2-ChIP-Seq(GSE55709)/Homer	TEAD2
TEAD3(TEA)/HepG2-TEAD3-ChIP-Seq(Encode)/Homer	TEAD3
TEAD4(TEA)/Tropoblast-Tead4-ChIP-Seq(GSE37350)/Homer	TEAD4
TFDP1(E2F)/K562-TFDP1-ChIP-Seq(GSE105217)/Homer	TFDP1
TFE3(bHLH)/MEF-TFE3-ChIP-Seq(GSE75757)/Homer	TFE3
Tgif1(Homeobox)/mES-Tgif1-ChIP-Seq(GSE55404)/Homer	TGIF1
Tgif2(Homeobox)/mES-Tgif2-ChIP-Seq(GSE55404)/Homer	TGIF2
THRb(NR)/HepG2-THRb.Flag-ChIP-Seq(Encode)/Homer	THRB
Tlx?(NR)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	TLX
TR4(NR),DR1/Hela-TR4-ChIP-Seq(GSE24685)/Homer	TR4
THRa(NR)/C17.2-THRa-ChIP-Seq(GSE38347)/Homer	TRA
THRb(NR)/Liver-NR1A2-ChIP-Seq(GSE52613)/Homer	TRB
TRPS1(Zf)/MCF7-TRPS1-ChIP-Seq(GSE107013)/Homer	TRPS1
Twist(bHLH)/HMLE-TWIST1-ChIP-Seq(Chang_et_al)/Homer	TWIST1
Twist2(bHLH)/Myoblast-Twist2.Ty1-ChIP-Seq(GSE127998)/Homer	TWIST2
USF1(bHLH)/GM12878-Usf1-ChIP-Seq(GSE32465)/Homer	USF1
Usf2(bHLH)/C2C12-Usf2-ChIP-Seq(GSE36030)/Homer	USF2
VDR(NR),DR3/GM10855-VDR+vitD-ChIP-Seq(GSE22484)/Homer	VDR
WT1(Zf)/Kidney-WT1-ChIP-Seq(GSE90016)/Homer	WT1
X-box(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer	XBOX
YY1(Zf)/Promoter/Homer	YY1
Zac1(Zf)/Neuro2A-Plagl1-ChIP-Seq(GSE75942)/Homer	ZAC1
ZBED2(Zf)/SUIT2-ZBED2.HA-ChIP-Seq(GSE141606)/Homer	ZBED2
ZBTB12(Zf)/HEK293-ZBTB12.GFP-ChIP-Seq(GSE58341)/Homer	ZBTB12
ZBTB18(Zf)/HEK293-ZBTB18.GFP-ChIP-Seq(GSE58341)/Homer	ZBTB18
ZBTB33(Zf)/GM12878-ZBTB33-ChIP-Seq(GSE32465)/Homer	ZBTB33
ZBTB38(Zf)/Hela-ZBTB38-ChIP-seq(GSE108618)/Homer	ZBTB38
ZBTB9(Zf)/HEK293T-ZBTB9-ChIP-Seq(GSE251687)/Homer	ZBTB9
ZEB1(Zf)/PDAC-ZEB1-ChIP-Seq(GSE64557)/Homer	ZEB1
ZEB2(Zf)/SNU398-ZEB2-ChIP-Seq(GSE103048)/Homer	ZEB2
Zfp281(Zf)/ES-Zfp281-ChIP-Seq(GSE81042)/Homer	ZFP281
ZFP3(Zf)/HEK293-ZFP3.GFP-ChIP-Seq(GSE58341)/Homer	ZFP3
Zfp541(Zf)/Sperm-Zfp541-ChIP-Seq(GSE163916)/Homer	ZFP541
Zfp57(Zf)/H1-ZFP57.HA-ChIP-Seq(GSE115387)/Homer	ZFP57
Zfp809(Zf)/ES-Zfp809-ChIP-Seq(GSE70799)/Homer	ZFP809
ZFX(Zf)/mES-Zfx-ChIP-Seq(GSE11431)/Homer	ZFX
Zic(Zf)/Cerebellum-ZIC1.2-ChIP-Seq(GSE60731)/Homer	ZIC
Zic2(Zf)/ESC-Zic2-ChIP-Seq(SRP197560)/Homer	ZIC2
Zic3(Zf)/mES-Zic3-ChIP-Seq(GSE37889)/Homer	ZIC3
ZKSCAN1(Zf)/HepG2-ZKSCAN1-ChIP-Seq(Encode)/Homer	ZKSCAN1
ZNF136(Zf)/HEK293-ZNF136.GFP-ChIP-Seq(GSE58341)/Homer	ZNF136
ZNF148(Zf)/MDAMB231-ZNF148-ChIP-Seq(GSE147020)/Homer	ZNF148
ZNF16(Zf)/HEK293-ZNF16.GFP-ChIP-Seq(GSE58341)/Homer	ZNF16
ZNF165(Zf)/WHIM12-ZNF165-ChIP-Seq(GSE65937)/Homer	ZNF165
ZNF189(Zf)/HEK293-ZNF189.GFP-ChIP-Seq(GSE58341)/Homer	ZNF189
Znf263(Zf)/K562-Znf263-ChIP-Seq(GSE31477)/Homer	ZNF263
ZNF264(Zf)/HEK293-ZNF264.GFP-ChIP-Seq(GSE58341)/Homer	ZNF264
ZNF317(Zf)/HEK293-ZNF317.GFP-ChIP-Seq(GSE58341)/Homer	ZNF317
ZNF322(Zf)/HEK293-ZNF322.GFP-ChIP-Seq(GSE58341)/Homer	ZNF322
ZNF341(Zf)/EBV-ZNF341-ChIP-Seq(GSE113194)/Homer	ZNF341
ZNF382(Zf)/HEK293-ZNF382.GFP-ChIP-Seq(GSE58341)/Homer	ZNF382
ZNF41(Zf)/HEK293-ZNF41.GFP-ChIP-Seq(GSE58341)/Homer	ZNF41
ZNF410(Zf)/CD34-ZNF410-ChIP-Seq(GSE154960)/Homer	ZNF410
ZNF415(Zf)/HEK293-ZNF415.GFP-ChIP-Seq(GSE58341)/Homer	ZNF415
ZNF416(Zf)/HEK293-ZNF416.GFP-ChIP-Seq(GSE58341)/Homer	ZNF416
ZNF467(Zf)/HEK293-ZNF467.GFP-ChIP-Seq(GSE58341)/Homer	ZNF467
ZNF519(Zf)/HEK293-ZNF519.GFP-ChIP-Seq(GSE58341)/Homer	ZNF519
ZNF528(Zf)/HEK293-ZNF528.GFP-ChIP-Seq(GSE58341)/Homer	ZNF528
ZNF652/HepG2-ZNF652.Flag-ChIP-Seq(Encode)/Homer	ZNF652
ZNF669(Zf)/HEK293-ZNF669.GFP-ChIP-Seq(GSE58341)/Homer	ZNF669
ZNF675(Zf)/HEK293-ZNF675.GFP-ChIP-Seq(GSE58341)/Homer	ZNF675
ZNF692(Zf)/HEK293-ZNF692.GFP-ChIP-Seq(GSE58341)/Homer	ZNF692
ZNF7(Zf)/HepG2-ZNF7.Flag-ChIP-Seq(Encode)/Homer	ZNF7
ZNF711(Zf)/SHSY5Y-ZNF711-ChIP-Seq(GSE20673)/Homer	ZNF711
ZNF768(Zf)/Rajj-ZNF768-ChIP-Seq(GSE111879)/Homer	ZNF768
ZNF91(Zf)/HEK-ZNF91.HA-ChIP-Seq(GSE162571)/Homer	ZNF91
ZSCAN22(Zf)/HEK293-ZSCAN22.GFP-ChIP-Seq(GSE58341)/Homer	ZSCAN22
Zscan4c(Zf)/ESC-Zscan4c-ChIP-seq(GSE140619)/Homer	ZSCAN4C
cTATA(CPE)	CTATA
DPR(core promoter)	DPR
hINR(CPE)	HINR
hTCT(CPE)	HTCT
Inr	INR
SeqBias: polyA-repeat	A-REPEAT
AARE(HLH)/mES-cMyc-ChIP-Seq/Homer	AARE
SeqBias: polyC-repeat	C-REPEAT
SeqBias: C/A-bias	CA-BIAS
SeqBias: CA-repeat	CA-REPEAT
SeqBias: CG bias	CG-BIAS
SeqBias: CG-repeat	CG-REPEAT
SeqBias: G/A bias	GA-BIAS
SeqBias: GA-repeat	GA-REPEAT
SeqBias: GCW-triplet	GCA-REPEAT
SeqBias: A/T bias	TA-BIAS
SeqBias: TA-repeat	TA-REPEAT
 Ik-1	IK1
Tal1	TAL1
bcd(Homeobox)/Embryo-Bcd-ChIP-Seq(GSE86966)/Homer	BCD
caudal(Homeobox)/Drosophila-Embryos-ChIP-Chip(modEncode)/Homer	CAUDAL
CTCF(Zf)/WholeFly-dCTCF-ChIP-seq(GSE175402)/Homer	DCTCF
dHNF4(NR)/Fly-HNF4-ChIP-Seq(GSE73675)/Homer	DHNF4
Dorsal(RHD)/Embryo-dl-ChIP-Seq(GSE65441)/Homer	DL
DREF/Drosophila-Promoters/Homer	DREF
Trl(Zf)/S2-GAGAfactor-ChIP-Seq(GSE40646)/Homer	GAF
Unknown1(NR/Ini-like)/Drosophila-Promoters/Homer	INI-NR
Initiator/Drosophila-Promoters/Homer	INI
Lola-I(Zf)/Embryo-LolaI-ChIP-Seq(GSE200870)/Homer	LOLAI
M1BP(Zf)/S2R+-M1BP-ChIP-Seq(GSE49842)/Homer	M1BP
Unknown2/Drosophila-Promoters/Homer	UNKPRM2
Unknown2/Arabidopsis-Promoters/Homer	UNKPRM2
Unknown3/Drosophila-Promoters/Homer	UNKPRM3
Unknown3/Arabidopsis-Promoters/Homer	UNKPRM3
Unknown4/Drosophila-Promoters/Homer	UNKPRM4
Unknown4/Arabidopsis-Promoters/Homer	UNKPRM4
Unknown5/Drosophila-Promoters/Homer	UNKPRM5
Unknown6/Drosophila-Promoters/Homer	UNKPRM6
Zelda(Zf)/Embryo-zld-ChIP-Seq(GSE65441)/Homer	ZELDA
ABF1(bZIP)/Arabidopsis-ABF1-ChIP-Seq(GSE80564)/Homer	ABF1
ABF1/SacCer-Promoters/Homer	ABF1
ABF2(bZIP)/col-ABF2-DAP-Seq(GSE60143)/Homer	ABF2
ABI5(bZIP)/col-ABI5-DAP-Seq(GSE60143)/Homer	ABI5
ABR1(AP2EREBP)/colamp-ABR1-DAP-Seq(GSE60143)/Homer	ABR1
Adof1(C2C2dof)/col-Adof1-DAP-Seq(GSE60143)/Homer	ADOF1
AGL13(MADS)/col-AGL13-DAP-Seq(GSE60143)/Homer	AGL13
AGL15(MADS)/col-AGL15-DAP-Seq(GSE60143)/Homer	AGL15
AGL16(MADS)/col-AGL16-DAP-Seq(GSE60143)/Homer	AGL16
AGL25(MADS)/colamp-AGL25-DAP-Seq(GSE60143)/Homer	AGL25
AGL6(MADS)/col-AGL6-DAP-Seq(GSE60143)/Homer	AGL6
AGL63(MADS)/col-AGL63-DAP-Seq(GSE60143)/Homer	AGL63
AGL95(ND)/col-AGL95-DAP-Seq(GSE60143)/Homer	AGL95
AIL7(AP2EREBP)/colamp-AIL7-DAP-Seq(GSE60143)/Homer	AIL7
ANAC004(NAC)/colamp-ANAC004-DAP-Seq(GSE60143)/Homer	ANAC004
ANAC005(NAC)/col-ANAC005-DAP-Seq(GSE60143)/Homer	ANAC005
ANAC011(NAC)/col-ANAC011-DAP-Seq(GSE60143)/Homer	ANAC011
ANAC013(NAC)/col-ANAC013-DAP-Seq(GSE60143)/Homer	ANAC013
ANAC016(NAC)/col-ANAC016-DAP-Seq(GSE60143)/Homer	ANAC016
ANAC017(NAC)/colamp-ANAC017-DAP-Seq(GSE60143)/Homer	ANAC017
ANAC020(NAC)/col-ANAC020-DAP-Seq(GSE60143)/Homer	ANAC020
ANAC028(NAC)/col-ANAC028-DAP-Seq(GSE60143)/Homer	ANAC028
ANAC038(NAC)/col-ANAC038-DAP-Seq(GSE60143)/Homer	ANAC038
ANAC042(NAC)/col-ANAC042-DAP-Seq(GSE60143)/Homer	ANAC042
ANAC045(NAC)/col-ANAC045-DAP-Seq(GSE60143)/Homer	ANAC045
ANAC046(NAC)/colamp-ANAC046-DAP-Seq(GSE60143)/Homer	ANAC046
ANAC047(NAC)/colamp-ANAC047-DAP-Seq(GSE60143)/Homer	ANAC047
ANAC050(NAC)/colamp-ANAC050-DAP-Seq(GSE60143)/Homer	ANAC050
ANAC053(NAC)/colamp-ANAC053-DAP-Seq(GSE60143)/Homer	ANAC053
ANAC057(NAC)/colamp-ANAC057-DAP-Seq(GSE60143)/Homer	ANAC057
ANAC058(NAC)/col-ANAC058-DAP-Seq(GSE60143)/Homer	ANAC058
ANAC062(NAC)/colamp-ANAC062-DAP-Seq(GSE60143)/Homer	ANAC062
ANAC070(NAC)/colamp-ANAC070-DAP-Seq(GSE60143)/Homer	ANAC070
ANAC071(NAC)/col-ANAC071-DAP-Seq(GSE60143)/Homer	ANAC071
ANAC075(NAC)/col-ANAC075-DAP-Seq(GSE60143)/Homer	ANAC075
ANAC079(NAC)/colamp-ANAC079-DAP-Seq(GSE60143)/Homer	ANAC079
ANAC083(NAC)/col-ANAC083-DAP-Seq(GSE60143)/Homer	ANAC083
ANAC087(NAC)/col-ANAC087-DAP-Seq(GSE60143)/Homer	ANAC087
ANAC092(NAC)/colamp-ANAC092-DAP-Seq(GSE60143)/Homer	ANAC092
ANAC094(NAC)/col-ANAC094-DAP-Seq(GSE60143)/Homer	ANAC094
ANAC096(NAC)/colamp-ANAC096-DAP-Seq(GSE60143)/Homer	ANAC096
ANAC103(NAC)/col-ANAC103-DAP-Seq(GSE60143)/Homer	ANAC103
ANL2(HB)/col-ANL2-DAP-Seq(GSE60143)/Homer	ANL2
AREB3(bZIP)/col-AREB3-DAP-Seq(GSE60143)/Homer	AREB3
ARF16(ARF)/col-ARF16-DAP-Seq(GSE60143)/Homer	ARF16
ARF2(ARF)/col-ARF2-DAP-Seq(GSE60143)/Homer	ARF2
AS2(LOBAS2)/col-AS2-DAP-Seq(GSE60143)/Homer	AS2
ASHR1(ND)/col-ASHR1-DAP-Seq(GSE60143)/Homer	ASHR1
ASL18(LOBAS2)/colamp-ASL18-DAP-Seq(GSE60143)/Homer	ASL18
AT1G01250(AP2EREBP)/col-AT1G01250-DAP-Seq(GSE60143)/Homer	AT1G01250
AT1G04880(ARID)/colamp-AT1G04880-DAP-Seq(GSE60143)/Homer	AT1G04880
AT1G10720(BSD)/col-AT1G10720-DAP-Seq(GSE60143)/Homer	AT1G10720
AT1G12630(AP2EREBP)/colamp-AT1G12630-DAP-Seq(GSE60143)/Homer	AT1G12630
At1g13300(G2like)/col-At1g13300-DAP-Seq(GSE60143)/Homer	AT1G13300
At1g14580(C2H2)/colamp-At1g14580-DAP-Seq(GSE60143)/Homer	AT1G14580
At1g19000(MYBrelated)/colamp-At1g19000-DAP-Seq(GSE60143)/Homer	AT1G19000
AT1G19040(NAC)/col-AT1G19040-DAP-Seq(GSE60143)/Homer	AT1G19040
At1g19210(AP2EREBP)/colamp-At1g19210-DAP-Seq(GSE60143)/Homer	AT1G19210
AT1G20910(ARID)/col-AT1G20910-DAP-Seq(GSE60143)/Homer	AT1G20910
At1g22810(AP2EREBP)/colamp-At1g22810-DAP-Seq(GSE60143)/Homer	AT1G22810
AT1G23810(Orphan)/col-AT1G23810-DAP-Seq(GSE60143)/Homer	AT1G23810
AT1G24250(Orphan)/col-AT1G24250-DAP-Seq(GSE60143)/Homer	AT1G24250
At1g25550(G2like)/colamp-At1g25550-DAP-Seq(GSE60143)/Homer	AT1G25550
AT1G28160(AP2EREBP)/colamp-AT1G28160-DAP-Seq(GSE60143)/Homer	AT1G28160
At1g36060(AP2EREBP)/colamp-At1g36060-DAP-Seq(GSE60143)/Homer	AT1G36060
AT1G44830(AP2EREBP)/col-AT1G44830-DAP-Seq(GSE60143)/Homer	AT1G44830
AT1G47655(C2C2dof)/colamp-AT1G47655-DAP-Seq(GSE60143)/Homer	AT1G47655
At1g49010(MYBrelated)/col-At1g49010-DAP-Seq(GSE60143)/Homer	AT1G49010
AT1G49560(G2like)/colamp-AT1G49560-DAP-Seq(GSE60143)/Homer	AT1G49560
At1g64620(C2C2dof)/colamp-At1g64620-DAP-Seq(GSE60143)/Homer	AT1G64620
At1g68670(G2like)/colamp-At1g68670-DAP-Seq(GSE60143)/Homer	AT1G68670
AT1G69570(C2C2dof)/col-AT1G69570-DAP-Seq(GSE60143)/Homer	AT1G69570
At1g69690(TCP)/colamp-At1g69690-DAP-Seq(GSE60143)/Homer	AT1G69690
AT1G71450(AP2EREBP)/col-AT1G71450-DAP-Seq(GSE60143)/Homer	AT1G71450
At1g72010(TCP)/colamp-At1g72010-DAP-Seq(GSE60143)/Homer	AT1G72010
AT1G72740(MYBrelated)/colamp-AT1G72740-DAP-Seq(GSE60143)/Homer	AT1G72740
At1g74840(MYBrelated)/col100-At1g74840-DAP-Seq(GSE60143)/Homer	AT1G74840
At1g75490(AP2EREBP)/colamp-At1g75490-DAP-Seq(GSE60143)/Homer	AT1G75490
At1g76110(ARID)/colamp-At1g76110-DAP-Seq(GSE60143)/Homer	AT1G76110
AT1G76870(Trihelix)/col-AT1G76870-DAP-Seq(GSE60143)/Homer	AT1G76870
AT1G76880(Trihelix)/col-AT1G76880-DAP-Seq(GSE60143)/Homer	AT1G76880
AT1G77200(AP2EREBP)/colamp-AT1G77200-DAP-Seq(GSE60143)/Homer	AT1G77200
At1g77640(AP2EREBP)/col-At1g77640-DAP-Seq(GSE60143)/Homer	AT1G77640
At1g78700(BZR)/col-At1g78700-DAP-Seq(GSE60143)/Homer	AT1G78700
At2g01060(G2like)/colamp-At2g01060-DAP-Seq(GSE60143)/Homer	AT2G01060
AT2G01818(PLATZ)/col-AT2G01818-DAP-Seq(GSE60143)/Homer	AT2G01818
At2g03500(G2like)/col-At2g03500-DAP-Seq(GSE60143)/Homer	AT2G03500
AT2G15740(C2H2)/col-AT2G15740-DAP-Seq(GSE60143)/Homer	AT2G15740
AT2G20110(CPP)/colamp-AT2G20110-DAP-Seq(GSE60143)/Homer	AT2G20110
AT2G20400(G2like)/colamp-AT2G20400-DAP-Seq(GSE60143)/Homer	AT2G20400
AT2G28810(C2C2dof)/colamp-AT2G28810-DAP-Seq(GSE60143)/Homer	AT2G28810
AT2G28920(ND)/col-AT2G28920-DAP-Seq(GSE60143)/Homer	AT2G28920
