meta_id	trait	mesh_term	mesh_id	sample_size	n_case	n_control	popu	author	pmid	year	n_blocks	n_variants	n_sig	url	note
F901694	Hallux rigidus	Hallux Rigidus	D020859	245321	4459.0	240862.0	EUR	Kurki MI	36653562	2023	2	20009413	47	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_M13_HALLUXRIGIDUS.gz	
FG00294	Day-of-week questionnaire completion requested: Tuesday	Patient Health Questionnaire	D000073222	64001	10293.0	53708.0	UKB	Longda Jiang	31768069	2019	1	8511814	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/20079_2.v1.1.fastGWA.gz	
PE01675	Substances taken for anxiety: Drugs or alcohol (more than once)	Anxiety	D001007	114309	6177.0	108132.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23847000	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20549-both_sexes-4.tsv.bgz	
AT468	L50-L54 Urticaria and erythema	Skin Diseases	D012871	452264	1134.0	451130.0	UKB	Roslin Institute	30349118	2018	6	9124361	10	http://geneatlas.roslin.ed.ac.uk/	
PE02617	Operative procedures - main OPCS4: S64.2 Chemical destruction of nail bed	Surgical Procedures, Operative	D013514	420531	117.0	420414.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861554	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-S642.tsv.bgz	
LD146	Cholesterol esters in medium LDL	Cholesterol, LDL	D008078	19273			EUR	Kettunen	27005778	2016	22	11819592	1435	http://www.computationalmedicine.fi/data#NMR_GWAS	
PE01747	Workplace very noisy: Sometimes	Workplace	D017132	105057	59927.0	45130.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23840543	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-22606-both_sexes-1.tsv.bgz	
GD02025	Pappalysin-1 levels	Cardiovascular System	D002319	21758			EUR	Folkersen L	33067605	2020	11	13692646	585	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012036	
AT205	J35 Chronic diseases of tonsils and adenoids	Pharyngeal Diseases	D010608	452264	1093.0	451171.0	UKB	Roslin Institute	30349118	2018	9	9124370	11	http://geneatlas.roslin.ed.ac.uk/	
PE06801	abortive anti-migraine agent|selective serotonin receptor agonist|migraine	Migraine Disorders	D008881	420531	4534.0	415997.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	67	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-abortive_anti-migraine_agent|selective_serotonin_receptor_agonist|migraine-both_sexes.tsv.bgz	
PE06136	Emphysema	Emphysema	D004646	382081	2425.0	379656.0	UKB	Pan-UKB team	Pan-UKB	2022	4	23861396	240	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-496.1-both_sexes.tsv.bgz	
F900455	Other nutritional anaemias	Nutritional and Metabolic Diseases	D009750	360811	283.0	360528.0	EUR	Kurki MI	36653562	2023	1	20013955	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_D3_NUTRIANAEMIAOTHER.gz	
MR36112	bipolar disorder	Bipolar Disorder	D001714	51710	20352.0	31358.0	EUR	Stahl, E	31043756	2019	16	12380513	240	https://gwas.mrcieu.ac.uk/files/ieu-b-41/ieu-b-41.vcf.gz	
F901322	Other diseases of liver	Liver Diseases	D008107	371502	5052.0	366450.0	EUR	Kurki MI	36653562	2023	8	20014195	157	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_K11_DISLIVOTH.gz	
PA00830	Speech-reception-threshold (SRT) estimate (right)	Hearing	D006309	132144			UKB	Pan-UKB team	Pan-UKB	2022	1	23851254	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20021-both_sexes-irnt.tsv.bgz	
GD01640	CCR7 on naive CD4+ T cell	Chemokines	D018925	2910			EUR	Orrù V	32929287	2020	6	16490506	178	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001907	
PE07168	selective histamine H1 inverse agonist|antihistamine	Receptors, Histamine H1	D011969	420531	2621.0	417910.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-selective_histamine_H1_inverse_agonist|antihistamine-both_sexes.tsv.bgz	
F901908	Menorrhagia	Menorrhagia	D008595	129060	21496.0	107564.0	EUR	Kurki MI	36653562	2023	16	19988371	617	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_N14_MENORRHAGIA.gz	
FG01254	Mean ICVF in superior longitudinal fasciculus on FA skeleton (left)	Superior Sagittal Sinus	D054063	12099			UKB	Longda Jiang	31768069	2019	7	8493116	213	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25385.v1.1.fastGWA.gz	
AT082	B98 Other specified infectious agents as the cause of diseases classified to other chapters	Bacterial Infections	D001424	452264	918.0	451346.0	UKB	Roslin Institute	30349118	2018	7	9124366	21	http://geneatlas.roslin.ed.ac.uk/	
F901799	Disorders of synovium and tendon	Rehabilitation of Speech and Language Disorders	D012049	295704	20492.0	275212.0	EUR	Kurki MI	36653562	2023	5	20011986	602	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_M13_SYNOTEND.gz	
FG01754	Volume of grey matter in Vermis IX Cerebellum	Cerebellar Vermis	D065814	13627			UKB	Longda Jiang	31768069	2019	4	8494580	119	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25916.v1.1.fastGWA.gz	
PE04571	C34 Malignant neoplasm of bronchus and lung	Respiratory Tract Neoplasms	D012142	420531	3048.0	417483.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23861554	91	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-C34-both_sexes.tsv.bgz	
PH427	Intelligence	Intelligence	D007360	78308			UKB	Sniekers S	28530673	2017	17	10016491	329	https://www.ebi.ac.uk/gwas/downloads/summary-statistics	no MAF
PE04979	L72 Follicular cysts of skin and subcutaneous tissue	Follicular Cyst	D005497	420531	9105.0	411426.0	UKB	Pan-UKB team	Pan-UKB	2022	9	23861554	892	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-L72-both_sexes.tsv.bgz	
FG01202	Mean L3 in cingulum hippocampus on FA skeleton (right)	Hippocampus	D006624	12101			UKB	Longda Jiang	31768069	2019	1	8492986	78	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25332.v1.1.fastGWA.gz	
GD00880	FEV1/FVC ratio x sex interaction	Respiratory Function Tests	D012129	303612	168137.0	135475.0	UKB	Fawcett KA	33728380	2020	2	7745510	43	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014239	
MR36139	Non-cancer illness code, self-reported: pulmonary embolism +/- dvt	Pulmonary Embolism	D011655	462933	3823.0	459110.0	UKB	Ben Elsworth	IEU-UKB	2018	6	4439665	390	https://gwas.mrcieu.ac.uk/files/ukb-b-16048/ukb-b-16048.vcf.gz	
F900407	STROKE	Stroke	D020521	311635	39818.0	271817.0	EUR	Kurki MI	36653562	2023	12	20012675	181	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_C_STROKE.gz	
F900445	Immunodeficiency with predominantly antibody defects	Immunologic Deficiency Syndromes	D007153	371966	711.0	371255.0	EUR	Kurki MI	36653562	2023	1	20014217	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_D3_IMMUDEFANTIBODY.gz	
PE03478	Surgery on leg arteries (other than for varicose veins)	Varicose Veins	D014648	30211	1126.0	29085.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23199294	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-5529-both_sexes-5529.tsv.bgz	
FG01860	Length of menstrual cycle	Menstrual Cycle	D008597	42256			UKB	Longda Jiang	31768069	2019	11	8511199	771	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/3710.v1.1.fastGWA.gz	
PE07079	miconazole/hydrocortisone	Miconazole	D008825	420531	15150.0	405381.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23829484	3	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-miconazole_hydrocortisone-both_sexes.tsv.bgz	
MR36260	Cancer code, self-reported: cervical cancer	Uterine Cervical Neoplasms	D002583	462933	1889.0	461044.0	UKB	Ben Elsworth	IEU-UKB	2018	1	3044342	184	https://gwas.mrcieu.ac.uk/files/ukb-b-8777/ukb-b-8777.vcf.gz	
MR39240	Diagnoses - main ICD10: K35.9 Acute appendicitis, unspecified	Diagnosis	D003933	463010	1568.0	461442.0	UKB	Ben Elsworth	IEU-UKB	2018	1	2600242	12	https://gwas.mrcieu.ac.uk/files/ukb-b-686/ukb-b-686.vcf.gz	
PE01628	Victim of physically violent crime	Crime Victims	D019548	136104	25236.0	110868.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23852670	8	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20529-both_sexes-20529.tsv.bgz	
GA033	Time spent outdoors in winter	Human Activities	D006802	304316			UKB	CTGLAB	31427789	2019	16	10367358	924	https://atlas.ctglab.nl/	
BE199	R59 Enlarged lymph nodes	Signs and Symptoms	D012816	361194	1011.0	360183.0	UKB	Nealelab	Nealelab	2018	7	10816227	7	https://docs.google.com/spreadsheets/d/1kvPoupSzsSFBNSztMzl04xMoSC3Kcx3CrjVf4yBmESU/edit#gid=227859490	
PE01194	Operation code: cervical polyps removed	Polyps	D011127	420473	400.0	420073.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1541.tsv.bgz	
PE00981	Treatment/medication code: tiotropium	Bronchodilator Agents	D001993	420473	1061.0	419412.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23861554	7	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141182628.tsv.bgz	
MR15329	Operative procedures - secondary OPCS: Z49.4 Skin of back	Surgical Procedures, Operative	D013514	463010	4928.0	458082.0	UKB	Ben Elsworth	IEU-UKB	2018	1	4857258	6	https://gwas.mrcieu.ac.uk/files/ukb-b-744/ukb-b-744.vcf.gz	
PE00077	Usual side of head for mobile phone use: Left	Cell Phone Use	D000075782	352858	125964.0	226894.0	UKB	Pan-UKB team	Pan-UKB	2022	6	23861224	192	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1150-both_sexes-1.tsv.bgz	
MR38120	Pairs matching completion status	Base Pairing	D020029	113162			UKB	Ben Elsworth	IEU-UKB	2018	1	9068325	1	https://gwas.mrcieu.ac.uk/files/ukb-b-18/ukb-b-18.vcf.gz	
MR14174	Cholecystitits	Cholecystitis	D002764	486484	4052.0	482432.0	UKB	Hamilton F	IEU-UKB	2021	2	12242389	40	https://gwas.mrcieu.ac.uk/files/ieu-b-4971/ieu-b-4971.vcf.gz	
FG01183	Mean L3 in anterior limb of internal capsule on FA skeleton (left)	Internal Capsule	D020772	12101			UKB	Longda Jiang	31768069	2019	2	8492969	3536	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25313.v1.1.fastGWA.gz	
PE00267	Non-cancer illness code, self-reported: migraine	Migraine Disorders	D008881	420473	12423.0	408050.0	UKB	Pan-UKB team	Pan-UKB	2022	13	23861554	706	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1265.tsv.bgz	
CA295	Ferritin levels	Ferritins	D005293	9818			EUR	Prins B 	28887542	2017	8	24663864	136	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/PrinsBP_28887542_GCST005072	no MAF
FG00400	Home area population density - urban or rural: Scotland - Large Urban Area	Population Density	D011156	451904	25864.0	426040.0	UKB	Longda Jiang	31768069	2019	14	8526450	41	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/20118_11.v1.1.fastGWA.gz	
PE04316	Age emphysema/chronic bronchitis diagnosed	Bronchitis, Chronic	D029481	5792			UKB	Pan-UKB team	Pan-UKB	2022	3	20084086	5	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3992-both_sexes-irnt.tsv.bgz	
PE06077	Peripheral angiopathy in diseases classified elsewhere	Peripheral Vascular Diseases	D016491	409008	443.0	408565.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861511	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-443.7-both_sexes.tsv.bgz	
PE02339	Operative procedures - main OPCS4: L26.4 Aortography	Aortography	D001027	420531	242.0	420289.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	3	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-L264.tsv.bgz	
GCST90101748	Triglyceride levels	Triglycerides	D014280	24600			AFR	Choudhury A	35546142	2022	10	22153112	103	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90101001-GCST90102000/GCST90101748	no MAF
PA00331	Arm fat percentage (right)	Body Fat Distribution	D050218	8658			UKB	Pan-UKB team	Pan-UKB	2022	61	15966676	517	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23119-both_sexes-irnt.tsv.bgz	
GD01451	CD3 on CD28- CD8+ T cell	Chemokines	D018925	2919			EUR	Orrù V	32929287	2020	2	16498943	39	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001865	
LD133	Cholesterol esters in large vLDL	Cholesterol, LDL	D008078	18960			EUR	Kettunen	27005778	2016	15	11696399	1073	http://www.computationalmedicine.fi/data#NMR_GWAS	
BE243	Age hay fever, rhinitis or eczema diagnosed	Rhinitis, Allergic, Seasonal	D006255	72232			UKB	Nealelab	Nealelab	2018	9	10816229	609	https://docs.google.com/spreadsheets/d/1kvPoupSzsSFBNSztMzl04xMoSC3Kcx3CrjVf4yBmESU/edit#gid=227859534	
FG03840	Job coding: collector/door-to-door salesperson, canvasser, credit agent, insurance agent, travelling salesperson, commercial traveller	Job Description	D007587	112278	1004.0	111274.0	UKB	Longda Jiang	34737426	2021	1	11842535	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/22601_71213337.v1.0.fastGWA.gz	
FG04517	Treatment/medication code: hydroxychloroquine	Hydroxychloroquine	D006886	456276	627.0	455649.0	UKB	Longda Jiang	34737426	2021	2	11842593	132	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1140884308.v1.0.fastGWA.gz	
MR02133	Hearing aid user	Hearing Aids	D006310	280546	14048.0	266498.0	UKB	Ben Elsworth	IEU-UKB	2018	9	6402496	204	https://gwas.mrcieu.ac.uk/files/ukb-b-19060/ukb-b-19060.vcf.gz	
GD00221	social interaction measurement	Loneliness	D008132	452302	135060.0	317242.0	UKB	Day FR	29970889	2018	9	7709397	507	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006920	
BE175	O36 Maternal care for other known or suspected foetal problems	Pregnancy Complications	D011248	361194	1149.0	360045.0	UKB	Nealelab	Nealelab	2018	16	10816228	25	https://docs.google.com/spreadsheets/d/1kvPoupSzsSFBNSztMzl04xMoSC3Kcx3CrjVf4yBmESU/edit#gid=227859466	
FG01530	Weighted-mean ICVF in tract inferior longitudinal fasciculus (left)	Uncinate Fasciculus	D000083382	12098			UKB	Longda Jiang	31768069	2019	10	8493095	375	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25664.v1.1.fastGWA.gz	
AT543	M00-M03 Infectious arthropathies	Arthritis, Infectious	D001170	452264	524.0	451740.0	UKB	Roslin Institute	30349118	2018	20	9124369	114	http://geneatlas.roslin.ed.ac.uk/	
GA355	Reason for glasses/contact lenses: For long-sightedness, i.e. for distance and near, but particularly for near tasks like reading (called 'hypermetropia')	Hyperopia	D006956	78647	16229.0	62418.0	UKB	CTGLAB	31427789	2019	4	9223097	45	https://atlas.ctglab.nl/	
PE01014	Treatment/medication code: cardioplen xl 5mg m/r tablet	Adrenergic beta-Antagonists	D000319	420473	239.0	420234.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141199858.tsv.bgz	
FG00168	Milk type used: Other type of milk	Milk	D008892	455816	5437.0	450379.0	UKB	Longda Jiang	31768069	2019	1	8521747	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/1418_5.v1.1.fastGWA.gz	
BE040	H25 Senile cataract	Cataract	D002386	361194	6332.0	354862.0	UKB	Nealelab	Nealelab	2018	5	10816227	147	https://docs.google.com/spreadsheets/d/1kvPoupSzsSFBNSztMzl04xMoSC3Kcx3CrjVf4yBmESU/edit#gid=227859331	
PA00557	Illnesses of father: Heart disease	Family Health	D005192	2089	350.0	1739.0	UKB	Pan-UKB team	Pan-UKB	2022	1	10226234	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20107-both_sexes-1.tsv.bgz	
F901551	Necrobiosis lipoidica, not elsewhere classified	Necrobiosis Lipoidica	D009335	353249	161.0	353088.0	EUR	Kurki MI	36653562	2023	2	20013737	87	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_L12_NECROLIPOIDIC.gz	
GD01633	CD24 on IgD- CD38- B cell	Chemokines	D018925	3648			EUR	Orrù V	32929287	2020	1	16758422	106	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001769	
PE03520	OCT measured (left): Not performed - other reason	Tomography, Optical Coherence	D041623	61894	2669.0	59225.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23743284	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-6072-both_sexes-7.tsv.bgz	
PE06521	Abnormal granulation tissue	Granulation Tissue	D006097	414626	703.0	413923.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861539	6	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-701.5-both_sexes.tsv.bgz	
F901258	Pleural plaque	Pleural Diseases	D010995	364655	2819.0	361836.0	EUR	Kurki MI	36653562	2023	3	20014030	307	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_J10_PLEURPLAGUE.gz	
MR16418	Number of blood samples taken	Basic Reproduction Number	D050936	463000			UKB	Ben Elsworth	IEU-UKB	2018	5	9808962	57	https://gwas.mrcieu.ac.uk/files/ukb-b-9568/ukb-b-9568.vcf.gz	
F900781	Other facial nerve disorders	Facial Nerve Diseases	D005155	331133	756.0	330377.0	EUR	Kurki MI	36653562	2023	1	20013222	4	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_G6_FACOTH.gz	
MR30259	Treatment/medication code: metformin	Self Care	D012648	462933	11552.0	451381.0	UKB	Ben Elsworth	IEU-UKB	2018	45	6131497	1939	https://gwas.mrcieu.ac.uk/files/ukb-b-14609/ukb-b-14609.vcf.gz	
GD00333	infantile hypertrophic pyloric stenosis	Pyloric Stenosis, Hypertrophic	D046248	5833	1395.0	4438.0	EUR	Fadista J	30281099	2018	8	6572487	392	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006705	no MAF
PA00310	Falls in the last year	Accidental Falls	D000058	8429			UKB	Pan-UKB team	Pan-UKB	2022	13	15963037	42	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-2296-both_sexes.tsv.bgz	
FG03233	Type milk consumed: skimmed	Milk	D008892	64001	13045.0	50956.0	UKB	Longda Jiang	34737426	2021	1	11841889	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/100920_2103.v1.0.fastGWA.gz	
F900995	Peripheral retinal degeneration	Retinal Degeneration	D012162	345379	810.0	344569.0	EUR	Kurki MI	36653562	2023	1	20013671	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_H7_PERIPHRETINADEGEN.gz	
GD01443	CD3 on activated & secreting CD4 regulatory T cell	Chemokines	D018925	2919			EUR	Orrù V	32929287	2020	4	16498841	439	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001857	
PE06234	Appendicitis	Appendicitis	D001064	420328	4133.0	416195.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861549	83	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-540.1-both_sexes.tsv.bgz	
F901962	Vaginitis/vulvovaginitis/vulvitis/abscess of vulva	Vulvitis	D014847	192943	4648.0	188295.0	EUR	Kurki MI	36653562	2023	1	20004445	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_N14_VAGINITIS.gz	
FG01306	Mean OD in uncinate fasciculus on FA skeleton (left)	Uncinate Fasciculus	D000083382	12099			UKB	Longda Jiang	31768069	2019	1	8493133	19	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25437.v1.1.fastGWA.gz	
FG00941	Mean FA in superior cerebellar peduncle on FA skeleton (right)	Cerebral Peduncle	D065850	12101			UKB	Longda Jiang	31768069	2019	3	8492942	277	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25068.v1.1.fastGWA.gz	
PE02317	Operative procedures - main OPCS4: K61.1 Implantation of cardiac pacemaker system NEC	Surgical Procedures, Operative	D013514	420531	121.0	420410.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861554	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-K611.tsv.bgz	
GCST90094886	Sphingomyelin (d34:1) levels	Sphingomyelin Phosphodiesterase	D013108	650			EUR	Montasser ME	35393526	2022	6	124568	710	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90094001-GCST90095000/GCST90094886	
PE03585	Eye problems/disorders: Glaucoma	Glaucoma	D005901	135363	5907.0	129456.0	UKB	Pan-UKB team	Pan-UKB	2022	16	23843034	748	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-6148-both_sexes-2.tsv.bgz	
PE05877	Muscular dystrophies	Muscular Dystrophies	D009136	417480	148.0	417332.0	UKB	Pan-UKB team	Pan-UKB	2022	4	23861531	48	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-359.1-both_sexes.tsv.bgz	
FG04808	Treatment/medication code: indomethacin	Indomethacin	D007213	456276	280.0	455996.0	UKB	Longda Jiang	34737426	2021	1	11842612	54	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1140871336.v1.0.fastGWA.gz	
PE04008	Father's age at death	Longevity	D008136	310232			UKB	Pan-UKB team	Pan-UKB	2022	10	23860700	266	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-1807-both_sexes-irnt.tsv.bgz	
F901360	Other diseases of intestines	Intestinal Diseases	D007410	377277	75346.0	301931.0	EUR	Kurki MI	36653562	2023	10	20014304	207	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_K11_INTESTOTH.gz	
FG01927	Ever unenthusiastic/disinterested for a whole week	Emotions	D004644	144304	53353.0	90951.0	UKB	Longda Jiang	31768069	2019	4	8518077	167	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/4631.v1.1.fastGWA.gz	
FG05162	Job coding: dental technician, dental hygienist	Job Description	D007587	112278	98.0	112180.0	UKB	Longda Jiang	34737426	2021	1	11842551	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/22601_32183089.v1.0.fastGWA.gz	
GD09632	COVID-19 (critical illness vs population)	COVID-19	D000086382	10056	1676.0	8380.0	UKB	Pairo-Castineira E	33307546	2020	7	4380206	280	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90013001-GCST90014000/GCST90013414	no MAF
AT313	heart attack/myocardial infarction	Myocardial Infarction	D009203	452264	10356.0	441908.0	UKB	Roslin Institute	30349118	2018	15	9124369	987	http://geneatlas.roslin.ed.ac.uk/	
OT303	Tense / 'highly strung' (TENSE)	Emotions	D004644	263635			UKB	Nagel M	29500382	2018	25	10846464	942	https://ctg.cncr.nl/software/summary_statistics	no MAF
PE02914	Operative procedures - main OPCS4: W81.8 Other specified other open operations on joint	Surgical Procedures, Operative	D013514	420531	131.0	420400.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	9	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-W818.tsv.bgz	
FG02181	Diverticulosis	Diverticulum	D004240	456348	16743.0	439605.0	UKB	Longda Jiang	34737426	2021	23	11842458	683	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/562.1_PheCode.v1.0.fastGWA.gz	
PE05746	Defibrination syndrome	Alagille Syndrome	D016738	418175	1200.0	416975.0	UKB	Pan-UKB team	Pan-UKB	2022	4	23861551	762	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-286.6-both_sexes.tsv.bgz	
AT574	N17-N19 Renal failure	Renal Insufficiency	D051437	452264	9302.0	442962.0	UKB	Roslin Institute	30349118	2018	1	9124364	1	http://geneatlas.roslin.ed.ac.uk/	
PE02250	Operative procedures - main OPCS4: H53.1 Evacuation of perianal haematoma	Surgical Procedures, Operative	D013514	420531	119.0	420412.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-H531.tsv.bgz	
GA596	Depression - Trouble falling asleep	Depression	D003863	48926	37098.0	11828.0	UKB	CTGLAB	31427789	2019	1	8942460	1	https://atlas.ctglab.nl/	
GD01938	CD4 on CD45RA+ CD4+ T cell	CD4-Positive T-Lymphocytes	D015496	2911			EUR	Orrù V	32929287	2020	3	16490560	194	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002027	
FG03060	Usual side of head for mobile phone use: Right	Cell Phone Use	D000075782	383280	221755.0	161525.0	UKB	Longda Jiang	34737426	2021	8	11842370	441	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/1150_2.v1.0.fastGWA.gz	
PA00664	Operation code: bilateral oophorectomy	Ovariectomy	D010052	420473	17902.0	402571.0	UKB	Pan-UKB team	Pan-UKB	2022	8	23861554	207	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1355.tsv.bgz	
PE05325	W11 Fall on and from ladder	Accidental Falls	D000058	420531	1568.0	418963.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-W11-both_sexes.tsv.bgz	
DB310	Neck cross-sectional moment of inertia (GEE, male, adjussted for age)	Neck	D009333	476			EUR	Kiel DP	17903296	2007	1	101501	1	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1856	
PE02866	Operative procedures - main OPCS4: W40.2 Conversion to total prosthetic replacement of knee joint using cement	Surgical Procedures, Operative	D013514	420531	216.0	420315.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	3	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-W402.tsv.bgz	
