meta_id	trait	mesh_term	mesh_id	sample_size	n_case	n_control	popu	author	pmid	year	n_blocks	n_variants	n_sig	url	note	index	trait_abbr	trait_code
PE05584	Large cell lymphoma	Lymphoma, Large-Cell, Immunoblastic	D016400	415601	761.0	414840.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23861536	8	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-202.24-both_sexes.tsv.bgz		485	LCL_PE05584	CAUSALdb_LCL_PE05584_485
MR26522	Destinations on discharge from hospital (recoded): Usual Place of residence	Residence Characteristics	D012111	462837	299164.0	163673.0	UKB	Ben Elsworth	IEU-UKB	2018	18	9714128	61	https://gwas.mrcieu.ac.uk/files/ukb-b-11749/ukb-b-11749.vcf.gz		486	DODFHRUPOR_MR26522	CAUSALdb_DODFHRUPOR_MR26522_486
GD01926	CD64 on CD14- CD16+ monocyte	Monocytes	D009000	3614			EUR	Orrù V	32929287	2020	2	16735803	44	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001990		487	COCCM_GD01926	CAUSALdb_COCCM_GD01926_487
MR04879	Diagnoses - main ICD10: K51.9 Ulcerative colitis, unspecified	Colitis, Ulcerative	D003093	463010	1987.0	461023.0	UKB	Ben Elsworth	IEU-UKB	2018	9	3158998	731	https://gwas.mrcieu.ac.uk/files/ukb-b-19386/ukb-b-19386.vcf.gz		488	DMIKUCU_MR04879	CAUSALdb_DMIKUCU_MR04879_488
AT654	H40 Glaucoma	Glaucoma	D005901	452264	4836.0	447428.0	UKB	Roslin Institute	30349118	2018	11	9124363	365	http://geneatlas.roslin.ed.ac.uk/		489	HG_AT654	CAUSALdb_HG_AT654_489
PE03269	Treatment speciality of consultant (recoded): Infectious diseases	Bone Diseases, Infectious	D001850	402934	2985.0	399949.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861482	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41246-both_sexes-1660.tsv.bgz		490	TSOCRID_PE03269	CAUSALdb_TSOCRID_PE03269_490
PE04013	Interpolated Year when cancer first diagnosed	Quality-Adjusted Life Years	D019057	35764			UKB	Pan-UKB team	Pan-UKB	2022	1	23377139	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20006-both_sexes-irnt.tsv.bgz		491	IYWCFD_PE04013	CAUSALdb_IYWCFD_PE04013_491
PA00302	Frequency of depressed mood in last 2 weeks	Personality	D010551	7662			UKB	Pan-UKB team	Pan-UKB	2022	8	15948112	12	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-2050-both_sexes.tsv.bgz		492	FODMILW_PA00302	CAUSALdb_FODMILW_PA00302_492
GA433	Treatment/medication code: aspirin	Self Care	D012648	280443	51136.0	229307.0	UKB	CTGLAB	31427789	2019	6	10285589	261	https://atlas.ctglab.nl/		493	TMCA_GA433	CAUSALdb_TMCA_GA433_493
GCST90134593	Right ventricular end systolic volume (MTAG)	Ventricular Function, Right	D016278	29498			UKB	Aung N	35697868	2022	14	7158086	655	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134593		494	RVESVM_GCST90134593	CAUSALdb_RVESVM_GCST90134593_494
GD09167	Diurnal inactivity	Diurnal Enuresis	D053207	84757			UKB	Jones SE	30952852	2019	6	11925297	75	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007808		495	DI_GD09167	CAUSALdb_DI_GD09167_495
PE02200	Operative procedures - main OPCS4: H07.3 Right hemicolectomy and anastomosis NEC	Surgical Procedures, Operative	D013514	420531	523.0	420008.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-H073.tsv.bgz		496	OPMOHRHAAN_PE02200	CAUSALdb_OPMOHRHAAN_PE02200_496
PA00440	Systolic blood pressure, combined automated + manual reading	Blood Pressure	D001794	8842			UKB	Pan-UKB team	Pan-UKB	2022	1	15968243	6	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-SBP-both_sexes-combined_irnt.tsv.bgz		497	SBPCAMR_PA00440	CAUSALdb_SBPCAMR_PA00440_497
BE292	Heel bone mineral density (BMD) T-score, automated (left)	Bone Density	D015519	114630			UKB	Nealelab	Nealelab	2018	9	10816229	609	https://docs.google.com/spreadsheets/d/1kvPoupSzsSFBNSztMzl04xMoSC3Kcx3CrjVf4yBmESU/edit#gid=227859583		498	HBMDBTSAL_BE292	CAUSALdb_HBMDBTSAL_BE292_498
DB436	28 year time-averaged Fasting plasma glucose (GEE, adjusted for age and sex)	Blood Glucose	D001786	1087			EUR	Meigs JB	17903298	2007	14	103596	16	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=440		499	YTAFPGGAFAAS_DB436	CAUSALdb_YTAFPGGAFAAS_DB436_499
GA024	Duration of vigorous activity	Exercise	D015444	210896			UKB	CTGLAB	31427789	2019	3	10015795	3	https://atlas.ctglab.nl/		500	DOVA_GA024	CAUSALdb_DOVA_GA024_500
PE02749	Operative procedures - main OPCS4: U33.1 Polysomnography	Polysomnography	D017286	420531	1224.0	419307.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	18	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-U331.tsv.bgz		501	OPMOUP_PE02749	CAUSALdb_OPMOUP_PE02749_501
AT297	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation	Pulmonary Heart Disease	D011660	452264	4800.0	447464.0	UKB	Roslin Institute	30349118	2018	11	9124368	373	http://geneatlas.roslin.ed.ac.uk/		502	IIPHDADOPC_AT297	CAUSALdb_IIPHDADOPC_AT297_502
AT478	D80-D89 Certain disorders involving the immune mechanism	Immune System Diseases	D007154	452264	1144.0	451120.0	UKB	Roslin Institute	30349118	2018	17	9124361	145	http://geneatlas.roslin.ed.ac.uk/		503	DDCDITIM_AT478	CAUSALdb_DDCDITIM_AT478_503
DB600	Mean low-density lipoprotein cholesterol fromexam 1-7 (GEE, adjusted for multivariable)	Cholesterol, LDL	D008078	1086			EUR	Kathiresan S	17903299	2007	3	103680	4	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=604		504	MLDLCFGAFM_DB600	CAUSALdb_MLDLCFGAFM_DB600_504
GD01795	Myeloid Dendritic Cell %Dendritic Cell	Dendritic Cells	D003713	3410			EUR	Orrù V	32929287	2020	1	16872255	429	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001459		505	MDCDC_GD01795	CAUSALdb_MDCDC_GD01795_505
GD01103	Hemoglobin concentration	Hemoglobins	D006454	9302			AMR	Chen MH	32888493	2020	1	26810133	1	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002312		506	HC_GD01103	CAUSALdb_HC_GD01103_506
F900273	Benign neoplasm: Heart	Neoplasms	D009369	377277	81.0	377196.0	EUR	Kurki MI	36653562	2023	2	20014295	5	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_CD2_BENIGN_HEART.gz		507	BNH_F900273	CAUSALdb_BNH_F900273_507
MR32075	Thickness of butter/margarine spread on sliced bread: medium	Margarine	D008383	64949	13710.0	51239.0	UKB	Ben Elsworth	IEU-UKB	2018	1	6367009	2	https://gwas.mrcieu.ac.uk/files/ukb-b-7085/ukb-b-7085.vcf.gz		508	TOBMSOSBM_MR32075	CAUSALdb_TOBMSOSBM_MR32075_508
MR05212	Operative procedures - main OPCS: K63.3 Angiocardiography of left side of heart NEC	Angiocardiography	D000790	463010	7378.0	455632.0	UKB	Ben Elsworth	IEU-UKB	2018	5	5480806	174	https://gwas.mrcieu.ac.uk/files/ukb-b-9592/ukb-b-9592.vcf.gz		509	OPMOKAOLSOHN_MR05212	CAUSALdb_OPMOKAOLSOHN_MR05212_509
PE04018	Interpolated Age of participant when operation took place	Age of Onset	D017668	331252			UKB	Pan-UKB team	Pan-UKB	2022	12	23861067	453	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-20011-both_sexes-irnt.tsv.bgz		510	IAOPWOTP_PE04018	CAUSALdb_IAOPWOTP_PE04018_510
PA00437	Pulse pressure, combined automated + manual reading	Blood Pressure	D001794	8842			UKB	Pan-UKB team	Pan-UKB	2022	33	15968243	127	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-PP-both_sexes-combined_raw.tsv.bgz		511	PPCAMR_PA00437	CAUSALdb_PPCAMR_PA00437_511
GD01778	Effector Memory CD4+ T cell Absolute Count	CD4 Lymphocyte Count	D018791	3395			EUR	Orrù V	32929287	2020	4	16853936	32	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001542		512	EMCTCAC_GD01778	CAUSALdb_EMCTCAC_GD01778_512
PH385	Epithelial ovarian cancer	Ovarian Neoplasms	D010051	43705	2764.0	40941.0	EUR	Phelan M 	28346442	2017	1	11225542	1	https://www.ebi.ac.uk/gwas/downloads/summary-statistics	no MAF	513	EOC_PH385	CAUSALdb_EOC_PH385_513
PE05661	Other disorders of neurohypophysis	Schizophrenia Spectrum and Other Psychotic Disorders	D019967	416108	231.0	415877.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861528	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-253.7-both_sexes.tsv.bgz		514	ODON_PE05661	CAUSALdb_ODON_PE05661_514
F901960	HSIL lesion of the vagina	Vagina	D014621	210870	335.0	210535.0	EUR	Kurki MI	36653562	2023	2	20006615	9	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_N14_VAGINAL_HSIL.gz		515	HLOTV_F901960	CAUSALdb_HLOTV_F901960_515
PA01077	Unspecified monoarthritis	Povidone	D011205	392426	20094.0	372332.0	UKB	Pan-UKB team	Pan-UKB	2022	8	23861416	510	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-716.2-both_sexes.tsv.bgz		516	UM_PA01077	CAUSALdb_UM_PA01077_516
MR08734	Particulate matter air pollution (pm2.5); 2010	Particulate Matter	D052638	423796			UKB	Ben Elsworth	IEU-UKB	2018	9	9807471	43	https://gwas.mrcieu.ac.uk/files/ukb-b-10817/ukb-b-10817.vcf.gz		517	PMAPP_MR08734	CAUSALdb_PMAPP_MR08734_517
FG01968	ECG, heart rate	Heart Rate	D006339	66863			UKB	Longda Jiang	31768069	2019	12	8511098	682	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/5983.v1.1.fastGWA.gz		518	EHR_FG01968	CAUSALdb_EHR_FG01968_518
AT108	urinary tract infection/kidney infection	Urinary Tract Infections	D014552	452264	2554.0	449710.0	UKB	Roslin Institute	30349118	2018	7	9124367	8	http://geneatlas.roslin.ed.ac.uk/		519	UTIKI_AT108	CAUSALdb_UTIKI_AT108_519
FG04419	Job SOC coding: Chemical and related process operatives	Job Description	D007587	113841	196.0	113645.0	UKB	Longda Jiang	34737426	2021	1	11842991	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/22617_8114.v1.0.fastGWA.gz		520	JSCCARPO_FG04419	CAUSALdb_JSCCARPO_FG04419_520
PE02328	Operative procedures - main OPCS4: K63.9 Unspecified contrast radiology of heart	Surgical Procedures, Operative	D013514	420531	117.0	420414.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-K639.tsv.bgz		521	OPMOKUCROH_PE02328	CAUSALdb_OPMOKUCROH_PE02328_521
OT037	Memory CD4	NK Cell Lectin-Like Receptor Subfamily B	D055651	669			EUR	Roederer M	25772697	2015	2	1096272	8	ftp://twinr-ftp.kcl.ac.uk/ImmuneCellScience/2-GWASResults	no MAF	522	MC_OT037	CAUSALdb_MC_OT037_522
FG03592	Treatment/medication code: lisinopril	Self Care	D012648	456276	12644.0	443632.0	UKB	Longda Jiang	34737426	2021	9	11842457	42	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1140860696.v1.0.fastGWA.gz		523	TMCL_FG03592	CAUSALdb_TMCL_FG03592_523
FG01744	Volume of grey matter in VIIb Cerebellum (left)	Cerebellum	D002531	13627			UKB	Longda Jiang	31768069	2019	3	8494545	39	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25906.v1.1.fastGWA.gz		524	VOGMIVCL_FG01744	CAUSALdb_VOGMIVCL_FG01744_524
PE02662	Operative procedures - main OPCS4: T46.3 Irrigation of peritoneal cavity	Surgical Procedures, Operative	D013514	420531	111.0	420420.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-T463.tsv.bgz		525	OPMOTIOPC_PE02662	CAUSALdb_OPMOTIOPC_PE02662_525
GD01037	Platelet count	Platelet Count	D010976	9367			AMR	Chen MH	32888493	2020	4	26925189	25	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002359		526	PC_GD01037	CAUSALdb_PC_GD01037_526
AT529	N32 Other disorders of bladder	Urinary Bladder Diseases	D001745	452264	9552.0	442712.0	UKB	Roslin Institute	30349118	2018	2	9124363	59	http://geneatlas.roslin.ed.ac.uk/		527	NODOB_AT529	CAUSALdb_NODOB_AT529_527
MR12193	Salted nuts intake	Nuts	D009754	64949			UKB	Ben Elsworth	IEU-UKB	2018	1	8582527	5	https://gwas.mrcieu.ac.uk/files/ukb-b-15960/ukb-b-15960.vcf.gz		528	SNI_MR12193	CAUSALdb_SNI_MR12193_528
CA111	Mean corposcular hemoglobin	Erythrocyte Indices	D004909	6015			EUR	Ferreira MA	19853236	2009	4	1845825	23	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/FerreiraMA_19853236_GCST000510/MCH.assoc.gz	no MAF	529	MCH_CA111	CAUSALdb_MCH_CA111_529
F900944	Hereditary retinal dystrophy	Retinal Dystrophies	D058499	344949	380.0	344569.0	EUR	Kurki MI	36653562	2023	23	20013654	239	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_H7_HEREDRETINADYST.gz		530	HRD_F900944	CAUSALdb_HRD_F900944_530
MR10052	Main speciality of consultant (recoded): Anaesthetics	Anesthetics	D000777	461496	5479.0	456017.0	UKB	Ben Elsworth	IEU-UKB	2018	2	5025157	3	https://gwas.mrcieu.ac.uk/files/ukb-b-19023/ukb-b-19023.vcf.gz		531	MSOCRA_MR10052	CAUSALdb_MSOCRA_MR10052_531
LD191	Phospholipids in chylomicrons and largest vLDL particles	Cholesterol, VLDL	D015243	21542			EUR	Kettunen	27005778	2016	8	11870351	623	http://www.computationalmedicine.fi/data#NMR_GWAS		532	PICALVP_LD191	CAUSALdb_PICALVP_LD191_532
AT507	N89 Other noninflammatory disorders of vagina	Vaginal Diseases	D014623	245494	1702.0	450562.0	UKB	Roslin Institute	30349118	2018	6	9124367	6	http://geneatlas.roslin.ed.ac.uk/		533	NONDOV_AT507	CAUSALdb_NONDOV_AT507_533
F901408	Other functional intestinal disorders	Digestive System Diseases	D004066	318242	16311.0	301931.0	EUR	Kurki MI	36653562	2023	1	20012760	4	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_K11_OTHFUNC.gz		534	OFID_F901408	CAUSALdb_OFID_F901408_534
PE00478	Treatment/medication code: hepacon b12 1mg/1ml injection	Vitamin B 12	D014805	420473	180.0	420293.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140858452.tsv.bgz		535	TMCHBMMI_PE00478	CAUSALdb_TMCHBMMI_PE00478_535
PE02622	Operative procedures - main OPCS4: T01.3 Excision of lesion of chest wall	Surgical Procedures, Operative	D013514	420531	163.0	420368.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23853152	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-T013.tsv.bgz		536	OPMOTEOLOCW_PE02622	CAUSALdb_OPMOTEOLOCW_PE02622_536
GA098	Number of full sisters	Siblings	D035781	380122			UKB	CTGLAB	31427789	2019	106	10589167	337	https://atlas.ctglab.nl/		537	NOFS_GA098	CAUSALdb_NOFS_GA098_537
FG02017	Eye problems/disorders: Macular degeneration	Macular Degeneration	D008268	147979	3493.0	144486.0	UKB	Longda Jiang	31768069	2019	2	8516617	214	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/6148_5.v1.1.fastGWA.gz		538	EPDMD_FG02017	CAUSALdb_EPDMD_FG02017_538
PA01099	amoxicillin/clavulanic acid	Amoxicillin-Potassium Clavulanate Combination	D019980	420531	27703.0	392828.0	UKB	Pan-UKB team	Pan-UKB	2022	4	23861554	5	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-amoxicillin_clavulanic_acid-both_sexes.tsv.bgz		539	ACA_PA01099	CAUSALdb_ACA_PA01099_539
AT671	Beef intake	Energy Intake	D002149	452264			UKB	Roslin Institute	30349118	2018	13	9124363	1145	http://geneatlas.roslin.ed.ac.uk/		540	BI_AT671	CAUSALdb_BI_AT671_540
AT381	E65-E68 Obesity and other hyperalimentation	Obesity	D009765	452264	11918.0	440346.0	UKB	Roslin Institute	30349118	2018	5	9124381	357	http://geneatlas.roslin.ed.ac.uk/		541	EEOAOH_AT381	CAUSALdb_EEOAOH_AT381_541
MR18637	Illnesses of father: None of the above (group 1)	Foodborne Diseases	D005517	402586	149610.0	252976.0	UKB	Ben Elsworth	IEU-UKB	2018	6	9264306	263	https://gwas.mrcieu.ac.uk/files/ukb-b-15169/ukb-b-15169.vcf.gz		542	IOFNOTAG_MR18637	CAUSALdb_IOFNOTAG_MR18637_542
PE02625	Operative procedures - main OPCS4: T11.1 Diagnostic endoscopic examination of pleura and biopsy of lesion of pleura	Pleura	D010994	420531	168.0	420363.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-T111.tsv.bgz		543	OPMOTDEEOPABOLOP_PE02625	CAUSALdb_OPMOTDEEOPABOLOP_PE02625_543
PE06627	Osteoporosis, osteopenia and pathological fracture	Osteoporosis, Postmenopausal	D015663	420531	9493.0	411038.0	UKB	Pan-UKB team	Pan-UKB	2022	7	23861554	301	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-743-both_sexes.tsv.bgz		544	OOAPF_PE06627	CAUSALdb_OOAPF_PE06627_544
F901893	Hypertrophy of breast	Hypertrophy	D006984	199185	5212.0	193973.0	EUR	Kurki MI	36653562	2023	20	20005364	884	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_N14_HYPERTROPHYBREAST.gz		545	HOB_F901893	CAUSALdb_HOB_F901893_545
FG00187	Coffee type: Decaffeinated coffee (any type)	Coffee	D003069	357425	69306.0	288119.0	UKB	Longda Jiang	31768069	2019	2	8525320	26	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/1508_1.v1.1.fastGWA.gz		546	CTDCAT_FG00187	CAUSALdb_CTDCAT_FG00187_546
PE01041	Operation code: pacemaker/defibrillator insertion	Arterial Switch Operation	D000069278	420473	788.0	419685.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20004-both_sexes-1096.tsv.bgz		547	OCPDI_PE01041	CAUSALdb_OCPDI_PE01041_547
F900624	Disorders of sphingolipid metabolism and other lipid storage disorders	Metabolism, Inborn Errors	D008661	324248	98.0	324150.0	EUR	Kurki MI	36653562	2023	3	20012940	7	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_E4_SPHINGOLIP.gz		548	DOSMAOLSD_F900624	CAUSALdb_DOSMAOLSD_F900624_548
PA01093	Poisoning by antibiotics	Poisoning	D011041	406300	23061.0	383239.0	UKB	Pan-UKB team	Pan-UKB	2022	5	23861497	326	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-960-both_sexes.tsv.bgz		549	PBA_PA01093	CAUSALdb_PBA_PA01093_549
PE02594	Operative procedures - main OPCS4: S41.1 Primary suture of skin of head or neck NEC	Surgical Procedures, Operative	D013514	420531	513.0	420018.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861554	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-S411.tsv.bgz		550	OPMOSPSOSOHONN_PE02594	CAUSALdb_OPMOSPSOSOHONN_PE02594_550
MR28999	Illnesses of mother: High blood pressure	Family Health	D005192	426391	130948.0	295443.0	UKB	Ben Elsworth	IEU-UKB	2018	32	9174916	992	https://gwas.mrcieu.ac.uk/files/ukb-b-18167/ukb-b-18167.vcf.gz		551	IOMHBP_MR28999	CAUSALdb_IOMHBP_MR28999_551
F901049	Other specified disorders of external ear	Ear, External	D004431	367928	923.0	367005.0	EUR	Kurki MI	36653562	2023	1	20014107	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_H8_EXTDISNAS.gz		552	OSDOEE_F901049	CAUSALdb_OSDOEE_F901049_552
F900197	Mucinous and mucinous cystic tumor (controls excluding all cancers)	Cystic Fibrosis	D003550	167304	115.0	167189.0	EUR	Kurki MI	36653562	2023	2	20000245	2	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_C3_OVARY_MUCINO_EXALLC.gz		553	MAMCTCEAC_F900197	CAUSALdb_MAMCTCEAC_F900197_553
GD01020	Monocyte count	Monocytes	D009000	7543			AMR	Chen MH	32888493	2020	3	25652523	14	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002342		554	MC_GD01020	CAUSALdb_MC_GD01020_554
FG04413	Cancer code, self-reported: testicular cancer	Genital Neoplasms, Male	D005834	208768	797.0	207971.0	UKB	Longda Jiang	34737426	2021	6	11842699	556	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20001_1045.v1.0.fastGWA.gz		555	CCSRTC_FG04413	CAUSALdb_CCSRTC_FG04413_555
FG04834	Treatment/medication code: salazopyrin 500mg tablet	Antirheumatic Agents	D018501	456276	261.0	456015.0	UKB	Longda Jiang	34737426	2021	1	11842613	255	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1140865670.v1.0.fastGWA.gz		556	TMCSMT_FG04834	CAUSALdb_TMCSMT_FG04834_556
FG00162	Pork intake	Energy Intake	D002149	453616			UKB	Longda Jiang	31768069	2019	11	8529621	785	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/1389.v1.1.fastGWA.gz		557	PI_FG00162	CAUSALdb_PI_FG00162_557
F900338	Benign neoplasm: Spinal cord	Spinal Cord Neoplasms	D013120	377277	355.0	376922.0	EUR	Kurki MI	36653562	2023	2	20014304	2	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_CD2_BENIGN_SPINAL_CORD.gz		558	BNSC_F900338	CAUSALdb_BNSC_F900338_558
PA00064	Impedance of arm (right)	Plethysmography, Impedance	D010992	6458			UKB	Pan-UKB team	Pan-UKB	2022	6	21964148	6	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-23109-both_sexes-irnt.tsv.bgz		559	IOAR_PA00064	CAUSALdb_IOAR_PA00064_559
MR09440	Methods of admission to hospital (recoded): Maternity admission: Post-partum	Patient Admission	D010343	462473	13017.0	449456.0	UKB	Ben Elsworth	IEU-UKB	2018	2	6295597	8	https://gwas.mrcieu.ac.uk/files/ukb-b-19790/ukb-b-19790.vcf.gz		560	MOATHRMAPP_MR09440	CAUSALdb_MOATHRMAPP_MR09440_560
F900151	Squamous cell neoplasms and carcinoma of cervix (controls excluding all cancers)	Neoplasms	D009369	167353	164.0	167189.0	EUR	Kurki MI	36653562	2023	1	20000298	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_C3_CERVIX_SQUAM_EXALLC.gz		561	SCNACOCCEAC_F900151	CAUSALdb_SCNACOCCEAC_F900151_561
PE04301	Year immigrated to UK (United Kingdom)	United Kingdom	D006113	13944			UKB	Pan-UKB team	Pan-UKB	2022	39	22511727	126	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3659-both_sexes-irnt.tsv.bgz		562	YITUUK_PE04301	CAUSALdb_YITUUK_PE04301_562
MR34268	Father still alive	Fathers	D005220	450333	103919.0	346414.0	UKB	Ben Elsworth	IEU-UKB	2018	2	9004174	67	https://gwas.mrcieu.ac.uk/files/ukb-b-13160/ukb-b-13160.vcf.gz		563	FSA_MR34268	CAUSALdb_FSA_MR34268_563
FG00300	Vitamin and/or mineral supplement use: Multivitamin with iron	Vitamins	D014815	64001	1606.0	62395.0	UKB	Longda Jiang	31768069	2019	1	8510334	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/20084_469.v1.1.fastGWA.gz		564	VAOMSUMWI_FG00300	CAUSALdb_VAOMSUMWI_FG00300_564
BE105	I26 Pulmonary embolism	Pulmonary Embolism	D011655	361194	2118.0	359076.0	UKB	Nealelab	Nealelab	2018	15	10816227	381	https://docs.google.com/spreadsheets/d/1kvPoupSzsSFBNSztMzl04xMoSC3Kcx3CrjVf4yBmESU/edit#gid=227859396		565	IPE_BE105	CAUSALdb_IPE_BE105_565
GD01623	CD20 on naive-mature B cell	Chemokines	D018925	3657			EUR	Orrù V	32929287	2020	7	16763521	680	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001759		566	CONMBC_GD01623	CAUSALdb_CONMBC_GD01623_566
AT002	G20 Parkinson's disease	Parkinson Disease	D010300	452264	1239.0	451025.0	UKB	Roslin Institute	30349118	2018	9	9124360	20	http://geneatlas.roslin.ed.ac.uk/		567	GPSD_AT002	CAUSALdb_GPSD_AT002_567
MR07152	Illnesses of siblings: Breast cancer	Family Health	D005192	361809	16586.0	345223.0	UKB	Ben Elsworth	IEU-UKB	2018	6	6635050	89	https://gwas.mrcieu.ac.uk/files/ukb-b-12227/ukb-b-12227.vcf.gz		568	IOSBC_MR07152	CAUSALdb_IOSBC_MR07152_568
AT579	O99 Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium	Pregnancy Complications	D011248	245494	1884.0	450380.0	UKB	Roslin Institute	30349118	2018	4	9124366	14	http://geneatlas.roslin.ed.ac.uk/		569	OOMDCEBCPCATP_AT579	CAUSALdb_OOMDCEBCPCATP_AT579_569
GD01545	CD33 on CD33+ HLA DR+	Chemokines	D018925	1579			EUR	Orrù V	32929287	2020	3	15571530	376	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001956		570	COCHD_GD01545	CAUSALdb_COCHD_GD01545_570
BE044	D25 Leiomyoma of uterus	Leiomyoma	D007889	361194	5507.0	355687.0	UKB	Nealelab	Nealelab	2018	9	10816228	262	https://docs.google.com/spreadsheets/d/1kvPoupSzsSFBNSztMzl04xMoSC3Kcx3CrjVf4yBmESU/edit#gid=227859335		571	DLOU_BE044	CAUSALdb_DLOU_BE044_571
