f_tf_name	f_tf_id	f_family	f_protein	f_entrez_id
PBX3	ENSG00000167081	Homeobox	ENSP00000341990.5;ENSP00000387456.2;ENSP00000362586.4;ENSP00000362588.5;	5090
OTP	ENSG00000171540	Homeobox	ENSP00000302814.3;	23440
TBXT	ENSG00000164458	T-box	ENSP00000355836.3;ENSP00000296946.2;ENSP00000355841.3;ENSP00000453512.1;	6862
ZNF671	ENSG00000083814	zf-C2H2	ENSP00000321848.5;	79891
ZNF705G	ENSG00000215372	zf-C2H2	ENSP00000383020.4;	100131980
YBX1	ENSG00000065978	CSD	ENSP00000389639.1;ENSP00000405937.1;ENSP00000361626.3;	4904
ZNF512	ENSG00000243943	zf-C2H2	ENSP00000451572.2;ENSP00000369040.1;ENSP00000347648.3;ENSP00000407038.2;ENSP00000395660.2;	84450
CBFB	ENSG00000067955	CBF	ENSP00000462932.1;ENSP00000498463.1;ENSP00000462273.1;ENSP00000456637.2;ENSP00000415151.2;ENSP00000290858.6;ENSP00000462148.2;	865
LCORL	ENSG00000178177	HTH	ENSP00000501939.1;ENSP00000371661.5;ENSP00000371659.1;	254251
BATF2	ENSG00000168062	TF_bZIP	ENSP00000435640.1;ENSP00000301887.4;	116071
ZNF528	ENSG00000167555	zf-C2H2	ENSP00000353652.3;	84436
SMARCE1	ENSG00000073584	HMG	ENSP00000392958.2;ENSP00000462475.2;ENSP00000496311.1;ENSP00000496094.1;ENSP00000445370.1;ENSP00000411607.2;ENSP00000466608.2;ENSP00000462857.2;ENSP00000496546.1;ENSP00000494214.1;ENSP00000496445.1;ENSP00000496661.1;ENSP00000494537.1;ENSP00000464511.1;ENSP00000495021.1;ENSP00000496097.1;ENSP00000463216.2;ENSP00000463282.2;ENSP00000494771.1;ENSP00000493974.1;ENSP00000323967.6;ENSP00000495857.1;ENSP00000493649.1;ENSP00000367039.4;ENSP00000464061.2;	6605
ZNF778	ENSG00000170100	zf-C2H2	ENSP00000305203.6;ENSP00000481538.1;ENSP00000405289.3;	197320
ZFP30	ENSG00000120784	zf-C2H2	ENSP00000508019.1;ENSP00000422930.2;ENSP00000343581.1;	22835
VDR	ENSG00000111424	THR-like	ENSP00000450105.1;ENSP00000449561.1;ENSP00000449573.2;ENSP00000449074.1;ENSP00000378734.2;ENSP00000229022.5;ENSP00000448659.1;ENSP00000447173.1;	7421
ZNF492	ENSG00000229676	zf-C2H2	ENSP00000413660.2;	57615
GRHL3	ENSG00000158055	CP2	ENSP00000508789.1;ENSP00000435130.2;ENSP00000509040.1;ENSP00000354943.5;ENSP00000288955.5;ENSP00000510783.1;ENSP00000509790.1;ENSP00000348333.2;ENSP00000431290.2;ENSP00000236255.4;	57822
ZNF618	ENSG00000157657	zf-C2H2	ENSP00000363239.4;ENSP00000483198.1;ENSP00000363241.5;ENSP00000288466.7;ENSP00000395400.1;	114991
ZNF720	ENSG00000197302	zf-C2H2	ENSP00000437310.2;	124411
BHLHA9	ENSG00000205899	bHLH	ENSP00000375248.1;	727857
TGIF2LY	ENSG00000176679	Homeobox	ENSP00000318502.4;ENSP00000453750.1;	90655
ZNF507	ENSG00000168813	zf-C2H2	ENSP00000441549.1;ENSP00000348162.4;ENSP00000312277.2;	22847
SOHLH2	ENSG00000120669	bHLH	ENSP00000369210.3;	54937
TBX5	ENSG00000089225	T-box	ENSP00000433292.1;ENSP00000309913.4;ENSP00000384152.3;ENSP00000337723.5;	6910
PPARD	ENSG00000112033	THR-like	ENSP00000310928.4;ENSP00000353916.3;ENSP00000414372.2;ENSP00000413314.2;ENSP00000337063.2;	5467
IRX2	ENSG00000170561	Homeobox	ENSP00000372056.6;ENSP00000307006.5;	153572
CDIP1	ENSG00000089486	zf-LITAF-like	ENSP00000454994.1;ENSP00000466186.1;ENSP00000382508.2;ENSP00000455050.1;ENSP00000455462.1;ENSP00000457877.1;	29965
ZKSCAN8	ENSG00000198315	zf-C2H2	ENSP00000332750.5;ENSP00000402948.2;	7745
ZNF592	ENSG00000166716	zf-C2H2	ENSP00000452877.2;ENSP00000299927.3;	9640
ZNF114	ENSG00000178150	zf-C2H2	ENSP00000318898.1;ENSP00000471727.1;ENSP00000469998.1;	163071
TFAP2C	ENSG00000087510	AP-2	ENSP00000201031.2;	7022
PRDM15	ENSG00000141956	zf-C2H2	ENSP00000408592.2;ENSP00000501856.1;ENSP00000381556.2;ENSP00000431410.1;ENSP00000269844.4;ENSP00000396943.2;ENSP00000387958.1;	63977
ZNF438	ENSG00000183621	zf-C2H2	ENSP00000364460.1;	220929
ZNF580	ENSG00000213015	zf-C2H2	ENSP00000446126.1;ENSP00000443957.1;ENSP00000320050.4;	51157
ARNTL2	ENSG00000029153	bHLH	ENSP00000445836.1;ENSP00000438545.1;ENSP00000266503.5;ENSP00000261178.5;ENSP00000400185.2;ENSP00000379238.2;ENSP00000312247.5;ENSP00000442438.1;	56938
ZNF286A-TBC1D26	ENSG00000255104	zf-C2H2	ENSP00000458062.1;ENSP00000408168.2;ENSP00000508754.1;ENSP00000510294.1;	
ZNF692	ENSG00000171163	zf-C2H2	ENSP00000355427.3;ENSP00000391200.1;ENSP00000305483.5;ENSP00000433522.1;ENSP00000431582.1;	55657
HOXB7	ENSG00000260027	Homeobox	ENSP00000239165.7;	3217
ZNF253	ENSG00000256771	zf-C2H2	ENSP00000347868.4;ENSP00000468720.1;ENSP00000467235.1;	56242
NRF1	ENSG00000106459	Nrf1	ENSP00000376922.2;ENSP00000342351.5;ENSP00000376924.1;ENSP00000394877.1;ENSP00000223190.4;ENSP00000309826.2;	4899
USF3	ENSG00000176542	bHLH	ENSP00000320794.4;ENSP00000420752.1;ENSP00000420721.1;	205717
HOXC10	ENSG00000180818	Homeobox	ENSP00000307321.4;	
NPAS1	ENSG00000130751	bHLH	ENSP00000405290.1;ENSP00000469142.1;	4861
CIC	ENSG00000079432	HMG	ENSP00000458663.2;ENSP00000505728.1;ENSP00000459719.1;ENSP00000160740.3;	23152
ZNF541	ENSG00000118156	zf-C2H2	ENSP00000375770.3;	84215
NR2F2	ENSG00000185551	RXR-like	ENSP00000401674.2;ENSP00000457112.1;ENSP00000389853.2;ENSP00000377726.2;ENSP00000377721.3;	7026
ZNF473	ENSG00000142528	zf-C2H2	ENSP00000375697.1;ENSP00000388961.2;ENSP00000270617.3;ENSP00000472808.1;	25888
ZNF276	ENSG00000158805	zf-C2H2	ENSP00000289816.5;ENSP00000457210.1;ENSP00000415836.2;	92822
TCF12	ENSG00000140262	bHLH	ENSP00000267811.5;ENSP00000331057.6;ENSP00000453264.1;ENSP00000453737.1;ENSP00000453876.1;ENSP00000440017.1;ENSP00000444696.1;ENSP00000342459.3;ENSP00000454102.1;ENSP00000388940.2;	6938
ZNF519	ENSG00000175322	zf-C2H2	ENSP00000464872.2;	162655
ZNF211	ENSG00000121417	zf-C2H2	ENSP00000384436.2;ENSP00000375584.3;ENSP00000339562.3;ENSP00000299871.5;ENSP00000442601.2;ENSP00000240731.4;ENSP00000254182.7;	10520
RBAK	ENSG00000146587	zf-C2H2	ENSP00000380120.1;ENSP00000275423.4;	57786
ZKSCAN4	ENSG00000187626	zf-C2H2	ENSP00000366509.2;	387032
ZNF667	ENSG00000198046	zf-C2H2	ENSP00000439402.1;ENSP00000292069.5;	63934
INSM1	ENSG00000173404	zf-C2H2	ENSP00000312631.1;	3642
ZNF420	ENSG00000197050	zf-C2H2	ENSP00000338770.2;ENSP00000468736.1;ENSP00000306102.7;ENSP00000467772.1;ENSP00000468387.1;	147923
SP140L	ENSG00000185404	SAND	ENSP00000379811.5;ENSP00000395195.1;ENSP00000243810.7;ENSP00000397911.2;	93349
ZBTB39	ENSG00000166860	ZBTB	ENSP00000300101.2;ENSP00000300101.2;	
RHOXF1	ENSG00000101883	Homeobox	ENSP00000217999.1;	158800
ZNF722P	ENSG00000241149	zf-C2H2	ENSP00000492202.1;	
ZNF460	ENSG00000197714	zf-C2H2	ENSP00000353491.2;ENSP00000446167.1;	
TULP3	ENSG00000078246	Tub	ENSP00000440364.1;ENSP00000441319.1;ENSP00000410051.2;ENSP00000380321.2;ENSP00000442631.1;	7289
NEUROG1	ENSG00000181965	bHLH	ENSP00000317580.4;	
ZNF625	ENSG00000257591	zf-C2H2	ENSP00000394380.2;	90589
FOXN4	ENSG00000139445	Fork_head	ENSP00000347354.1;ENSP00000299162.5;ENSP00000474754.1;	121643
ZHX2	ENSG00000178764	Homeobox	ENSP00000314709.4;	22882
ZNF385A	ENSG00000161642	zf-C2H2	ENSP00000377849.2;ENSP00000338927.5;ENSP00000446913.1;ENSP00000449161.1;	25946
SOX30	ENSG00000039600	HMG	ENSP00000427984.1;ENSP00000309343.5;ENSP00000265007.6;	11063
AHRR	ENSG00000063438	bHLH	ENSP00000428893.1;ENSP00000323816.6;ENSP00000429944.1;ENSP00000507476.1;ENSP00000430842.1;ENSP00000498278.1;	57491
FOXK2	ENSG00000141568	Fork_head	ENSP00000432663.2;ENSP00000433167.1;ENSP00000436108.2;ENSP00000335677.5;	3607
ZNF655	ENSG00000197343	zf-C2H2	ENSP00000377718.2;ENSP00000252713.4;ENSP00000393876.1;ENSP00000419135.1;	79027
ZNF148	ENSG00000163848	zf-C2H2	ENSP00000420335.1;ENSP00000353863.4;ENSP00000420448.1;ENSP00000419322.1;ENSP00000420102.1;	7707
ZNF81	ENSG00000197779	zf-C2H2	ENSP00000341151.7;ENSP00000366153.1;	347344
THAP7	ENSG00000184436	THAP	ENSP00000382084.2;ENSP00000215742.4;	80764
ZNF490	ENSG00000188033	zf-C2H2	ENSP00000311521.6;	
ARGFX	ENSG00000186103	Homeobox	ENSP00000335578.3;ENSP00000498601.1;	503582
ZNF337	ENSG00000130684	zf-C2H2	ENSP00000252979.5;ENSP00000365619.1;	26152
FOXM1	ENSG00000111206	Fork_head	ENSP00000354492.3;ENSP00000442309.1;ENSP00000342307.2;ENSP00000486536.1;ENSP00000352901.4;	2305
ZNF275	ENSG00000063587	zf-C2H2	ENSP00000359269.2;ENSP00000496975.2;ENSP00000359271.2;	10838
HIVEP3	ENSG00000127124	zf-C2H2	ENSP00000494598.1;ENSP00000361665.1;ENSP00000361664.1;	59269
NFXL1	ENSG00000170448	zf-NF-X1	ENSP00000422037.1;ENSP00000370949.3;ENSP00000333113.4;ENSP00000425812.1;	152518
PRDM13	ENSG00000112238	zf-C2H2	ENSP00000358217.5;	59336
ZNF587	ENSG00000198466	zf-C2H2	ENSP00000393865.1;ENSP00000345479.4;	84914
ZNF285	ENSG00000267508	zf-C2H2	ENSP00000464788.1;ENSP00000483662.1;ENSP00000439431.2;	26974
DEAF1	ENSG00000177030	SAND	ENSP00000509089.1;ENSP00000371846.3;ENSP00000507198.1;ENSP00000510621.1;ENSP00000508859.1;ENSP00000431563.1;ENSP00000508801.1;ENSP00000510598.1;ENSP00000508459.1;	10522
ATOH1	ENSG00000172238	bHLH	ENSP00000302216.4;	474
ZNF678	ENSG00000181450	zf-C2H2	ENSP00000440403.2;ENSP00000344828.4;ENSP00000394651.1;	339500
GATA5	ENSG00000130700	zf-GATA	ENSP00000252997.2;	140628
GCFC2	ENSG00000005436	GCFC	ENSP00000386552.3;ENSP00000318690.3;	6936
ISL2	ENSG00000159556	Homeobox	ENSP00000290759.4;	
ZNF649	ENSG00000198093	zf-C2H2	ENSP00000468983.1;ENSP00000347043.2;	
ZNF468	ENSG00000204604	zf-C2H2	ENSP00000470381.1;	90333
POU5F1	ENSG00000204531	Pou	ENSP00000389359.2;ENSP00000475880.2;ENSP00000425083.1;ENSP00000475512.1;ENSP00000425479.1;ENSP00000259915.7;	5460
NHLH2	ENSG00000177551	bHLH	ENSP00000358519.1;ENSP00000322087.3;ENSP00000405062.1;	4808
ISX	ENSG00000175329	Homeobox	ENSP00000386037.1;ENSP00000311492.6;	91464
NANOG	ENSG00000111704	Homeobox	ENSP00000229307.4;ENSP00000435288.1;ENSP00000444434.1;	79923
GFI1	ENSG00000162676	zf-C2H2	ENSP00000359357.1;ENSP00000399719.1;ENSP00000294702.5;	2672
ARID3B	ENSG00000179361	ARID	ENSP00000477878.1;ENSP00000455668.1;ENSP00000343126.5;	10620
ZBTB11	ENSG00000066422	ZBTB	ENSP00000326200.4;ENSP00000326200.4;ENSP00000509924.1;ENSP00000510736.1;ENSP00000510054.1;ENSP00000510062.1;	27107
ZXDC	ENSG00000070476	zf-C2H2	ENSP00000374359.3;ENSP00000337694.5;ENSP00000426532.1;	79364
THAP12	ENSG00000137492	THAP	ENSP00000508138.1;ENSP00000433966.1;ENSP00000508066.1;ENSP00000508120.1;ENSP00000508042.1;ENSP00000260045.3;ENSP00000508004.1;	
GSX1	ENSG00000169840	Homeobox	ENSP00000304331.2;	219409
IRF3	ENSG00000126456	IRF	ENSP00000471896.1;ENSP00000470140.1;ENSP00000310127.6;ENSP00000473128.1;ENSP00000471358.1;ENSP00000400378.2;ENSP00000472223.1;ENSP00000469113.1;ENSP00000473176.1;ENSP00000470436.1;ENSP00000470905.1;ENSP00000470431.1;ENSP00000366344.3;	3661
ZNF669	ENSG00000188295	zf-C2H2	ENSP00000342818.6;ENSP00000404370.2;	79862
ZNF572	ENSG00000180938	zf-C2H2	ENSP00000319305.5;	
TEF	ENSG00000167074	TF_bZIP	ENSP00000385256.3;ENSP00000266304.4;	7008
TLX2	ENSG00000115297	Homeobox	ENSP00000233638.6;	
ZNF250	ENSG00000196150	zf-C2H2	ENSP00000393442.2;ENSP00000292579.7;	58500
TFDP3	ENSG00000183434	E2F	ENSP00000385461.1;	51270
FOXC1	ENSG00000054598	Fork_head	ENSP00000493906.1;	2296
RARG	ENSG00000172819	THR-like	ENSP00000343698.5;ENSP00000388510.2;ENSP00000377947.2;ENSP00000444335.1;	5916
NFYB	ENSG00000120837	NF-YB	ENSP00000447486.1;ENSP00000240055.3;ENSP00000448250.2;	4801
ZSCAN16	ENSG00000196812	zf-C2H2	ENSP00000510203.1;ENSP00000366527.3;	80345
ZNF264	ENSG00000083844	zf-C2H2	ENSP00000440376.1;ENSP00000263095.5;	9422
TULP1	ENSG00000112041	Tub	ENSP00000229771.6;ENSP00000319414.4;ENSP00000477534.1;	7287
SREBF2	ENSG00000198911	bHLH	ENSP00000354476.4;ENSP00000484441.1;ENSP00000395728.1;	6721
ZNF189	ENSG00000136870	zf-C2H2	ENSP00000259395.4;ENSP00000363995.3;ENSP00000342019.2;	7743
IRF9	ENSG00000213928	IRF	ENSP00000454095.1;ENSP00000313529.4;ENSP00000454078.1;ENSP00000453540.1;ENSP00000380073.3;ENSP00000453974.1;	10379
EGR1	ENSG00000120738	zf-C2H2	ENSP00000239938.4;	1958
ZNF607	ENSG00000198182	zf-C2H2	ENSP00000347338.2;ENSP00000438015.1;ENSP00000466785.1;	84775
ZFP91-CNTF	ENSG00000255073	zf-C2H2	ENSP00000455911.1;ENSP00000457288.1;	
ZNF140	ENSG00000196387	zf-C2H2	ENSP00000445411.1;ENSP00000347755.2;	7699
DLX3	ENSG00000064195	Homeobox	ENSP00000389870.2;ENSP00000449976.1;	
ZNF589	ENSG00000164048	zf-C2H2	ENSP00000346729.3;ENSP00000404592.1;	51385
ZNF556	ENSG00000172000	zf-C2H2	ENSP00000302603.2;ENSP00000467366.1;	80032
SNAI2	ENSG00000019549	zf-C2H2	ENSP00000020945.1;	6591
ZNF799	ENSG00000196466	zf-C2H2	ENSP00000415278.1;ENSP00000411084.2;	90576
ZNF394	ENSG00000160908	zf-C2H2	ENSP00000499131.1;ENSP00000337363.6;	84124
ZNF136	ENSG00000196646	zf-C2H2	ENSP00000344162.4;ENSP00000498578.1;	7695
FOXD1	ENSG00000251493	Fork_head	ENSP00000481581.1;	2297
ZBTB3	ENSG00000185670	ZBTB	ENSP00000378286.4;ENSP00000378286.4;ENSP00000501025.1;ENSP00000501025.1;	79842
ZNF532	ENSG00000074657	zf-C2H2	ENSP00000338217.4;ENSP00000466007.1;ENSP00000468238.1;ENSP00000464894.1;ENSP00000468532.1;ENSP00000465709.1;	55205
KLF12	ENSG00000118922	zf-C2H2	ENSP00000366897.2;	11278
PIAS1	ENSG00000033800	zf-MIZ	ENSP00000438574.1;ENSP00000249636.6;	8554
ZNF69	ENSG00000198429	zf-C2H2	ENSP00000402985.2;	7620
ZNF385B	ENSG00000144331	zf-C2H2	ENSP00000386845.2;	151126
ZNF33A	ENSG00000189180	zf-C2H2	ENSP00000387713.2;ENSP00000363747.4;ENSP00000304268.10;ENSP00000402467.3;ENSP00000485869.1;	7581
ZNF683	ENSG00000176083	zf-C2H2	ENSP00000384782.1;ENSP00000388792.1;ENSP00000344095.3;	257101
PTF1A	ENSG00000168267	bHLH	ENSP00000365687.3;	256297
ZNF597	ENSG00000167981	zf-C2H2	ENSP00000301744.4;	
FOXD2	ENSG00000186564	Fork_head	ENSP00000335493.6;	2306
POU4F2	ENSG00000151615	Pou	ENSP00000281321.3;	5458
RBPJ	ENSG00000168214	CSL	ENSP00000505636.1;ENSP00000347659.4;ENSP00000354528.6;ENSP00000421804.2;ENSP00000505922.1;ENSP00000505255.1;ENSP00000424804.2;ENSP00000426872.2;ENSP00000423907.1;ENSP00000506628.1;ENSP00000305815.6;ENSP00000340124.4;ENSP00000505479.1;ENSP00000505493.1;ENSP00000423703.1;ENSP00000423644.2;ENSP00000345206.1;ENSP00000504964.1;ENSP00000506443.1;ENSP00000339699.5;	3516
SREBF1	ENSG00000072310	bHLH	ENSP00000261646.5;ENSP00000379106.2;ENSP00000348069.4;ENSP00000411516.3;	6720
EOMES	ENSG00000163508	T-box	ENSP00000295743.4;ENSP00000487112.1;ENSP00000388620.1;	8320
FLI1	ENSG00000151702	ETS	ENSP00000432950.1;ENSP00000281428.8;ENSP00000433488.2;ENSP00000339627.7;	2313
PRDM14	ENSG00000147596	zf-C2H2	ENSP00000276594.2;	63978
POU3F4	ENSG00000196767	Pou	ENSP00000495996.1;	5456
POU5F2	ENSG00000248483	Pou	ENSP00000489796.1;	134187
ZNF233	ENSG00000159915	zf-C2H2	ENSP00000375820.1;ENSP00000507588.1;	353355
ZNF121	ENSG00000197961	zf-C2H2	ENSP00000468643.1;ENSP00000467838.1;ENSP00000326967.5;	7675
ZNF544	ENSG00000198131	zf-C2H2	ENSP00000510489.1;ENSP00000269829.4;ENSP00000469635.1;ENSP00000469514.1;ENSP00000472721.1;ENSP00000471684.1;	27300
POU1F1	ENSG00000064835	Pou	ENSP00000454072.1;ENSP00000263781.2;ENSP00000342931.3;	5449
ZBTB8B	ENSG00000273274	ZBTB	ENSP00000476499.1;ENSP00000476499.1;	
TCF4	ENSG00000196628	bHLH	ENSP00000457765.1;ENSP00000478549.1;ENSP00000440731.1;ENSP00000455984.2;ENSP00000490451.1;ENSP00000439656.1;ENSP00000441562.2;ENSP00000490883.1;ENSP00000486072.1;ENSP00000490625.2;ENSP00000439827.2;ENSP00000455179.1;ENSP00000445202.1;ENSP00000456125.1;ENSP00000381382.1;ENSP00000455418.2;ENSP00000409447.2;ENSP00000455135.1;ENSP00000494380.1;ENSP00000490006.1;ENSP00000455261.1;ENSP00000454366.1;ENSP00000457263.1;ENSP00000455346.1;ENSP00000454647.1;ENSP00000490832.1;ENSP00000455763.1;ENSP00000501758.1;ENSP00000457649.1;ENSP00000346440.3;ENSP00000486670.1;ENSP00000348374.4;	6925
KLF9	ENSG00000119138	zf-C2H2	ENSP00000366330.2;	687
ONECUT1	ENSG00000169856	CUT	ENSP00000302630.4;ENSP00000476168.1;	3175
ZNF707	ENSG00000181135	zf-C2H2	ENSP00000495224.1;ENSP00000436250.1;ENSP00000351482.4;ENSP00000436212.1;ENSP00000413215.2;	286075
FOXI1	ENSG00000168269	Fork_head	ENSP00000304286.5;ENSP00000415483.2;	2299
TP53	ENSG00000141510	P53	ENSP00000424104.1;ENSP00000481401.1;ENSP00000481179.1;ENSP00000477531.1;ENSP00000484409.1;ENSP00000478499.1;ENSP00000423862.1;ENSP00000410739.2;ENSP00000481638.1;ENSP00000478219.1;ENSP00000398846.2;ENSP00000425104.1;ENSP00000269305.4;ENSP00000482537.1;ENSP00000484375.1;ENSP00000352610.4;ENSP00000391478.2;ENSP00000480868.1;ENSP00000391127.2;ENSP00000488924.1;ENSP00000482222.1;	7157
NFKB2	ENSG00000077150	RHD	ENSP00000499294.1;ENSP00000498308.1;ENSP00000410256.1;ENSP00000189444.6;ENSP00000358983.3;	4791
NFX1	ENSG00000086102	zf-NF-X1	ENSP00000317695.6;ENSP00000368856.3;	4799
SOX9	ENSG00000125398	HMG	ENSP00000245479.2;	6662
CREB3L2	ENSG00000182158	TF_bZIP	ENSP00000403550.1;ENSP00000329140.6;	64764
TFAM	ENSG00000108064	HMG	ENSP00000363002.3;ENSP00000420588.1;ENSP00000378776.2;	7019
ZNF436	ENSG00000125945	zf-C2H2	ENSP00000313582.4;ENSP00000363736.3;	80818
POU5F1B	ENSG00000212993	Pou	ENSP00000495779.1;ENSP00000419298.2;	5462
ZNF763	ENSG00000197054	zf-C2H2	ENSP00000465145.1;ENSP00000402017.1;ENSP00000369774.2;	284390
FOSL1	ENSG00000175592	TF_bZIP	ENSP00000310170.2;	8061
ZNF740	ENSG00000139651	zf-C2H2	ENSP00000409463.2;	283337
ZBTB41	ENSG00000177888	ZBTB	ENSP00000356375.3;ENSP00000356375.3;ENSP00000502173.1;	360023
FOXO6	ENSG00000204060	Fork_head	ENSP00000493184.1;ENSP00000509631.1;	100132074
ZNF711	ENSG00000147180	zf-C2H2	ENSP00000276123.3;ENSP00000353922.4;ENSP00000362260.3;ENSP00000502839.1;	7552
TOX3	ENSG00000103460	HMG	ENSP00000219746.9;ENSP00000385705.3;	27324
SOX17	ENSG00000164736	HMG	ENSP00000297316.4;	64321
THRB	ENSG00000151090	THR-like	ENSP00000493709.1;ENSP00000280696.5;ENSP00000494618.1;ENSP00000496686.2;ENSP00000496509.1;ENSP00000496616.1;ENSP00000496095.1;ENSP00000348827.4;ENSP00000496029.1;ENSP00000379904.2;ENSP00000414444.1;ENSP00000414100.1;	7068
FOXR1	ENSG00000176302	Fork_head	ENSP00000314806.3;	283150
ZNF117	ENSG00000152926	zf-C2H2	ENSP00000479944.1;ENSP00000282869.5;	51351
NKX2-8	ENSG00000136327	Homeobox	ENSP00000258829.4;	26257
NR1I2	ENSG00000144852	THR-like	ENSP00000420297.2;ENSP00000336528.4;ENSP00000377319.3;	8856
STAT3	ENSG00000168610	STAT	ENSP00000467985.1;ENSP00000384943.3;ENSP00000503237.1;ENSP00000503912.1;ENSP00000503799.1;ENSP00000504184.1;ENSP00000503059.1;ENSP00000504609.1;ENSP00000503574.1;ENSP00000504435.1;ENSP00000503332.1;ENSP00000503872.1;ENSP00000504062.1;ENSP00000503308.1;ENSP00000503102.1;ENSP00000504081.1;ENSP00000502874.1;ENSP00000503634.1;ENSP00000503599.1;ENSP00000504182.1;ENSP00000503181.1;ENSP00000373923.3;ENSP00000504715.1;ENSP00000503333.1;ENSP00000503105.1;ENSP00000503742.1;ENSP00000504324.1;ENSP00000504350.1;ENSP00000504255.1;ENSP00000503559.1;ENSP00000467000.1;ENSP00000264657.4;ENSP00000503662.1;	6774
CLOCK	ENSG00000134852	bHLH	ENSP00000396649.2;ENSP00000426983.1;ENSP00000370723.1;ENSP00000308741.4;	9575
LHX4	ENSG00000121454	Homeobox	ENSP00000263726.2;	89884
ZNF200	ENSG00000010539	zf-C2H2	ENSP00000380077.3;ENSP00000405786.2;ENSP00000395723.3;ENSP00000380079.4;ENSP00000458508.1;ENSP00000380080.4;	7752
PRDM1	ENSG00000057657	zf-C2H2	ENSP00000358092.4;ENSP00000358087.2;ENSP00000498716.1;ENSP00000358085.3;ENSP00000498029.1;ENSP00000498580.1;	639
TSHZ1	ENSG00000179981	zf-C2H2	ENSP00000464391.1;ENSP00000323584.5;ENSP00000453834.2;	10194
NANOGNB	ENSG00000205857	Homeobox	ENSP00000492127.1;ENSP00000371553.1;	360030
CRX	ENSG00000105392	Homeobox	ENSP00000445565.1;ENSP00000221996.5;	1406
TOX2	ENSG00000124191	HMG	ENSP00000350849.5;ENSP00000344724.3;ENSP00000390278.1;ENSP00000362090.1;	84969
MKX	ENSG00000150051	Homeobox	ENSP00000452751.1;ENSP00000364946.4;ENSP00000400896.1;	283078
MYC	ENSG00000136997	bHLH	ENSP00000499182.1;ENSP00000367207.3;ENSP00000499105.1;ENSP00000478887.2;ENSP00000430235.2;	4609
OLIG1	ENSG00000184221	bHLH	ENSP00000371785.1;	
ATOH7	ENSG00000179774	bHLH	ENSP00000362777.3;	220202
POU3F2	ENSG00000184486	Pou	ENSP00000329170.5;	5454
BSX	ENSG00000188909	Homeobox	ENSP00000344285.2;	390259
ZNF852	ENSG00000178917	zf-C2H2	ENSP00000497125.1;ENSP00000389841.2;	
ZNF93	ENSG00000184635	zf-C2H2	ENSP00000342002.4;ENSP00000467553.1;ENSP00000491147.1;	81931
ZNF501	ENSG00000186446	zf-C2H2	ENSP00000482632.1;ENSP00000379363.2;	115560
JUN	ENSG00000177606	TF_bZIP	ENSP00000360266.2;ENSP00000503132.1;	3725
SMAD5	ENSG00000113658	MH1	ENSP00000424279.1;ENSP00000446474.2;ENSP00000422954.1;ENSP00000426696.2;ENSP00000425749.1;ENSP00000441954.2;	4090
SOX6	ENSG00000110693	HMG	ENSP00000507545.1;ENSP00000433233.1;ENSP00000434455.2;ENSP00000499737.1;ENSP00000379644.3;ENSP00000324948.6;ENSP00000432134.1;	55553
GTF2I	ENSG00000263001	GTF2I	ENSP00000460070.1;ENSP00000484526.1;ENSP00000482476.1;ENSP00000509776.1;ENSP00000498682.1;ENSP00000499094.1;ENSP00000477837.1;ENSP00000404240.1;	2969
CSRNP1	ENSG00000144655	CSRNP_N	ENSP00000422532.1;ENSP00000273153.5;	64651
RAX	ENSG00000134438	Homeobox	ENSP00000334813.3;	30062
ASCL4	ENSG00000187855	bHLH	ENSP00000345420.5;	121549
INSM2	ENSG00000168348	zf-C2H2	ENSP00000306523.3;	
CTCF	ENSG00000102974	zf-C2H2	ENSP00000495218.1;ENSP00000494358.1;ENSP00000493495.1;ENSP00000384707.1;ENSP00000494443.1;ENSP00000494408.1;ENSP00000264010.4;ENSP00000494538.1;ENSP00000495348.1;	10664
IRF2	ENSG00000168310	IRF	ENSP00000377218.3;ENSP00000424552.1;ENSP00000422860.1;ENSP00000425037.1;ENSP00000427204.1;	3660
HINFP	ENSG00000172273	zf-C2H2	ENSP00000318085.3;ENSP00000436815.1;	25988
ZNF710	ENSG00000140548	zf-C2H2	ENSP00000453147.1;ENSP00000268154.3;ENSP00000453404.1;	
DBX1	ENSG00000109851	Homeobox	ENSP00000436881.2;	120237
HIC2	ENSG00000169635	ZBTB	ENSP00000384889.2;ENSP00000384889.2;ENSP00000385319.2;ENSP00000385319.2;ENSP00000387757.2;	23119
IRF8	ENSG00000140968	IRF	ENSP00000456992.1;ENSP00000455048.1;ENSP00000268638.4;ENSP00000455816.1;ENSP00000455784.1;ENSP00000458047.1;	3394
ZBTB7B	ENSG00000160685	ZBTB	ENSP00000438647.1;ENSP00000438647.1;ENSP00000357411.3;ENSP00000357411.3;ENSP00000406286.2;ENSP00000406286.2;ENSP00000292176.2;	51043
ZNF582	ENSG00000018869	zf-C2H2	ENSP00000301310.3;ENSP00000465619.1;	147948
ZNF197	ENSG00000186448	zf-C2H2	ENSP00000379370.1;ENSP00000345809.4;	10168
NFE2L3	ENSG00000050344	TF_bZIP	ENSP00000056233.3;	
ZNF20	ENSG00000132010	zf-C2H2	ENSP00000335437.5;	7568
SNAI1	ENSG00000124216	zf-C2H2	ENSP00000244050.2;	6615
ZNF496	ENSG00000162714	zf-C2H2	ENSP00000507236.1;ENSP00000294753.4;ENSP00000473324.1;	84838
