trait_code	trait_abbr	trait	ICD10	type	meta_id	mesh_term	mesh_id	category	sample_size	n_case	n_control	popu	pmid	cohort	author	url	index
CAUSALdb_PRFPDGTP_PE03067_1656	PRFPDGTP_PE03067	PCT responsible for patient data: GREENWICH TEACHING PCT			PE03067	Patient Generated Health Data	D000076206		420531.0	204.0	420327.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1656
CAUSALdb_MIIALOICOFSL_FG01326_1657	MIIALOICOFSL_FG01326	Mean ISOVF in anterior limb of internal capsule on FA skeleton (left)			FG01326	Internal Capsule	D020772		12099.0			UKB	31768069	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1657
CAUSALdb_donepezil_PE06960_1658	donepezil_PE06960	donepezil			PE06960	Donepezil	D000077265		420531.0	381.0	420150.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1658
CAUSALdb_COPDC_GD01901_1659	COPDC_GD01901	CCR2 on plasmacytoid Dendritic Cell			GD01901	Dendritic Cells	D003713		2871.0			EUR	32929287	CAUSALdb	Orrù V. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1659
CAUSALdb_AMDOSOAOPDCPPOPONSDMCE_F901455_1660	AMDOSOAOPDCPPOPONSDMCE_F901455	Any mental disorder, or suicide (or attempt), or psychic disorders complicating pregnancy, partum or puerperium or nerve system disorders (more control exclusions)			F901455	Mental Disorders	D001523		287668.0	10811.0	276857.0	EUR	36653562	CAUSALdb	Kurki MI. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1660
CAUSALdb_HTA_PE06600_1661	HTA_PE06600	Hammer toe (acquired)			PE06600	Hammer Toe Syndrome	D037801		405848.0	2321.0	403527.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1661
CAUSALdb_CD_FG02948_1662	CD_FG02948	Corneal dystrophy			FG02948	Eye Diseases, Hereditary	D015785		456348.0	125.0	456223.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1662
CAUSALdb_OPMOHEOPSASH_PE02262_1663	OPMOHEOPSASH_PE02262	Operative procedures - main OPCS4: H59.4 Excision of pilonidal sinus and suture HFQ			PE02262	Pilonidal Sinus	D010864		420531.0	134.0	420397.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1663
CAUSALdb_LF_GCST90029073_1664	LF_GCST90029073	Liver fat			GCST90029073	Liver	D008099		32974.0			UKB	34957434	CAUSALdb	Haas ME. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1664
CAUSALdb_OPMOFBOLOL_PE02115_1665	OPMOFBOLOL_PE02115	Operative procedures - main OPCS4: F06.2 Biopsy of lesion of lip			PE02115	Surgical Procedures, Operative	D013514		420531.0	459.0	420072.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1665
CAUSALdb_EOAO_GA502_1666	EOAO_GA502	E66 Overweight and obesity			GA502	Overweight	D050177		244890.0	9805.0	235085.0	UKB	31427789	CAUSALdb	CTGLAB. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1666
CAUSALdb_WMFITARR_FG01358_1667	WMFITARR_FG01358	Weighted-mean FA in tract acoustic radiation (right)			FG01358	Microscopy, Acoustic	D033401		12099.0			UKB	31768069	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1667
CAUSALdb_TCIMV_LD157_1668	TCIMV_LD157	Total cholesterol in medium vLDL			LD157	Cholesterol, VLDL	D015243		21551.0			EUR	27005778	CAUSALdb	Kettunen. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1668
CAUSALdb_OPMOQUBOCU_PE02516_1670	OPMOQUBOCU_PE02516	Operative procedures - main OPCS4: Q03.9 Unspecified biopsy of cervix uteri			PE02516	Cervix Uteri	D002584		420531.0	321.0	420210.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1670
CAUSALdb_WMLITSLFR_FG01512_1672	WMLITSLFR_FG01512	Weighted-mean L3 in tract superior longitudinal fasciculus (right)			FG01512	Uncinate Fasciculus	D000083382		12099.0			UKB	31768069	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1672
CAUSALdb_PVDU_PE06078_1673	PVDU_PE06078	Peripheral vascular disease, unspecified			PE06078	Peripheral Vascular Diseases	D016491		411890.0	3325.0	408565.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1673
CAUSALdb_TOCIPR_FG04065_1674	TOCIPR_FG04065	Type of cancer: ICD10: PHESANT recoding			FG04065	Neoplasms	D009369		456348.0	1895.0	454453.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1674
CAUSALdb_CTCTC_GD01376_1675	CTCTC_GD01376	CD4+ T cell %T cell			GD01376	Leukocyte Count	D007958		3668.0			EUR	32929287	CAUSALdb	Orrù V. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1675
CAUSALdb_DRPAOO_GA579_1676	DRPAOO_GA579	Depression - Recent poor appetite or overeting			GA579	Depression	D003863		126639.0			UKB	31427789	CAUSALdb	CTGLAB. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1676
CAUSALdb_SOPDTMOI_FG03136_1677	SOPDTMOI_FG03136	Severity of problems due to mania or irritability			FG03136	Mania	D000087122		33731.0	10020.0	23711.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1677
CAUSALdb_TMCCED_FG04717_1678	TMCCED_FG04717	Treatment/medication code: cosopt 2%/0.5% eye drops			FG04717	Ophthalmic Solutions	D009883		456276.0	394.0	455882.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1678
CAUSALdb_CAPOP_FG02739_1679	CAPOP_FG02739	Cyst and pseudocyst of pancreas			FG02739	Endocrine Gland Neoplasms	D004701		456348.0	268.0	456080.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1679
CAUSALdb_WMLITILFL_FG01451_1680	WMLITILFL_FG01451	Weighted-mean L1 in tract inferior longitudinal fasciculus (left)			FG01451	Uncinate Fasciculus	D000083382		12099.0			UKB	31768069	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1680
CAUSALdb_PWRI_FG01901_1681	PWRI_FG01901	Pulse wave reflection index			FG01901	Pulse Wave Analysis	D063177		149082.0			UKB	31768069	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1681
CAUSALdb_SOOAUIAPD_F900055_1682	SOOAUIAPD_F900055	Sequelae of other and unspecified infectious and parasitic diseases			F900055	Communicable Diseases	D003141		376508.0	1624.0	374884.0	EUR	36653562	CAUSALdb	Kurki MI. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1682
CAUSALdb_TOCIPR_FG04672_1683	TOCIPR_FG04672	Type of cancer: ICD10: PHESANT recoding			FG04672	Neoplasms	D009369		456348.0	430.0	455918.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1683
CAUSALdb_PH_F902038_1684	PH_F902038	Postpartum haemorrhage			F902038	Postpartum Period	D049590		154265.0	8249.0	146016.0	EUR	36653562	CAUSALdb	Kurki MI. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1684
CAUSALdb_HBUAL_BE289_1685	HBUAL_BE289	Heel broadband ultrasound attenuation (left)			BE289	Bone Density	D015519		114625.0			UKB	Nealelab	CAUSALdb	Nealelab. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1685
CAUSALdb_FAONK_GD01558_1686	FAONK_GD01558	FSC-A on Natural Killer			GD01558	Chemokines	D018925		3113.0			EUR	32929287	CAUSALdb	Orrù V. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1686
CAUSALdb_CC_PE00065_1687	CC_PE00065	Cheese consumers			PE00065	Cheese	D002611		58890.0	26596.0	32294.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1687
CAUSALdb_WVCS_PE01750_1688	WVCS_PE01750	Workplace very cold: Sometimes			PE01750	Workplace	D017132		104744.0	49892.0	54852.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1688
CAUSALdb_MSTNRSR_BE295_1689	MSTNRSR_BE295	Mean signal-to-noise ratio (SNR), (right)			BE295	Hearing	D006309		116636.0			UKB	Nealelab	CAUSALdb	Nealelab. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1689
CAUSALdb_MOADOL_AT064_1690	MOADOL_AT064	M21 Other acquired deformities of limbs			AT064	Limb Deformities, Congenital	D017880		452264.0	1843.0	450421.0	UKB	30349118	CAUSALdb	Roslin Institute. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1690
CAUSALdb_MLIMCPOFS_FG01166_1691	MLIMCPOFS_FG01166	Mean L3 in middle cerebellar peduncle on FA skeleton			FG01166	Middle Cerebellar Peduncle	D065837		12101.0			UKB	31768069	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1691
CAUSALdb_HDODC_GD01686_1692	HDODC_GD01686	HLA DR on Dendritic Cell			GD01686	Dendritic Cells	D003713		2871.0			EUR	32929287	CAUSALdb	Orrù V. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1692
CAUSALdb_BBB_PE06022_1693	BBB_PE06022	Bundle branch block			PE06022	Bundle-Branch Block	D002037		389455.0	4798.0	384657.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1693
CAUSALdb_CDNKTAC_GD01343_1694	CDNKTAC_GD01343	CD8dim Natural Killer T Absolute Count			GD01343	Natural Killer T-Cells	D055611		3652.0			EUR	32929287	CAUSALdb	Orrù V. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1694
CAUSALdb_LSAPOSC_FG03153_1695	LSAPOSC_FG03153	Leisure/social activities: Pub or social club			FG03153	Leisure Activities	D007899		454813.0	124626.0	330187.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1695
CAUSALdb_ITCOHRDQA_PE00076_1696	ITCOHRDQA_PE00076	Invitation to complete online 24-hour recall dietary questionnaire, acceptance			PE00076	Surveys and Questionnaires	D011795		252119.0	80776.0	171343.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1696
CAUSALdb_OCU_PE01244_1697	OCU_PE01244	Operation code: unclassifiable			PE01244	Arterial Switch Operation	D000069278		420473.0	8604.0	411869.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1697
CAUSALdb_OPSOSUOEOLOS_MR27070_1698	OPSOSUOEOLOS_MR27070	Operative procedures - secondary OPCS: S06.9 Unspecified other excision of lesion of skin			MR27070	Surgical Procedures, Operative	D013514		463010.0	1912.0	461098.0	UKB	IEU-UKB	CAUSALdb	Ben Elsworth. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1698
CAUSALdb_NCICSRBDSD_PE00344_1699	NCICSRBDSD_PE00344	Non-cancer illness code, self-reported: blistering/desquamating skin disorder			PE00344	Environmental Illness	D018876		420473.0	664.0	419809.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1699
CAUSALdb_COL_GD01421_1700	COL_GD01421	CD45 on lymphocyte			GD01421	Chemokines	D018925		1635.0			EUR	32929287	CAUSALdb	Orrù V. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1700
CAUSALdb_amantadine_PE06815_1701	amantadine_PE06815	amantadine			PE06815	Amantadine	D000547		420531.0	261.0	420270.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1701
CAUSALdb_LFB_GCST90204196_1702	LFB_GCST90204196	Liking for bicycling			GCST90204196	Bicycling	D001642		148803.0			EUR	35320144	CAUSALdb	Klimentidis YC. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1702
CAUSALdb_PSOVCOL_FG02912_1703	PSOVCOL_FG02912	Paralysis/spasm of vocal cords or larynx			FG02912	Vocal Cords	D014827		456348.0	143.0	456205.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1703
CAUSALdb_CAC_F901495_1704	CAC_F901495	Corns and callosities			F901495	Callosities	D002145		355066.0	1978.0	353088.0	EUR	36653562	CAUSALdb	Kurki MI. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1704
CAUSALdb_FHOASD_CA230_1705	FHOASD_CA230	Family history of Alzheimer's disease			CA230	Alzheimer Disease	D000544		314278.0	42034.0	272244.0	UKB	29777097	CAUSALdb	Marioni RE. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1705
CAUSALdb_CCCTCAC_GD01214_1706	CCCTCAC_GD01214	CD28- CD25++ CD8+ T cell Absolute Count			GD01214	T-Lymphocytes	D013601		3130.0			EUR	32929287	CAUSALdb	Orrù V. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1706
CAUSALdb_DSIZPHOMNOB_MR17147_1707	DSIZPHOMNOB_MR17147	Diagnoses - secondary ICD10: Z85.3 Personal history of malignant neoplasm of breast			MR17147	Diagnosis	D003933		463010.0	5208.0	457802.0	UKB	IEU-UKB	CAUSALdb	Ben Elsworth. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1707
CAUSALdb_GSD_PA01002_1708	GSD_PA01002	G47 Sleep disorders			PA01002	Dyssomnias	D020920		420531.0	6557.0	413974.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1708
CAUSALdb_KODOI_AT415_1709	KODOI_AT415	K63 Other diseases of intestine			AT415	Intestinal Diseases	D007410		452264.0	15734.0	436530.0	UKB	30349118	CAUSALdb	Roslin Institute. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1709
CAUSALdb_PAM_GD00357_1710	PAM_GD00357	physical activity measurement			GD00357	Exercise	D015444		91105.0			UKB	30531941	CAUSALdb	Doherty A. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1710
CAUSALdb_OPMOQTAHN_PE02518_1711	OPMOQTAHN_PE02518	Operative procedures - main OPCS4: Q07.4 Total abdominal hysterectomy NEC			PE02518	Surgical Procedures, Operative	D013514		420531.0	9525.0	411006.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1711
CAUSALdb_WHALOCSFOPSO_PE01763_1712	WHALOCSFOPSO_PE01763	Workplace had a lot of cigarette smoke from other people smoking: Often			PE01763	Cigarette Smoking	D000073865		103899.0	17530.0	86369.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1712
CAUSALdb_MD_BE023_1713	MD_BE023	M54 Dorsalgia			BE023	Back Pain	D001416		361194.0	8361.0	352833.0	UKB	Nealelab	CAUSALdb	Nealelab. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1713
CAUSALdb_COADC_AT314_1714	COADC_AT314	chronic obstructive airways disease/copd			AT314	Pulmonary Disease, Chronic Obstructive	D029424		452264.0	1579.0	450685.0	UKB	30349118	CAUSALdb	Roslin Institute. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1714
CAUSALdb_JCVOITICIAI_FG04200_1715	JCVOITICIAI_FG04200	Job coding: vocational or industrial trainer/instructor, craft instructor, apprentice instructor			FG04200	Job Description	D007587		112278.0	324.0	111954.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1715
CAUSALdb_OWOE_PE06737_1716	OWOE_PE06737	Open wounds of extremities			PE06737	Wounds, Penetrating	D014950		408354.0	7886.0	400468.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1716
CAUSALdb_PECAML_GD02070_1717	PECAML_GD02070	Platelet endothelial cell adhesion molecule levels			GD02070	Platelet Endothelial Cell Adhesion Molecule-1	D019408		21758.0			EUR	33067605	CAUSALdb	Folkersen L. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1717
CAUSALdb_NARTIBTIMSIPPFNAATIASAI_GCST90093344_1718	NARTIBTIMSIPPFNAATIASAI_GCST90093344	Neutralising antibody response to interferon beta therapy in multiple sclerosis in patients positive for neutralising antibodies (antibody titre; IFNβ-1a subcutaneous and intramuscular)			GCST90093344	Interferon beta-1a	D000068556		477.0			EUR	33143745	CAUSALdb	Andlauer TFM. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1718
CAUSALdb_MDAOM_PE05876_1720	MDAOM_PE05876	Muscular dystrophies and other myopathies			PE05876	Muscular Dystrophies	D009136		417880.0	548.0	417332.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1720
CAUSALdb_OSNAOTMD_PE05768_1721	OSNAOTMD_PE05768	Other specified nonpsychotic and/or transient mental disorders			PE05768	Mental Disorders	D001523		412059.0	1226.0	410833.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1721
CAUSALdb_fibromyalgia_AT491_1722	fibromyalgia_AT491	fibromyalgia			AT491	Fibromyalgia	D005356		452264.0	656.0	451608.0	UKB	30349118	CAUSALdb	Roslin Institute. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1722
CAUSALdb_TOALIAFMOA_PE03691_1723	TOALIAFMOA_PE03691	Type of accommodation lived in: A flat, maisonette or apartment			PE03691	Quality of Life	D011788		420103.0	36119.0	383984.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1723
CAUSALdb_OPMOGFECOLOUGT_PE02167_1724	OPMOGFECOLOUGT_PE02167	Operative procedures - main OPCS4: G43.3 Fibreoptic endoscopic cauterisation of lesion of upper gastrointestinal tract			PE02167	Upper Gastrointestinal Tract	D041742		420531.0	217.0	420314.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1724
CAUSALdb_WMFITARL_FG01357_1725	WMFITARL_FG01357	Weighted-mean FA in tract acoustic radiation (left)			FG01357	Microscopy, Acoustic	D033401		12099.0			UKB	31768069	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1725
CAUSALdb_ALS_GCST90013429_1726	ALS_GCST90013429	Amyotrophic lateral sclerosis			GCST90013429	Amyotrophic Lateral Sclerosis	D000690		84694.0	22040.0	62644.0	EUR	33113361	CAUSALdb	Iacoangeli A. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1726
CAUSALdb_RFGCLFJRNWAYAGOCP_MR18932_1727	RFGCLFJRNWAYAGOCP_MR18932	Reason for glasses/contact lenses: For just reading/near work as you are getting older (called 'presbyopia')			MR18932	Presbyopia	D011305		460536.0	39730.0	420806.0	UKB	IEU-UKB	CAUSALdb	Ben Elsworth. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1727
CAUSALdb_IOICBC_GD01586_1728	IOICBC_GD01586	IgD on IgD+ CD38-  B cell			GD01586	Chemokines	D018925		3642.0			EUR	32929287	CAUSALdb	Orrù V. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1728
CAUSALdb_FEVISF_PA00374_1729	FEVISF_PA00374	Forced expiratory volume in 1-second (FEV1)			PA00374	Forced Expiratory Volume	D005541		8080.0			UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1729
CAUSALdb_NOFPID_AT606_1730	NOFPID_AT606	N73 Other female pelvic inflammatory diseases			AT606	Pelvic Inflammatory Disease	D000292		245494.0	3025.0	449239.0	UKB	30349118	CAUSALdb	Roslin Institute. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1730
CAUSALdb_ESORPHFMD_FG03076_1731	ESORPHFMD_FG03076	Ever sought or received professional help for mental distress			FG03076	Stress, Psychological	D013315		147270.0	57861.0	89409.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1731
CAUSALdb_TCHDLCRAEGAFAAS_DB494_1732	TCHDLCRAEGAFAAS_DB494	Total cholesterol / High-density lipoprotein cholesterol ratio (at exam 1, GEE, adjusted for age and sex)			DB494	Cholesterol	D002784		1060.0			EUR	17903299	CAUSALdb	Kathiresan S. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1732
CAUSALdb_MHIIBSILYFD_GA351_1733	MHIIBSILYFD_GA351	Mental health - Illness, injury, bereavement, stress in last 2 years: Financial difficulties			GA351	Mental Health	D008603		383913.0	44395.0	339518.0	UKB	31427789	CAUSALdb	CTGLAB. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1733
CAUSALdb_CR_GD09543_1734	CR_GD09543	COVID-19 (RELEASE 5)			GD09543	COVID-19	D000086382		1683768.0	38984.0	1644784.0	EUR	32404885	CAUSALdb	COVID-19 Host Genetics Initiative. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1734
CAUSALdb_SAOTOLN_PE03479_1735	SAOTOLN_PE03479	Surgery/amputation of toe or leg: No			PE03479	Amputation, Traumatic	D000673		30209.0	29878.0	331.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1735
CAUSALdb_Cancer_GCST90086050_1736	Cancer_GCST90086050	Cancer			GCST90086050	Neoplasms	D009369		56637.0	17131.0	39506.0	EUR	33893285	CAUSALdb	Guindo-Martínez M. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1736
CAUSALdb_JSCRWAVS_FG04198_1737	JSCRWAVS_FG04198	Job SOC coding: Roundsmen/women and van salespersons			FG04198	Job Description	D007587		113841.0	330.0	113511.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1737
CAUSALdb_TOPAILWPR_FG03442_1739	TOPAILWPR_FG03442	Types of physical activity in last 4 weeks: PHESANT recoding			FG03442	Leisure Activities	D007899		453838.0	27372.0	426466.0	UKB	34737426	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1739
CAUSALdb_OCPS_PE01111_1740	OCPS_PE01111	Operation code: pancreas surgery			PE01111	Arterial Switch Operation	D000069278		420473.0	242.0	420231.0	UKB	Pan-UKB	CAUSALdb	Pan-UKB team. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1740
CAUSALdb_VOGMICOCL_FG01702_1741	VOGMICOCL_FG01702	Volume of grey matter in Central Opercular Cortex (left)			FG01702	Insular Cortex	D000087623		13627.0			UKB	31768069	CAUSALdb	Longda Jiang. et al	https://1drv.ms/f/s!Aurnn0fjCLv3gksJIwUBp7CquQRV?e=PaGHKZ	1741
