trait	trait_abbr	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda	url
Chronic kidney disease	N14_CHRONKIDNEYDIS	XIV Diseases of the genitourinary system (N14_)	11265	10039.0	436208	6	6.0	1.0614	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_CHRONKIDNEYDIS.FINEMAP.snp.bgz
Spondylolisthesis/Spondylolysis	M13_SPONDYLOLISTHESIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	7098	6372.0	322314	6	2.0	1.0898	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_SPONDYLOLISTHESIS.FINEMAP.snp.bgz
Other specified/unspecified systemic involvement of connective tissue	M13_CONNECTNAS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1996	1814.0	439424	6	4.0	1.038	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_CONNECTNAS.FINEMAP.snp.bgz
Lupus erythematosus	L12_LUPUS	XII Diseases of the skin and subcutaneous tissue (L12_)	777	705.0	423041	6	5.0	0.96804	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_L12_LUPUS.FINEMAP.snp.bgz
Lichen sclerosus et atrophicus	L12_LICHENSCLERATROPH	XII Diseases of the skin and subcutaneous tissue (L12_)	3262	2755.0	423041	6	3.0	1.043	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_L12_LICHENSCLERATROPH.FINEMAP.snp.bgz
Other bullous disorders	L12_BULLOTH	XII Diseases of the skin and subcutaneous tissue (L12_)	860	779.0	451899	6	6.0	0.98106	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_L12_BULLOTH.FINEMAP.snp.bgz
Acne	L12_ACNE	XII Diseases of the skin and subcutaneous tissue (L12_)	3982	3245.0	432686	6	3.0	1.0621	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_L12_ACNE.FINEMAP.snp.bgz
Dental pulpitis 1, only avohilmo	K11_PULPITIS_1_ONLYAVO	XI Diseases of the digestive system (K11_)	106479	90928.0	347254	6	5.0	1.1286	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_PULPITIS_1_ONLYAVO.FINEMAP.snp.bgz
Parodontitis or/and operation codes	K11_PARODON_OPER_DENTAL_OPER	XI Diseases of the digestive system (K11_)	38157	31128.0	209208	6	1.0	1.0811	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_PARODON_OPER_DENTAL_OPER.FINEMAP.snp.bgz
Molar incisor enamel hypoplasia, with caries	K11_MIH_CARIES	XI Diseases of the digestive system (K11_)	208	193.0	442838	6	4.0	0.69252	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_MIH_CARIES.FINEMAP.snp.bgz
Intestinal malabsorption	K11_MALABSORB	XI Diseases of the digestive system (K11_)	1514	1371.0	433899	6	5.0	1.0096	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_MALABSORB.FINEMAP.snp.bgz
Stroke, excluding SAH	I9_STR	IX Diseases of the circulatory system (I9_)	30521	27497.0	408788	6	5.0	1.0721	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_STR.FINEMAP.snp.bgz
Sequelae of cerebrovascular disease	I9_SEQULAE	IX Diseases of the circulatory system (I9_)	14063	12603.0	412105	6	4.0	1.0397	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_SEQULAE.FINEMAP.snp.bgz
Vestibular neuronitis	H8_VESTIBNEUR	VIII Diseases of the ear and mastoid process (H8_)	2951	2634.0	431119	6	7.0	1.0244	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H8_VESTIBNEUR.FINEMAP.snp.bgz
Suppurative and unspecified otitis media	H8_MED_SUPP	VIII Diseases of the ear and mastoid process (H8_)	18213	16008.0	422407	6	4.0	1.0513	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H8_MED_SUPP.FINEMAP.snp.bgz
Sudden idiopathic hearing loss	H8_HL_IDIOP	VIII Diseases of the ear and mastoid process (H8_)	3487	3128.0	397865	6	5.0	1.0296	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H8_HL_IDIOP.FINEMAP.snp.bgz
Myopia	H7_MYOPIA	VII Diseases of the eye and adnexa (H7_)	4732	4106.0	432955	6	7.0	1.0586	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H7_MYOPIA.FINEMAP.snp.bgz
Disorders of eyelid, lacrimal system and orbit	H7_LIDLACRIMALORBIT	VII Diseases of the eye and adnexa (H7_)	40848	35944.0	412885	6	6.0	1.072	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H7_LIDLACRIMALORBIT.FINEMAP.snp.bgz
Other and unspecified glaucoma	H7_GLAUCNAS	VII Diseases of the eye and adnexa (H7_)	2189	1894.0	430250	6	5.0	1.0292	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H7_GLAUCNAS.FINEMAP.snp.bgz
Divergent concomitant strabismus	H7_DIVERGSTRAB	VII Diseases of the eye and adnexa (H7_)	2827	2548.0	432955	6	3.0	1.0501	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H7_DIVERGSTRAB.FINEMAP.snp.bgz
Keratoconus	H7_CORNEALDEFORM	VII Diseases of the eye and adnexa (H7_)	793	700.0	429396	6	6.0	0.97611	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H7_CORNEALDEFORM.FINEMAP.snp.bgz
Other extrapyramidal and movement disorders in other diseases	G6_XTRAPYROTH	VI Diseases of the nervous system (G6_)	7921	6809.0	439540	6	4.0	1.0573	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_G6_XTRAPYROTH.FINEMAP.snp.bgz
Mixed hyperlipidaemia	E4_HYPERLIPMIX	IV Endocrine, nutritional and metabolic diseases (E4_)	1340	1184.0	384093	6	5.0	1.0095	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERLIPMIX.FINEMAP.snp.bgz
Diabetic maculopathy	DM_MACULOPATHY	Diabetes endpoints	4248		71596	6		1.0494	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_DM_MACULOPATHY.FINEMAP.snp.bgz
Iron deficiency anaemia secondary to blood loss (chronic)	D3_ANAEMIA_IRONDEF_BLOODLOSS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	5949	5343.0	433007	6	6.0	1.0256	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_D3_ANAEMIA_IRONDEF_BLOODLOSS.FINEMAP.snp.bgz
Congenital malformations of heart and great arteries	CONGEN_HEART_ARTER	Cardiometabolic endpoints	4771	4270.0	448962	6	7.0	1.0262	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CONGEN_HEART_ARTER.FINEMAP.snp.bgz
Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523	CIRRHOSIS_BROAD	Gastrointestinal endpoints	4869	4380.0	448864	6	6.0	1.0498	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CIRRHOSIS_BROAD.FINEMAP.snp.bgz
Cirrhosis of liver, NAS	CHIRHEP_NAS	Gastrointestinal endpoints	1470	1266.0	448864	6	6.0	1.0095	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CHIRHEP_NAS.FINEMAP.snp.bgz
Carcinoma in situ of skin (controls excluding all cancers)	CD2_INSITU_SKIN_EXALLC	II Neoplasms from hospital discharges (CD2_)	2315	2135.0	343877	6	4.0	1.0317	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CD2_INSITU_SKIN_EXALLC.FINEMAP.snp.bgz
Melanoma in situ (controls excluding all cancers)	CD2_INSITU_MELANOMA_EXALLC	II Neoplasms from hospital discharges (CD2_)	1139	980.0	344795	6	4.0	1.0005	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CD2_INSITU_MELANOMA_EXALLC.FINEMAP.snp.bgz
Benign neoplasm of other and unspecified endocrine glands	CD2_BENIGN_ENDOCRINE_OTH	II Neoplasms from hospital discharges (CD2_)	4322	3855.0	449411	6	4.0	1.0297	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CD2_BENIGN_ENDOCRINE_OTH.FINEMAP.snp.bgz
Malignant neoplasm of pancreas (controls excluding all cancers)	C3_PANCREAS_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	1992	1626.0	345118	6	3.0	1.0288	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_PANCREAS_EXALLC.FINEMAP.snp.bgz
Alzheimer’s disease (Early onset) (more control exclusions)	AD_EO_EXMORE	Neurological endpoints	1573	1451.0	199505	6	5.0	1.0301	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AD_EO_EXMORE.FINEMAP.snp.bgz
Alzheimer’s disease (Atypical or mixed) (more control exclusions)	AD_AM_EXMORE	Neurological endpoints	2700	2419.0	199505	6	5.0	1.0885	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AD_AM_EXMORE.FINEMAP.snp.bgz
Hernia of abdominal wall, postoperative	ABDOM_HERNIA_POSTOP	XI Diseases of the digestive system (K11_)	7161	6336.0	255273	6	5.0	1.0703	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ABDOM_HERNIA_POSTOP.FINEMAP.snp.bgz
Infections with a predominantly sexual mode of transmission	AB1_SEXUAL_TRANSMISSION	I Certain infectious and parasitic diseases (AB1_)	13366	11984.0	440367	6	5.0	1.0493	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_SEXUAL_TRANSMISSION.FINEMAP.snp.bgz
Thyroiditis	THYROIDITIS	Comorbidities of Gastrointestinal endpoints	2436	2160.0	441605	5	5.0	1.029	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_THYROIDITIS.FINEMAP.snp.bgz
Glucosamine medication	RX_GLUCOSAMINE	Drug purchase endpoints	21027	19596.0	432706	5	1.0	1.0829	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_RX_GLUCOSAMINE.FINEMAP.snp.bgz
Vertebral, anorectal, cardiavascular, thracheoesophagial, renal and limb anomaly	Q17_VACTREL	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	6176	5536.0	447557	5	6.0	1.0414	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_Q17_VACTREL.FINEMAP.snp.bgz
Other congenital malformations of heart	Q17_OTHER_CONGEN_MALFO_HEART	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	206	180.0	448451	5	5.0	0.67091	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_Q17_OTHER_CONGEN_MALFO_HEART.FINEMAP.snp.bgz
Single delivery by caesarean section	O15_DELIV_CAESAR	XV Pregnancy, childbirth and the puerperium (O15_)	16493	14324.0	108817	5	2.0	1.0769	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_DELIV_CAESAR.FINEMAP.snp.bgz
Non-allergic asthma (mode) (more control exclusions)	NONALLERG_ASTHMA_EXMORE	Asthma and related endpoints	8505	7803.0	238922	5	3.0	1.0659	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_NONALLERG_ASTHMA_EXMORE.FINEMAP.snp.bgz
Renal failure	N14_RENFAIL	XIV Diseases of the genitourinary system (N14_)	17525	15475.0	436208	5	6.0	1.0559	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_RENFAIL.FINEMAP.snp.bgz
HSIL lesion of the cervix uteri, vagina or vulva	N14_FEMALE_GENITAL_HSIL	XIV Diseases of the genitourinary system (N14_)	7631	6679.0	246987	5	4.0	1.0511	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_FEMALE_GENITAL_HSIL.FINEMAP.snp.bgz
Female infertility	N14_FEMALEINFERT	XIV Diseases of the genitourinary system (N14_)	16720	14759.0	119468	5	5.0	1.0528	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_FEMALEINFERT.FINEMAP.snp.bgz
LSIL lesion of the cervix uteri	N14_CERVICAL_LSIL	XIV Diseases of the genitourinary system (N14_)	4119	3565.0	250499	5	3.0	1.0378	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_CERVICAL_LSIL.FINEMAP.snp.bgz
Other disorders of patella	M13_PATELLAOTH	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	7652	6928.0	287796	5	4.0	1.0734	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_PATELLAOTH.FINEMAP.snp.bgz
Enteropathic arthropathies	M13_ENTEROARTHR	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	776	707.0	287796	5	2.0	0.96375	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ENTEROARTHR.FINEMAP.snp.bgz
Polyarthrosis	M13_ARTHROSIS_POLY	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	7713	6819.0	287796	5	4.0	1.0795	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_M13_ARTHROSIS_POLY.FINEMAP.snp.bgz
Granuloma annulare	L12_GRANUANNU	XII Diseases of the skin and subcutaneous tissue (L12_)	456	394.0	423041	5	3.0	0.8773	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_L12_GRANUANNU.FINEMAP.snp.bgz
Parodontitis or operation codes	K11_PARODON_OPER	XI Diseases of the digestive system (K11_)	41101	33798.0	412632	5	4.0	1.0762	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_PARODON_OPER.FINEMAP.snp.bgz
Cholecystitis	K11_CHOLECYST	XI Diseases of the digestive system (K11_)	5237	4697.0	397583	5	3.0	1.0253	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_CHOLECYST.FINEMAP.snp.bgz
Alcoholic liver disease	K11_ALCOLIV	XI Diseases of the digestive system (K11_)	3330	3047.0	440301	5	6.0	1.0495	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_K11_ALCOLIV.FINEMAP.snp.bgz
Influenza and pneumonia	J10_INFLUPNEU	X Diseases of the respiratory system (J10_)	75441	68171.0	378292	5	5.0	1.0706	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_J10_INFLUPNEU.FINEMAP.snp.bgz
Oesophageal varices	I9_VARICVEOES	IX Diseases of the circulatory system (I9_)	1243	1102.0	392860	5	3.0	1.0047	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_VARICVEOES.FINEMAP.snp.bgz
Subarachnoid haemorrhage	I9_SAH	IX Diseases of the circulatory system (I9_)	3814	3532.0	408928	5	5.0	1.0486	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_SAH.FINEMAP.snp.bgz
Status post-ami	I9_POSTAMI	IX Diseases of the circulatory system (I9_)	3499	3221.0	378019	5	7.0	1.077	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_POSTAMI.FINEMAP.snp.bgz
Nontraumatic intracranial haemmorrhage	I9_INTRACRA	IX Diseases of the circulatory system (I9_)	7763	7040.0	412105	5	5.0	1.0457	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_I9_INTRACRA.FINEMAP.snp.bgz
Inguinal hernia, bilateral	HERING_BILATERAL	XI Diseases of the digestive system (K11_)	3625	3281.0	387841	5	6.0	1.0551	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_HERING_BILATERAL.FINEMAP.snp.bgz
Otitis externa	H8_EXTOTITIS	VIII Diseases of the ear and mastoid process (H8_)	8455	7249.0	440335	5	4.0	1.0406	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H8_EXTOTITIS.FINEMAP.snp.bgz
Chronic iridocyclitis	H7_IRIDOCHRONIC	VII Diseases of the eye and adnexa (H7_)	1710	1551.0	429396	5	5.0	1.0152	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_H7_IRIDOCHRONIC.FINEMAP.snp.bgz
Hydrocephalus	G6_HYDROCEPH	VI Diseases of the nervous system (G6_)	2642	2455.0	420369	5	7.0	1.0468	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_G6_HYDROCEPH.FINEMAP.snp.bgz
Subacute thyroiditis	E4_THYROIDITSUBAC	IV Endocrine, nutritional and metabolic diseases (E4_)	1175	1050.0	385630	5	7.0	1.0039	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_THYROIDITSUBAC.FINEMAP.snp.bgz
Polycystic ovarian syndrome, consortium definition	E4_PCOS_CONCORTIUM	IV Endocrine, nutritional and metabolic diseases (E4_)	38322	34388.0	216296	5	5.0	1.0779	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_PCOS_CONCORTIUM.FINEMAP.snp.bgz
Lactose intolerance, other/unspecified	E4_LACTONAS	IV Endocrine, nutritional and metabolic diseases (E4_)	913	797.0	384093	5	5.0	0.9748	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_LACTONAS.FINEMAP.snp.bgz
Nontoxic diffuse goitre	E4_GOITREDIFF	IV Endocrine, nutritional and metabolic diseases (E4_)	1007	906.0	385630	5	3.0	0.99342	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_GOITREDIFF.FINEMAP.snp.bgz
Other diseases of blood and blood-forming organs	D3_BLOODOTHER	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	8243	7442.0	445490	5	5.0	1.0157	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_D3_BLOODOTHER.FINEMAP.snp.bgz
Follicular lymphoma (controls excluding all cancers)	CD2_FOLLICULAR_LYMPHOMA_EXALLC	II Neoplasms from hospital discharges (CD2_)	1285	1181.0	345118	5	3.0	1.0059	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CD2_FOLLICULAR_LYMPHOMA_EXALLC.FINEMAP.snp.bgz
Benign neoplasm of thyroid gland	CD2_BENIGN_THYROID	II Neoplasms from hospital discharges (CD2_)	1067	956.0	452666	5	1.0	0.9883	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CD2_BENIGN_THYROID.FINEMAP.snp.bgz
Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	CD2_BENIGN_LIPO_SKIN_TRUNK	II Neoplasms from hospital discharges (CD2_)	4616	4094.0	449117	5	3.0	1.0339	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CD2_BENIGN_LIPO_SKIN_TRUNK.FINEMAP.snp.bgz
Benign neoplasm: Colon, unspecified	CD2_BENIGN_COLON_NOS	II Neoplasms from hospital discharges (CD2_)	8548	7635.0	445185	5	4.0	1.0588	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_CD2_BENIGN_COLON_NOS.FINEMAP.snp.bgz
Non-small cell lung cancer (controls excluding all cancers)	C3_LUNG_NONSMALL_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	5820	5315.0	345118	5	5.0	1.0672	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_LUNG_NONSMALL_EXALLC.FINEMAP.snp.bgz
Clear cell adenocarcinoma of kidney (controls excluding all cancers)	C3_KIDNEY_CLEAR_CELL_CARCINOMA_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	1354	944.0	345118	5	1.0	1.0061	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_KIDNEY_CLEAR_CELL_CARCINOMA_EXALLC.FINEMAP.snp.bgz
Hepatocellular carcinoma (controls excluding all cancers)	C3_HEPATOCELLU_CARC_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	609	500.0	345118	5	4.0	0.92779	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_C3_HEPATOCELLU_CARC_EXALLC.FINEMAP.snp.bgz
Acute appendicitis, with complications	APPENDACUT_COMPLIC	XI Diseases of the digestive system (K11_)	8104	7358.0	415845	5	4.0	1.0336	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_APPENDACUT_COMPLIC.FINEMAP.snp.bgz
Transient global amnesia	AMN2	Neurological endpoints	2940	2652.0	429522	5	5.0	1.0503	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AMN2.FINEMAP.snp.bgz
Alcohol-induced acute pancreatitis	ALCOPANCACU	Alcohol related diseases	1144	1021.0	452589	5	4.0	1.0022	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ALCOPANCACU.FINEMAP.snp.bgz
Viral and other specified intestinal infections	AB1_VIRAL_OTHER_INTEST_INFECTIONS	I Certain infectious and parasitic diseases (AB1_)	9801	8582.0	403431	5	3.0	1.032	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_VIRAL_OTHER_INTEST_INFECTIONS.FINEMAP.snp.bgz
Other predominantly sexually transmitted diseases, not elsewhere classified	AB1_SEXUAL_TRANSMISSION_NOS	I Certain infectious and parasitic diseases (AB1_)	7060	6334.0	440367	5	5.0	1.0414	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_SEXUAL_TRANSMISSION_NOS.FINEMAP.snp.bgz
Malaria	AB1_MALARIA	I Certain infectious and parasitic diseases (AB1_)	150	137.0	452938	5	2.0	0.60794	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_MALARIA.FINEMAP.snp.bgz
Intestinal infectious diseases	AB1_INTESTINAL_INFECTIONS	I Certain infectious and parasitic diseases (AB1_)	50302	44967.0	403431	5	5.0	1.0715	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_INTESTINAL_INFECTIONS.FINEMAP.snp.bgz
Diarrhoea and gastroenteritis of presumed infectious origin	AB1_GASTROENTERITIS_NOS	I Certain infectious and parasitic diseases (AB1_)	35960	32210.0	403431	5	3.0	1.0656	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_AB1_GASTROENTERITIS_NOS.FINEMAP.snp.bgz
Ulcerative ileocolitis	ULCERILEO	Gastrointestinal endpoints	1480	1379.0	432380	4	4.0	1.0232	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ULCERILEO.FINEMAP.snp.bgz
Ulcerative enterocolitis	ULCERENTER	Gastrointestinal endpoints	1091	1010.0	432380	4	4.0	0.992	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ULCERENTER.FINEMAP.snp.bgz
Fracture of lumbar spine and pelvis	ST19_FRACT_LUMBAR_SPINE_PELVIS	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	7867	6831.0	437390	4	3.0	1.0404	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ST19_FRACT_LUMBAR_SPINE_PELVIS.FINEMAP.snp.bgz
Smoking	SMOKING	Miscellaneous, not yet classified endpoints	4271	3778.0	166614	4	3.0	1.0789	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_SMOKING.FINEMAP.snp.bgz
Other forms of systemic lupus erythematosus	SLE_OTH	Rheuma endpoints	265	245.0	452535	4	5.0	0.76862	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_SLE_OTH.FINEMAP.snp.bgz
Reactive arthropathies, FINNGEN	RHEUMA_ARHTROPAT_REACTIVE	Rheuma endpoints	2615	2351.0	341375	4	5.0	1.0246	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_RHEUMA_ARHTROPAT_REACTIVE.FINEMAP.snp.bgz
Prolonged pregnancy	O15_PREG_PROLONGED	XV Pregnancy, childbirth and the puerperium (O15_)	6062	5158.0	200533	4	3.0	1.0738	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PREG_PROLONGED.FINEMAP.snp.bgz
Maternal care for other conditions predominantly related to pregnancy	O15_PREG_MATERN_CARE	XV Pregnancy, childbirth and the puerperium (O15_)	8626	7618.0	215354	4	4.0	1.0472	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PREG_MATERN_CARE.FINEMAP.snp.bgz
Pregnancy with abortive outcome	O15_PREG_ABORT	XV Pregnancy, childbirth and the puerperium (O15_)	74555	67323.0	180063	4	0.0	1.0872	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PREG_ABORT.FINEMAP.snp.bgz
Pre-eclampsia or poor fetal growth	O15_PREEC_OR_FETGRO	XV Pregnancy, childbirth and the puerperium (O15_)	12795	11470.0	241823	4	4.0	1.0682	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PREEC_OR_FETGRO.FINEMAP.snp.bgz
Pre-existing hypertension complicating pregnancy, childbirth and the puerperium	O15_EXIST_HYPERT_COMPLIC	XV Pregnancy, childbirth and the puerperium (O15_)	2853	2527.0	234147	4	3.0	1.064	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_EXIST_HYPERT_COMPLIC.FINEMAP.snp.bgz
LSIL lesion of the vulva	N14_VULVAL_LSIL	XIV Diseases of the genitourinary system (N14_)	926	834.0	253692	4	5.0	0.98489	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_VULVAL_LSIL.FINEMAP.snp.bgz
Postmenopausal bleeding	N14_POSTMENBLEED	XIV Diseases of the genitourinary system (N14_)	14206	12600.0	119468	4	8.0	1.0864	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_POSTMENBLEED.FINEMAP.snp.bgz
Redundant prepuce, phimosis and paraphimosis	N14_PHIMOSIS	XIV Diseases of the genitourinary system (N14_)	8655	7595.0	141300	4	4.0	1.0609	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_PHIMOSIS.FINEMAP.snp.bgz
Unspecified lump in breast	N14_LUMPNASBREAST	XIV Diseases of the genitourinary system (N14_)	5727	5104.0	233585	4	2.0	1.0363	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_LUMPNASBREAST.FINEMAP.snp.bgz
Glomerulonephritis	N14_GLOMER_NEPHRITIS	XIV Diseases of the genitourinary system (N14_)	3556	3243.0	450177	4	7.0	1.0268	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_GLOMER_NEPHRITIS.FINEMAP.snp.bgz
