phenotype	phenocode	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda
Keratoconus	H7_CORNEALDEFORM	VII Diseases of the eye and adnexa (H7_)	793	700	429396	6	6	0.97611
Other extrapyramidal and movement disorders in other diseases	G6_XTRAPYROTH	VI Diseases of the nervous system (G6_)	7921	6809	439540	6	4	1.0573
Mixed hyperlipidaemia	E4_HYPERLIPMIX	IV Endocrine, nutritional and metabolic diseases (E4_)	1340	1184	384093	6	5	1.0095
Diabetic maculopathy	DM_MACULOPATHY	Diabetes endpoints	4248		71596	6		1.0494
Iron deficiency anaemia secondary to blood loss (chronic)	D3_ANAEMIA_IRONDEF_BLOODLOSS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	5949	5343	433007	6	6	1.0256
Congenital malformations of heart and great arteries	CONGEN_HEART_ARTER	Cardiometabolic endpoints	4771	4270	448962	6	7	1.0262
Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523	CIRRHOSIS_BROAD	Gastrointestinal endpoints	4869	4380	448864	6	6	1.0498
Cirrhosis of liver, NAS	CHIRHEP_NAS	Gastrointestinal endpoints	1470	1266	448864	6	6	1.0095
Carcinoma in situ of skin (controls excluding all cancers)	CD2_INSITU_SKIN_EXALLC	II Neoplasms from hospital discharges (CD2_)	2315	2135	343877	6	4	1.0317
Melanoma in situ (controls excluding all cancers)	CD2_INSITU_MELANOMA_EXALLC	II Neoplasms from hospital discharges (CD2_)	1139	980	344795	6	4	1.0005
Benign neoplasm of other and unspecified endocrine glands	CD2_BENIGN_ENDOCRINE_OTH	II Neoplasms from hospital discharges (CD2_)	4322	3855	449411	6	4	1.0297
Malignant neoplasm of pancreas (controls excluding all cancers)	C3_PANCREAS_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	1992	1626	345118	6	3	1.0288
Alzheimer’s disease (Early onset) (more control exclusions)	AD_EO_EXMORE	Neurological endpoints	1573	1451	199505	6	5	1.0301
Alzheimer’s disease (Atypical or mixed) (more control exclusions)	AD_AM_EXMORE	Neurological endpoints	2700	2419	199505	6	5	1.0885
Hernia of abdominal wall, postoperative	ABDOM_HERNIA_POSTOP	XI Diseases of the digestive system (K11_)	7161	6336	255273	6	5	1.0703
Infections with a predominantly sexual mode of transmission	AB1_SEXUAL_TRANSMISSION	I Certain infectious and parasitic diseases (AB1_)	13366	11984	440367	6	5	1.0493
Thyroiditis	THYROIDITIS	Comorbidities of Gastrointestinal endpoints	2436	2160	441605	5	5	1.029
Glucosamine medication	RX_GLUCOSAMINE	Drug purchase endpoints	21027	19596	432706	5	1	1.0829
Vertebral, anorectal, cardiavascular, thracheoesophagial, renal and limb anomaly	Q17_VACTREL	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	6176	5536	447557	5	6	1.0414
Other congenital malformations of heart	Q17_OTHER_CONGEN_MALFO_HEART	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	206	180	448451	5	5	0.67091
Single delivery by caesarean section	O15_DELIV_CAESAR	XV Pregnancy, childbirth and the puerperium (O15_)	16493	14324	108817	5	2	1.0769
Non-allergic asthma (mode) (more control exclusions)	NONALLERG_ASTHMA_EXMORE	Asthma and related endpoints	8505	7803	238922	5	3	1.0659
Renal failure	N14_RENFAIL	XIV Diseases of the genitourinary system (N14_)	17525	15475	436208	5	6	1.0559
HSIL lesion of the cervix uteri, vagina or vulva	N14_FEMALE_GENITAL_HSIL	XIV Diseases of the genitourinary system (N14_)	7631	6679	246987	5	4	1.0511
Female infertility	N14_FEMALEINFERT	XIV Diseases of the genitourinary system (N14_)	16720	14759	119468	5	5	1.0528
LSIL lesion of the cervix uteri	N14_CERVICAL_LSIL	XIV Diseases of the genitourinary system (N14_)	4119	3565	250499	5	3	1.0378
Other disorders of patella	M13_PATELLAOTH	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	7652	6928	287796	5	4	1.0734
Enteropathic arthropathies	M13_ENTEROARTHR	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	776	707	287796	5	2	0.96375
Polyarthrosis	M13_ARTHROSIS_POLY	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	7713	6819	287796	5	4	1.0795
Granuloma annulare	L12_GRANUANNU	XII Diseases of the skin and subcutaneous tissue (L12_)	456	394	423041	5	3	0.8773
Parodontitis or operation codes	K11_PARODON_OPER	XI Diseases of the digestive system (K11_)	41101	33798	412632	5	4	1.0762
Cholecystitis	K11_CHOLECYST	XI Diseases of the digestive system (K11_)	5237	4697	397583	5	3	1.0253
Alcoholic liver disease	K11_ALCOLIV	XI Diseases of the digestive system (K11_)	3330	3047	440301	5	6	1.0495
Influenza and pneumonia	J10_INFLUPNEU	X Diseases of the respiratory system (J10_)	75441	68171	378292	5	5	1.0706
Oesophageal varices	I9_VARICVEOES	IX Diseases of the circulatory system (I9_)	1243	1102	392860	5	3	1.0047
Subarachnoid haemorrhage	I9_SAH	IX Diseases of the circulatory system (I9_)	3814	3532	408928	5	5	1.0486
Status post-ami	I9_POSTAMI	IX Diseases of the circulatory system (I9_)	3499	3221	378019	5	7	1.077
Nontraumatic intracranial haemmorrhage	I9_INTRACRA	IX Diseases of the circulatory system (I9_)	7763	7040	412105	5	5	1.0457
Inguinal hernia, bilateral	HERING_BILATERAL	XI Diseases of the digestive system (K11_)	3625	3281	387841	5	6	1.0551
Otitis externa	H8_EXTOTITIS	VIII Diseases of the ear and mastoid process (H8_)	8455	7249	440335	5	4	1.0406
Chronic iridocyclitis	H7_IRIDOCHRONIC	VII Diseases of the eye and adnexa (H7_)	1710	1551	429396	5	5	1.0152
Hydrocephalus	G6_HYDROCEPH	VI Diseases of the nervous system (G6_)	2642	2455	420369	5	7	1.0468
Subacute thyroiditis	E4_THYROIDITSUBAC	IV Endocrine, nutritional and metabolic diseases (E4_)	1175	1050	385630	5	7	1.0039
Polycystic ovarian syndrome, consortium definition	E4_PCOS_CONCORTIUM	IV Endocrine, nutritional and metabolic diseases (E4_)	38322	34388	216296	5	5	1.0779
Lactose intolerance, other/unspecified	E4_LACTONAS	IV Endocrine, nutritional and metabolic diseases (E4_)	913	797	384093	5	5	0.9748
Nontoxic diffuse goitre	E4_GOITREDIFF	IV Endocrine, nutritional and metabolic diseases (E4_)	1007	906	385630	5	3	0.99342
Other diseases of blood and blood-forming organs	D3_BLOODOTHER	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	8243	7442	445490	5	5	1.0157
Follicular lymphoma (controls excluding all cancers)	CD2_FOLLICULAR_LYMPHOMA_EXALLC	II Neoplasms from hospital discharges (CD2_)	1285	1181	345118	5	3	1.0059
Benign neoplasm of thyroid gland	CD2_BENIGN_THYROID	II Neoplasms from hospital discharges (CD2_)	1067	956	452666	5	1	0.9883
Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	CD2_BENIGN_LIPO_SKIN_TRUNK	II Neoplasms from hospital discharges (CD2_)	4616	4094	449117	5	3	1.0339
Benign neoplasm: Colon, unspecified	CD2_BENIGN_COLON_NOS	II Neoplasms from hospital discharges (CD2_)	8548	7635	445185	5	4	1.0588
Non-small cell lung cancer (controls excluding all cancers)	C3_LUNG_NONSMALL_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	5820	5315	345118	5	5	1.0672
Clear cell adenocarcinoma of kidney (controls excluding all cancers)	C3_KIDNEY_CLEAR_CELL_CARCINOMA_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	1354	944	345118	5	1	1.0061
Hepatocellular carcinoma (controls excluding all cancers)	C3_HEPATOCELLU_CARC_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	609	500	345118	5	4	0.92779
Acute appendicitis, with complications	APPENDACUT_COMPLIC	XI Diseases of the digestive system (K11_)	8104	7358	415845	5	4	1.0336
Transient global amnesia	AMN2	Neurological endpoints	2940	2652	429522	5	5	1.0503
Alcohol-induced acute pancreatitis	ALCOPANCACU	Alcohol related diseases	1144	1021	452589	5	4	1.0022
Viral and other specified intestinal infections	AB1_VIRAL_OTHER_INTEST_INFECTIONS	I Certain infectious and parasitic diseases (AB1_)	9801	8582	403431	5	3	1.032
Other predominantly sexually transmitted diseases, not elsewhere classified	AB1_SEXUAL_TRANSMISSION_NOS	I Certain infectious and parasitic diseases (AB1_)	7060	6334	440367	5	5	1.0414
Malaria	AB1_MALARIA	I Certain infectious and parasitic diseases (AB1_)	150	137	452938	5	2	0.60794
Intestinal infectious diseases	AB1_INTESTINAL_INFECTIONS	I Certain infectious and parasitic diseases (AB1_)	50302	44967	403431	5	5	1.0715
Diarrhoea and gastroenteritis of presumed infectious origin	AB1_GASTROENTERITIS_NOS	I Certain infectious and parasitic diseases (AB1_)	35960	32210	403431	5	3	1.0656
Ulcerative ileocolitis	ULCERILEO	Gastrointestinal endpoints	1480	1379	432380	4	4	1.0232
Ulcerative enterocolitis	ULCERENTER	Gastrointestinal endpoints	1091	1010	432380	4	4	0.992
Fracture of lumbar spine and pelvis	ST19_FRACT_LUMBAR_SPINE_PELVIS	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	7867	6831	437390	4	3	1.0404
Smoking	SMOKING	Miscellaneous, not yet classified endpoints	4271	3778	166614	4	3	1.0789
Other forms of systemic lupus erythematosus	SLE_OTH	Rheuma endpoints	265	245	452535	4	5	0.76862
Reactive arthropathies, FINNGEN	RHEUMA_ARHTROPAT_REACTIVE	Rheuma endpoints	2615	2351	341375	4	5	1.0246
Prolonged pregnancy	O15_PREG_PROLONGED	XV Pregnancy, childbirth and the puerperium (O15_)	6062	5158	200533	4	3	1.0738
Maternal care for other conditions predominantly related to pregnancy	O15_PREG_MATERN_CARE	XV Pregnancy, childbirth and the puerperium (O15_)	8626	7618	215354	4	4	1.0472
Pregnancy with abortive outcome	O15_PREG_ABORT	XV Pregnancy, childbirth and the puerperium (O15_)	74555	67323	180063	4	0	1.0872
Pre-eclampsia or poor fetal growth	O15_PREEC_OR_FETGRO	XV Pregnancy, childbirth and the puerperium (O15_)	12795	11470	241823	4	4	1.0682
Pre-existing hypertension complicating pregnancy, childbirth and the puerperium	O15_EXIST_HYPERT_COMPLIC	XV Pregnancy, childbirth and the puerperium (O15_)	2853	2527	234147	4	3	1.064
LSIL lesion of the vulva	N14_VULVAL_LSIL	XIV Diseases of the genitourinary system (N14_)	926	834	253692	4	5	0.98489
Postmenopausal bleeding	N14_POSTMENBLEED	XIV Diseases of the genitourinary system (N14_)	14206	12600	119468	4	8	1.0864
Redundant prepuce, phimosis and paraphimosis	N14_PHIMOSIS	XIV Diseases of the genitourinary system (N14_)	8655	7595	141300	4	4	1.0609
Unspecified lump in breast	N14_LUMPNASBREAST	XIV Diseases of the genitourinary system (N14_)	5727	5104	233585	4	2	1.0363
Glomerulonephritis	N14_GLOMER_NEPHRITIS	XIV Diseases of the genitourinary system (N14_)	3556	3243	450177	4	7	1.0268
Glomerular diseases	N14_GLOMERULAR	XIV Diseases of the genitourinary system (N14_)	6764	6106	446969	4	3	1.0451
Cystitis	N14_CYSTITIS	XIV Diseases of the genitourinary system (N14_)	52581	43313	368973	4	1	1.0862
HSIL lesion of the cervix uteri	N14_CERVICAL_HSIL	XIV Diseases of the genitourinary system (N14_)	6977	6088	247641	4	5	1.0553
All dysplastic lesions of the cervix uteri	N14_CERVICAL_DYSPLASIA_ALL	XIV Diseases of the genitourinary system (N14_)	10268	8943	244350	4	3	1.0584
Macular hole	MACULAR_HOLE	VII Diseases of the eye and adnexa (H7_)	1583	1368	413784	4	3	1.0255
Panniculitis affecting regions of neck and back	M13_PANNICULITIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1327	1205	322314	4	1	1.0086
Allergic urticaria	L12_URTICA_ALLERG	XII Diseases of the skin and subcutaneous tissue (L12_)	2944	2619	438050	4	4	1.027
Hidradenitis suppurativa	L12_HIDRADENITISSUP	XII Diseases of the skin and subcutaneous tissue (L12_)	1209	1070	432686	4	2	1.0205
Bullous disorders	L12_BULLOUS	XII Diseases of the skin and subcutaneous tissue (L12_)	1834	1649	451899	4	5	1.0225
Dental pulpitis 3	K11_PULPITIS_3	XI Diseases of the digestive system (K11_)	5579	4746	448154	4	0	1.1497
Other functional intestinal disorders	K11_OTHFUNC	XI Diseases of the digestive system (K11_)	20342	17930	360393	4	2	1.0444
Other noninfective gastroenteritis and colitis	K11_OTHENTERCOL	XI Diseases of the digestive system (K11_)	9990	8828	432380	4	4	1.0418
Hypoplasia of dental enamel, prenatal , including avohilmo	K11_HYPOPLASIA_ENAMEL_PRENATAL_INCLAVO	XI Diseases of the digestive system (K11_)	119	105	453614	4	2	0.52798
Gastroduodenal ulcer	K11_GASTRODUOULC	XI Diseases of the digestive system (K11_)	10872	10021	385082	4	3	1.0488
Fibrosis and cirrhosis of liver	K11_FIBROCHIRLIV	XI Diseases of the digestive system (K11_)	2338	2017	440301	4	5	1.0232
Duodenal ulcer	K11_DULC	XI Diseases of the digestive system (K11_)	4115	3795	385082	4	4	1.0327
Other acute lower respiratory infections	J10_LOWERINF	X Diseases of the respiratory system (J10_)	25422	22874	428311	4	6	1.052
ILD-related respiratory insufficiency	ILD_INSUFFICIENCY	Interstitial lung disease endpoints	917	813	448636	4	3	0.97994
Left bundle-branch block	I9_LBBB	IX Diseases of the circulatory system (I9_)	2419	2130	342690	4	4	1.0373
Dronedarone medication	I9_E_DRONE	IX Diseases of the circulatory system (I9_)	896	854	342690	4	4	0.9862
Acute suppurative otitis media	H8_SUP_ACUTE	VIII Diseases of the ear and mastoid process (H8_)	12552	10987	422407	4	1	1.0445
Perforation of tympanic membrane	H8_PERFORATION	VIII Diseases of the ear and mastoid process (H8_)	3488	3085	422407	4	2	1.0451
Presbycusis	H8_HL_PRESBY	VIII Diseases of the ear and mastoid process (H8_)	5091	4538	397865	4	2	1.0559
Deaf mutism, not elsewhere classified	H8_HL_DEAFMUT	VIII Diseases of the ear and mastoid process (H8_)	174	159	397865	4	1	0.64359
Other strabismus	H7_STRABOTH	VII Diseases of the eye and adnexa (H7_)	9012	8023	432955	4	3	1.0421
Retinal detachment with retinal break	H7_RETINALDETACHBREAK	VII Diseases of the eye and adnexa (H7_)	4485	4024	413784	4	3	1.0637
Ptosis of eyelid	H7_PTOSIS	VII Diseases of the eye and adnexa (H7_)	3479	3079	412885	4	3	1.0445
Moderate visual impairment, binocular	H7_MODVISIMPBINOC	VII Diseases of the eye and adnexa (H7_)	998	893	432149	4	3	0.97885
Other and unspecified corneal deformities and disorders	H7_CORNEALNAS	VII Diseases of the eye and adnexa (H7_)	1026	915	429396	4	4	0.99104
Other and unspecified polyneuropathies, also in other diseases	G6_POLYOTHUNS	VI Diseases of the nervous system (G6_)	6758	6027	445865	4	4	1.0425
Migraine with aura	G6_MIGRAINE_WITH_AURA	VI Diseases of the nervous system (G6_)	10366	8970	341884	4	3	1.0764
Migraine without aura and triptan purchases	G6_MIGRAINE_NO_AURA_TRIPTAN	VI Diseases of the nervous system (G6_)	6450	5719	404657	4	4	1.0753
Migraine without aura	G6_MIGRAINE_NO_AURA	VI Diseases of the nervous system (G6_)	8626	7593	341884	4	4	1.0766
Other headache syndromes	G6_HEADACHE	VI Diseases of the nervous system (G6_)	19486	17484	341884	4	3	1.0779
Epilepsy	G6_EPLEPSY	VI Diseases of the nervous system (G6_)	14089	12891	341884	4	2	1.0446
Bell's palsy	G6_BELLPA	VI Diseases of the nervous system (G6_)	4270	3781	395832	4	4	1.0428
Mental and behavioural disorders due to multiple drug use and use of multiple drugs and use of other psychoactive substances	F5_OTHERSUB	V Mental and behavioural disorders (F5_)	2649	2491	445828	4	2	1.0469
Delirium, not induced by alcohol and other psychoactive substances	F5_DELIRIUM	V Mental and behavioural disorders (F5_)	3827	3371	428053	4	2	1.028
Alcohol dependence	F5_ALCOHOL_DEPENDENCE	V Mental and behavioural disorders (F5_)	11503	10707	424985	4	5	1.1097
Autoimmune thyroiditis	E4_THYROIDITAUTOIM	IV Endocrine, nutritional and metabolic diseases (E4_)	612	539	385630	4	3	0.93332
Disorders of sphingolipid metabolism and other lipid storage disorders	E4_SPHINGOLIP	IV Endocrine, nutritional and metabolic diseases (E4_)	113	106	384093	4	1	0.53879
Disorders of plasma-protein metabolism, not elsewhere classified	E4_PLASMAPROT	IV Endocrine, nutritional and metabolic diseases (E4_)	215	183	384093	4	4	0.66468
Hypo-osmolality and hyponatraemia	E4_HYPOOSMNAT	IV Endocrine, nutritional and metabolic diseases (E4_)	6271	5572	384093	4	4	1.0455
Congenital iodine-deficiency syndrome/hypothyroidism	E4_CONGEIOD	IV Endocrine, nutritional and metabolic diseases (E4_)	1006	935	385630	4	3	0.98424
Adrenocortical insufficiency	E4_ADDISON	IV Endocrine, nutritional and metabolic diseases (E4_)	1116	1002	434894	4	6	0.99352
Diabetic retinopathy	DM_RETINOPATHY_STRICT	Diabetes endpoints	3283		71585	4		1.0403
Diabetic nephropathy (more control exclusions)	DM_NEPHROPATHY_EXMORE	Diabetes endpoints	5042		51410	4		1.054
Dermatopolymyositis (FG)	DERMATOPOLY_FG	Rheuma endpoints	459	430	341375	4	5	0.8771
Any death	DEATH	Common endpoint	50511	48208	403222	4	7	1.0948
Other diseases of blood and blood-forming organs	D3_OTHERBLOOD	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	2275	2059	445490	4	3	1.0222
Enterocolitis due to Clostridium difficile	C_DIFFICILE_ENTEROCOLITIS	I Certain infectious and parasitic diseases (AB1_)	3760	3384	446913	4	4	1.0242
Continuous positive airway pressure	CPAP	Interstitial lung disease endpoints	8663	8057	195394	4	1	1.0856
COPD-related respiratory insufficiency	COPD_INSUFFICIENCY	Comorbidities of COPD	3996	3677	433110	4	2	1.0577
Primary biliary cholangitis (PBC)	CHIRBIL_PRIM	Gastrointestinal endpoints	691	609	338286	4	4	0.96129
Benign neoplasm: Peripheral nerves and autonomic nervous system	CD2_BENIGN_PERIPH_AUTO_NEURO	II Neoplasms from hospital discharges (CD2_)	469	417	453264	4	2	0.86689
Benign neoplasm: Cranial nerves	CD2_BENIGN_CRANIAL_NERVE	II Neoplasms from hospital discharges (CD2_)	870	774	452863	4	1	0.97526
Benign neoplasm of breast	CD2_BENIGN_BREAST	II Neoplasms from hospital discharges (CD2_)	4271	3875	250347	4	3	1.0406
Benign neoplasm: Adrenal gland	CD2_BENIGN_ADRENAL	II Neoplasms from hospital discharges (CD2_)	2238	1959	451495	4	2	1.0218
Adenocarcinoma and papillary adenocarcinoma of stomach (controls excluding all cancers)	C3_STOMACH_ADENO_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	956	792	345118	4	2	0.986
Malignant neoplasm of small intestine (controls excluding all cancers)	C3_SMALL_INTESTINE_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	658	525	345118	4	1	0.9377
Diffuse large B-cell lymphoma (controls excluding all cancers)	C3_DLBCL_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	1373	1050	345118	4	2	1.017
Dermatophytosis	AB1_DERMATOPHYTOSIS	I Certain infectious and parasitic diseases (AB1_)	4510	3921	443609	4	4	1.0273
Vascular dementia (undefined)	VD_U	Neurological endpoints	1414	1256	432207	3	3	1.0233
Fracture of femur	ST19_FRACT_FEMUR	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	10714	9489	433177	3	0	1.0422
Reiter disease	REITER	Rheuma endpoints	197	180	451118	3	3	0.66324
Other chromosome abnormalities, not elsewhere classified	Q17_OTHER_CHROMOSOME_ABNORMALITI_NOT_ELSEW_CLASSIFIED	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	131	112	453147	3	2	0.5584
Congenital malformations of the circulatory system	Q17_CONGEN_MALFO_CIRCULATO_SYSTEM	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	5282	4706	448451	3	3	1.0316
Ankyloglossia	Q17_ANKYLOGLOSSIA	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	513	429	453220	3	3	0.90723
Respiratory distress of newborn	P16_RESPI_DISTR_NEWBO	XVI Certain conditions originating in the perinatal period (P16_)	445	377	452972	3	2	0.90244
Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium	O15_OTHER_MATERN_DIS_ELSEWHERE	XV Pregnancy, childbirth and the puerperium (O15_)	16063	13969	238060	3	3	1.0836
Maternal care for other known or suspected fetal problems	O15_MATERN_CARE_OTHER	XV Pregnancy, childbirth and the puerperium (O15_)	12760	11122	200533	3	2	1.0844
All dysplastic lesions of the vulva	N14_VULVAL_DYSPLASIA_ALL	XIV Diseases of the genitourinary system (N14_)	1358	1215	253260	3	1	1.0099
Acute tubulo-interstitial nephritis	N14_PYELONEPHR	XIV Diseases of the genitourinary system (N14_)	29521	26300	406534	3	1	1.0478
Other female pelvic inflammatory diseases	N14_OTHFEMPELINF	XIV Diseases of the genitourinary system (N14_)	6181	5681	226439	3	2	1.0451
Hydrocele	N14_HYDROCELE	XIV Diseases of the genitourinary system (N14_)	6251	5642	141300	3	3	1.05
All dysplastic lesions of the cervix uteri, vagina or vulva	N14_FEMALE_GENITAL_DYSPLASIA_ALL	XIV Diseases of the genitourinary system (N14_)	11718	10251	242900	3	3	1.0497
Benign mammary dysplasia	N14_BENIGNMAMDYSP	XIV Diseases of the genitourinary system (N14_)	5099	4660	233585	3	1	1.0368
Other specified/unspecified spondylopathies	M13_SPONDYLOPATHYNAS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	816	739	322314	3	1	0.97248
Radiculopathy	M13_RADICULOPATHY	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	6651	6036	322314	3	2	1.0615
Polyarthritis, unspecified	M13_POLYARTHRITIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1282	1157	287796	3	1	1.0112
Other overlap syndromes	M13_OVERLAP	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	587	546	439424	3	3	0.92701
Osteopathies and chondropathies	M13_OSTEOCHONDRO	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	23907	21144	429826	3	1	1.0604
Myositis	M13_MYOSITIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	837	759	326530	3	3	0.97613
Disorders of muscles	M13_MUSCLE	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3790	3322	326530	3	2	1.0307
Monoarthritis, not elsewhere classified	M13_MONOARTHRITIS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1553	1419	287796	3	3	1.0078
Microscopic polyangiitis	M13_MICROPOLYANG	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	166	155	451441	3	7	0.62575
Juvenile rheumatoid arthirtis	M13_JUVERHEU	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	828	756	287796	3	2	0.98833
Iliotibial band syndrome	M13_ILIOTIBBAND	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	380	324	322314	3	0	0.84155
Ganglion	M13_GANGLION	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	9085	8037	326530	3	2	1.0428
Other enthesopathies	M13_ENTESOPATHYOTH	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	13102	11704	326530	3	4	1.0792
Other/unspecified dorsalgia	M13_DORSALGIANAS	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	17310	15560	322314	3	3	1.0856
Deforming dorsopathies	M13_DEFORMDORSO	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	12009	10698	322314	3	2	1.078
Calcific tendinitis of shoulder	M13_CALCIFICTEND	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2080	1835	326530	3	2	1.0441
Atlantoaxial subluxation	M13_ATLOAXSUBLUX	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	206	192	322314	3	2	0.69287
Guttate psoriasis	L12_PSORI_GUTTATE	XII Diseases of the skin and subcutaneous tissue (L12_)	447	389	437420	3	3	0.87476
Pemphigus	L12_PEMPHIGUS	XII Diseases of the skin and subcutaneous tissue (L12_)	208	184	451899	3	2	0.68536
Hirsutism in women	L12_HIRSUTISM	XII Diseases of the skin and subcutaneous tissue (L12_)	591	502	241581	3	4	0.93848
Granulomatous disorders of skin and subcutaneous tissue	L12_GRANULOMATOUSSKIN	XII Diseases of the skin and subcutaneous tissue (L12_)	845	747	423041	3	2	0.97704
Folliculitis decalvans	L12_FOLLICULITDECALV	XII Diseases of the skin and subcutaneous tissue (L12_)	62	55	432686	3	0	0.39867
Erythema nodosum	L12_ERYTHEMANODOSUM	XII Diseases of the skin and subcutaneous tissue (L12_)	982	904	438050	3	2	0.9827
Allergic contact dermatitis	L12_ALLERGICCONTACT	XII Diseases of the skin and subcutaneous tissue (L12_)	5331	4749	394476	3	2	1.0368
Cutaneous abscess, furuncle and carbuncle	L12_ABSCESS_CUT	XII Diseases of the skin and subcutaneous tissue (L12_)	10296	9036	426987	3	2	1.0407
Personality disorders (more control exclusions)	KRA_PSY_PERSON_EXMORE	Psychiatric endpoints from Katri Räikkönen	11914	10894	330456	3	2	1.1106
Any mental disorder, or suicide (or attempt), or psychic disorders complicating pregnancy, partum or puerperium or nerve system disorders (more control exclusions)	KRA_PSY_ANYMENTAL_SUICID_PREG_NERV_EXMORE	Psychiatric endpoints from Katri Räikkönen	12933	11873	329610	3	2	1.1071
Other inflammatory liver diseases	K11_OTHINFLIV	XI Diseases of the digestive system (K11_)	2238	1989	440301	3	3	1.0197
Oral leukoplakia and related diseases, including avohilmo	K11_ORAL_LEUCOPLAC_RELAT_INCLAVO	XI Diseases of the digestive system (K11_)	2908	2598	450825	3	1	1.0283
Mandibular prognathia	K11_MN_PROGN	XI Diseases of the digestive system (K11_)	474	397	453259	3	1	0.88428
Hypoplasia of dental enamel, prenatal	K11_HYPOPLASIA_ENAMEL_PRENATAL	XI Diseases of the digestive system (K11_)	52		452881	3		0.27902
Hypoplasia of dental enamel , including avohilmo	K11_HYPOPLASIA_ENAMEL_INCLAVO	XI Diseases of the digestive system (K11_)	783	616	452950	3	2	0.96846
Chronic hepatitis, not elsewhere classified	K11_CHRONHEP	XI Diseases of the digestive system (K11_)	1089	953	440301	3	5	0.99713
Chronic gastritis	K11_CHRONGASTR	XI Diseases of the digestive system (K11_)	11226	10317	385082	3	2	1.0463
Cholangitis (primary sclerosing, PSC), with reimbursement 202	K11_CHOLANGI_STRICT	Gastrointestinal endpoints	585	545	427599	3	3	0.92299
Dental caries 3 and operation codes, only avohilmo	K11_CARIES_3_OPER_ONLYAVO	XI Diseases of the digestive system (K11_)	167911	143984	79454	3	2	1.0964
Barrett oesophagus	K11_BARRET	XI Diseases of the digestive system (K11_)	1486	1259	385082	3	3	1.0287
Other appendicitis	K11_APPENDOTH	XI Diseases of the digestive system (K11_)	3101	2813	415845	3	6	1.0219
Bacterial pneumoniae	J10_PNEUMOBACT	X Diseases of the respiratory system (J10_)	19249	17511	378292	3	3	1.0422
Pleural plaque	J10_PLEURPLAGUE	X Diseases of the respiratory system (J10_)	3300	3053	435242	3	5	1.0499
Acute upper respiratory infections of multiple and unspecified sites	J10_ACUTEUPPERINFEC	X Diseases of the respiratory system (J10_)	46442	40768	366465	3	3	1.0876
Nonspecific lymphadenitis	I9_LYMPHADE	IX Diseases of the circulatory system (I9_)	2227	2009	392860	3	1	1.0259
Death due to cardiac causes	I9_K_CARDIAC	IX Diseases of the circulatory system (I9_)	23945	22589	429788	3	2	1.0894
Hypertensive Renal Disease	I9_HYPTENSRD	IX Diseases of the circulatory system (I9_)	1217	1115	316345	3	2	1.0109
Other diseases of arteries and capillaries	I9_ARTOTH	IX Diseases of the circulatory system (I9_)	3208	2878	420324	3	2	1.0233
Mixed conductive and sensorineural hearing loss	H8_HL_MIX_NAS	VIII Diseases of the ear and mastoid process (H8_)	4292	3894	397865	3	3	1.0407
